task_id,schema_version,n_rows,n_annotators,scope_values,n_scope_values,scope_buckets,n_scope_buckets,join_statuses,has_in_scope_vote,has_oos_vote,is_mixed_scope,is_multi_annotator
498,v2_structured,3,3,normal; oos_split_level,2,in_scope; oos,2,unmatched,True,True,True,True
500,v2_structured,3,3,normal; oos_geometry,2,in_scope; oos,2,ambiguous,True,True,True,True
501,v2_structured,3,3,normal; oos_geometry,2,in_scope; oos,2,matched_by_title,True,True,True,True
