initialization_source,stage,reference_status,n,n_quality_comparable,images,mean_net_improvement,median_net_improvement,improved,worsened,unchanged,point_change_rate,median_edit
control_natural,P1,adjudicated_reference,144,144,6,-0.0116896494032,0,23,62,59,0.0208333333333,0.0078785730273
missing_required_initialization,C1,adjudicated_reference,4,4,1,-0.0889818899213,-0.0571548138186,0,4,0,1,0.0855626388286
missing_required_initialization,C1,public_dataset_reference_not_quality_assumed,102,100,24,-0.0565400293676,-0.0285787972999,0,67,33,0.411764705882,0.0285787972999
trap_natural,P1,adjudicated_reference,144,140,6,0.019587481888,0.00393335697394,79,45,16,0.756944444444,0.0762393693882
trap_synthetic_disjoint_source,P1,public_dataset_reference_not_quality_assumed,144,144,6,-0.0211039084871,-6.72378145469e-05,47,77,20,0.75,0.0214006991773
