image_id,building,hohonet_rotation_dmask,ulayout_rotation_dmask,bi_enclosed_rotation_dmask,bi_extended_rotation_dmask,hohonet_topology_change,bi_enclosed_topology_change,bi_extended_topology_change,hohonet_point_count_mean,bi_enclosed_point_count_mean,bi_extended_point_count_mean,bi_heads_boundary_difference,bi_heads_point_count_disagreement,bi_raw_head_height_difference,hohonet_bi_enclosed_difference,hohonet_bi_extended_difference,hohonet_ulayout_difference,bi_enclosed_ulayout_difference,bi_extended_ulayout_difference,hohonet_fallback_warning_phases,hohonet_raw_vs_exported_boundary_max_pixel_difference,hohonet_postprocessing_displacement,bi_enclosed_postprocessing_displacement,bi_extended_postprocessing_displacement,three_architecture_disagreement_enclosed,three_architecture_disagreement_extended
2t7WUuJeko7_073656b4030d4389ba7f304298be1d73,2t7WUuJeko7,0.00243963425798,0.000452216817966,0.00130143418403,0.00126973592262,0,0,0,8,8,8,0.000427853689728,0,1.5381639339,0.0166511602397,0.0169255437712,0.0148000395748,0.0168226924752,0.0168416477519,0,0,0.250316454912,0.244727173094,0.244028813101,0.0160912974299,0.0161890770327
2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,2t7WUuJeko7,0.00305017137526,0.000582455391466,0.000889503850035,0.000951594316971,0,0,0,12,12,12,0.000379228280838,0,1.44741756096,0.0260830908908,0.0261859959963,0.0238951904386,0.012384223131,0.0123847858806,0,0,0.136188208187,0.126328948668,0.126951987518,0.0207875014868,0.0208219907718
2t7WUuJeko7_218fdf5321f9482e85e828c56f2c0c94,2t7WUuJeko7,0.00278189342894,0.000488162395178,0.00121932745801,0.00124846341844,0,0,0,12,12,12,0.000374011942943,0,1.4175696522,0.00846102470963,0.00847611293877,0.0134792263783,0.0110754301469,0.010995440018,0,0,0.183303147262,0.177566055924,0.177580967412,0.0110052270783,0.0109835931117
2t7WUuJeko7_27af7fd637014142a4f530cfd4557189,2t7WUuJeko7,0.00204930661491,0.00041683133277,0.000599405070377,0.000592321605055,0,0,0,8,8,8,0.000203156885323,0,1.4340746887,0.0170394230256,0.0171035821619,0.0182312030093,0.00962657443312,0.00972862330744,0,0,0.208522464339,0.192132635397,0.193235629281,0.0149657334893,0.0150211361595
2t7WUuJeko7_383d84c26afa4fae9e68b89d445e091e,2t7WUuJeko7,0.00269373852898,0.000511236869262,0.00119212597765,0.00120549978689,0,1,1,12,13,12.5,0.000388078945075,0.25,1.41895392537,0.0374048512332,0.0373434486843,0.0393522276474,0.0114500790423,0.0111974165833,0,0,0.213114948072,0.195291723661,0.196673581194,0.0294023859743,0.0292976976383
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,0.0019289366254,0.0004218470598,0.000724083485399,0.000721042548301,0,0,0,8,8,8,0.000281479612021,0,1.48818260059,0.0278026310167,0.0276627424032,0.021339311107,0.0106676552927,0.010580412168,0,0,0.240032632574,0.22219388189,0.222330503402,0.0199365324721,0.0198608218927
2t7WUuJeko7_53937db036374126830e0f1203b04ead,2t7WUuJeko7,0.00271192562603,0.0014174152827,0.00160484624732,0.00158278354427,0,0,0,12,16,16,0.00131223073366,0,1.52656562626,0.07502186804,0.0743046007458,0.0868644971296,0.0350893858661,0.0346344250917,0,0,0.344510376469,0.253905803326,0.251435919744,0.0656585836786,0.065267840989
2t7WUuJeko7_5db6d45b905f458a8290e69ff3e8d820,2t7WUuJeko7,0.00272304280317,0.00094635544945,0.00094187695701,0.00101940605502,0,0,0,8,8,8,0.00179518300017,0,1.39332873374,0.0380815875958,0.0392657459756,0.0387765225532,0.0196977050775,0.0199771980895,0,0,0.264466827933,0.257467777334,0.25615169432,0.0321852717422,0.0326731555395
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,0.00237175205608,0.000602044641996,0.000968396319341,0.000906406517311,0,0,0,8,8,8,0.000432588744801,0,1.47616286576,0.0238917818753,0.0237420579276,0.0145952109564,0.0206010860197,0.0205349512048,0,0,0.173154980459,0.169334838468,0.169629226493,0.0196960262838,0.0196240733629
2t7WUuJeko7_8898d3cea28d404f8f69c3a3bce52371,2t7WUuJeko7,0.00275724088406,0.000714499870236,0.00147804747621,0.00149567151243,0,0,0,12,12,12,0.000363093345265,0,1.46509031206,0.0266119106751,0.026822846996,0.0331653418656,0.0141738723507,0.0140845281398,0,0,0.246765072299,0.237983992139,0.237799328655,0.0246503749638,0.0246909056671
