image_id,model,reference_status,reference_error_yaw_mean,not_a_GT_evaluation
2t7WUuJeko7_073656b4030d4389ba7f304298be1d73,hohonet,public_dataset_reference_not_quality_assumed,0.243124988048,True
2t7WUuJeko7_073656b4030d4389ba7f304298be1d73,bi_enclosed,public_dataset_reference_not_quality_assumed,0.251322148187,True
2t7WUuJeko7_073656b4030d4389ba7f304298be1d73,bi_extended,public_dataset_reference_not_quality_assumed,0.251535546342,True
2t7WUuJeko7_073656b4030d4389ba7f304298be1d73,ulayout,public_dataset_reference_not_quality_assumed,0.251997793719,True
2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,hohonet,public_dataset_reference_not_quality_assumed,0.133199952051,True
2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,bi_enclosed,public_dataset_reference_not_quality_assumed,0.130890811654,True
2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,bi_extended,public_dataset_reference_not_quality_assumed,0.131137239922,True
2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,ulayout,public_dataset_reference_not_quality_assumed,0.130655137174,True
2t7WUuJeko7_218fdf5321f9482e85e828c56f2c0c94,hohonet,public_dataset_reference_not_quality_assumed,0.179425333461,True
2t7WUuJeko7_218fdf5321f9482e85e828c56f2c0c94,bi_enclosed,public_dataset_reference_not_quality_assumed,0.182536149247,True
2t7WUuJeko7_218fdf5321f9482e85e828c56f2c0c94,bi_extended,public_dataset_reference_not_quality_assumed,0.182812488683,True
2t7WUuJeko7_218fdf5321f9482e85e828c56f2c0c94,ulayout,public_dataset_reference_not_quality_assumed,0.182786071347,True
2t7WUuJeko7_27af7fd637014142a4f530cfd4557189,hohonet,public_dataset_reference_not_quality_assumed,0.203778669113,True
2t7WUuJeko7_27af7fd637014142a4f530cfd4557189,bi_enclosed,public_dataset_reference_not_quality_assumed,0.203159701522,True
2t7WUuJeko7_27af7fd637014142a4f530cfd4557189,bi_extended,public_dataset_reference_not_quality_assumed,0.203066481123,True
2t7WUuJeko7_27af7fd637014142a4f530cfd4557189,ulayout,public_dataset_reference_not_quality_assumed,0.210224944276,True
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,hohonet,public_dataset_reference_not_quality_assumed,0.232111600702,True
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,bi_enclosed,public_dataset_reference_not_quality_assumed,0.226842682108,True
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,bi_extended,public_dataset_reference_not_quality_assumed,0.226863217759,True
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,ulayout,public_dataset_reference_not_quality_assumed,0.227796367772,True
2t7WUuJeko7_5db6d45b905f458a8290e69ff3e8d820,hohonet,public_dataset_reference_not_quality_assumed,0.263899870984,True
2t7WUuJeko7_5db6d45b905f458a8290e69ff3e8d820,bi_enclosed,public_dataset_reference_not_quality_assumed,0.237086467958,True
2t7WUuJeko7_5db6d45b905f458a8290e69ff3e8d820,bi_extended,public_dataset_reference_not_quality_assumed,0.236076699731,True
