mean_gap_in_noise_SD,mixing_weight,per_observation_Fisher_information,local_information_n_for_SE_point1,status
0,0.5,0,,analytic_gaussian_mixture_illustration_not_estimated_human_sample_size
0.05,0.5,0.00249843912496,40024.9896028,analytic_gaussian_mixture_illustration_not_estimated_human_sample_size
0.1,0.5,0.00997510349543,10024.9586429,analytic_gaussian_mixture_illustration_not_estimated_human_sample_size
0.25,0.5,0.0615478885022,1624.75110737,analytic_gaussian_mixture_illustration_not_estimated_human_sample_size
0.5,0.5,0.235783902162,424.117164416,analytic_gaussian_mixture_illustration_not_estimated_human_sample_size
1,0.5,0.816217062534,122.516429257,analytic_gaussian_mixture_illustration_not_estimated_human_sample_size
2,0.5,2.20160196317,45.4214711256,analytic_gaussian_mixture_illustration_not_estimated_human_sample_size
4,0.5,3.72561036089,26.8412395053,analytic_gaussian_mixture_illustration_not_estimated_human_sample_size
