condition,k,method,images,kernel,count_brier,uncovered_count
manual,0,cold_context_personal,46,1.2219684571923417,0.7521347356245357,0.39963119906657857
manual,0,cold_context_population,46,1.2221186144511973,0.7526166180936399,0.39963119906657857
manual,0,cold_personal,46,1.2228776522205587,0.7548106061849306,0.39963119906657857
manual,0,cold_population,46,1.2227623939090995,0.7551504918305352,0.39963119906657857
manual,0,cold_type2,46,1.2227549612786155,0.7551761077563944,0.39963119906657857
manual,0,cold_type3,46,1.2227592327231027,0.7553236554278261,0.39963119906657857
manual,0,cold_type4,46,1.222786498065146,0.7553465241682045,0.39963119906657857
manual,0,cold_uniform,46,1.2264569787879405,0.7542651165922483,0.39963119906657857
manual,2,joint_model10,46,1.0555347435018758,0.4954422795615632,0.2008394596310197
manual,2,joint_model25,46,0.9877825414688772,0.4713325285551921,0.2008394596310197
manual,2,seed_context_t01,46,1.1325090215324314,0.5271642950323401,0.2537697490063219
manual,2,seed_context_t025,46,1.1219157161625244,0.5263860748841187,0.2537697490063219
manual,2,seed_context_t05,46,1.122205187436387,0.5279419476806897,0.2537697490063219
manual,2,seed_equal,46,1.1250366469708823,0.5306945505474917,0.2537697490063219
manual,2,seed_model_uniform10,46,1.0585898859706004,0.4991459550442926,0.2008394596310197
manual,2,seed_model_uniform25,46,0.9908227159268853,0.47428682990543597,0.2008394596310197
manual,2,seed_person_t01,46,1.1457544455762494,0.5263643288443277,0.2537697490063219
manual,2,seed_person_t025,46,1.1226818212656744,0.523926850355612,0.2537697490063219
manual,2,seed_person_t05,46,1.1212320061833996,0.5261506678887882,0.2537697490063219
manual,2,seed_type2,46,1.1272331727657647,0.5289711373877615,0.2537697490063219
manual,2,seed_type3,46,1.1301362643593753,0.5254846679620464,0.2537697490063219
manual,2,seed_type4,46,1.132985635073449,0.5234781679786539,0.2537697490063219
manual,2,selected_context,46,1.1220067757569254,0.5262591549465158,0.2537697490063219
manual,2,selected_mixture,46,0.9877825414688772,0.4713325285551921,0.2008394596310197
manual,2,selected_person,46,1.1212320061833996,0.5261506678887882,0.2537697490063219
manual,2,selected_type,46,1.1250366469708823,0.5306945505474917,0.2537697490063219
manual,4,joint_model10,46,0.9057761323208419,0.42696024549166156,0.14545300449190607
manual,4,joint_model25,46,0.8831694716684063,0.4223420215889026,0.14545300449190607
manual,4,seed_context_t01,46,0.9440061217435446,0.44378937330966767,0.18560047461649293
manual,4,seed_context_t025,46,0.9375627191332484,0.4430640010228818,0.18560047461649293
manual,4,seed_context_t05,46,0.9384343148473514,0.44458259227967983,0.18560047461649293
manual,4,seed_equal,46,0.9411341550234229,0.4471507119247394,0.18560047461649293
manual,4,seed_model_uniform10,46,0.9094061599157245,0.4307475474616492,0.14545300449190607
manual,4,seed_model_uniform25,46,0.8869009901204107,0.42571367939020255,0.14545300449190607
manual,4,seed_person_t01,46,0.9510997440631223,0.44374949127308083,0.18560047461649293
manual,4,seed_person_t025,46,0.9365939469866811,0.44146171898837094,0.18560047461649293
manual,4,seed_person_t05,46,0.9370687884222242,0.44335372913755144,0.18560047461649293
manual,4,seed_type2,46,0.9430117476703981,0.4468752237929099,0.18560047461649293
manual,4,seed_type3,46,0.9450011275489282,0.445511602350653,0.18560047461649293
manual,4,seed_type4,46,0.9454049125212274,0.4440140407573252,0.18560047461649293
manual,4,selected_context,46,0.9365939469866811,0.44146171898837094,0.18560047461649293
manual,4,selected_mixture,46,0.8831694716684063,0.4223420215889026,0.14545300449190607
manual,4,selected_person,46,0.9365906805373032,0.44161255735850075,0.18560047461649293
manual,4,selected_type,46,0.9411341550234229,0.4471507119247394,0.18560047461649293
manual,6,joint_model10,46,0.8579740209321964,0.40580277274488175,0.12159779603034077
manual,6,joint_model25,46,0.8502209779504861,0.40854358004623564,0.12159779603034077
manual,6,seed_context_t01,46,0.8812827814702878,0.41732483255259073,0.14883318851509386
manual,6,seed_context_t025,46,0.8783176702831839,0.416185944801553,0.14883318851509386
manual,6,seed_context_t05,46,0.8795034848313183,0.41718219979414606,0.14883318851509386
manual,6,seed_equal,46,0.8819341101252829,0.4189537018820906,0.14883318851509386
manual,6,seed_model_uniform10,46,0.8615952495675251,0.4085103789440959,0.12159779603034077
manual,6,seed_model_uniform25,46,0.8538838454310875,0.4111500442955579,0.12159779603034077
manual,6,seed_person_t01,46,0.8841054930275682,0.4173115025912487,0.14883318851509386
manual,6,seed_person_t025,46,0.876530260047699,0.4149650797451021,0.14883318851509386
manual,6,seed_person_t05,46,0.8780366583777163,0.41625662540669844,0.14883318851509386
manual,6,seed_type2,46,0.8826045227881502,0.41865005812804496,0.14883318851509386
manual,6,seed_type3,46,0.8845209357714393,0.41832710139518453,0.14883318851509386
manual,6,seed_type4,46,0.8845093066273868,0.4179274144713007,0.14883318851509386
manual,6,selected_context,46,0.8770654351680522,0.41508733376016477,0.14883318851509386
manual,6,selected_mixture,46,0.8502209779504861,0.40854358004623564,0.12159779603034077
manual,6,selected_person,46,0.876530260047699,0.4149650797451021,0.14883318851509386
manual,6,selected_type,46,0.8819341101252829,0.4189537018820906,0.14883318851509386
manual,8,joint_model10,46,0.8313991009078765,0.3902917734530283,0.09556139814291983
manual,8,joint_model25,46,0.8313444763407642,0.39778586550321704,0.09556139814291983
