condition,k,permutation,actual_minus_equal,shuffled_minus_equal,actual_minus_shuffled
manual,4,0,-0.0029309773566126114,0.007718438896912917,-0.010649416253525529
manual,4,1,-0.0029309773566126114,0.005845549246836331,-0.008776526603448942
manual,4,2,-0.0029309773566126114,0.007831123507650114,-0.010762100864262724
manual,4,3,-0.0029309773566126114,0.005080909491991855,-0.008011886848604466
manual,4,4,-0.0029309773566126114,0.006600834896561014,-0.009531812253173625
manual,4,5,-0.0029309773566126114,0.005393405448035885,-0.008324382804648495
manual,4,6,-0.0029309773566126114,0.004085733589432677,-0.007016710946045289
manual,4,7,-0.0029309773566126114,0.008394179378444735,-0.011325156735057346
manual,4,8,-0.0029309773566126114,0.005834236059801542,-0.008765213416414152
manual,4,9,-0.0029309773566126114,0.006052566330333369,-0.008983543686945981
manual,4,10,-0.0029309773566126114,0.00538748618240098,-0.008318463539013592
manual,4,11,-0.0029309773566126114,0.007302415766943873,-0.010233393123556485
manual,4,12,-0.0029309773566126114,0.00714207901074532,-0.010073056367357933
manual,4,13,-0.0029309773566126114,0.008306723565390202,-0.011237700922002814
manual,4,14,-0.0029309773566126114,0.0081432872842322,-0.011074264640844812
manual,4,15,-0.0029309773566126114,0.00907832361785935,-0.012009300974471962
manual,4,16,-0.0029309773566126114,0.004725669949168901,-0.007656647305781513
manual,4,17,-0.0029309773566126114,0.0034757881224100388,-0.006406765479022651
manual,4,18,-0.0029309773566126114,0.007424430785193882,-0.010355408141806494
manual,4,19,-0.0029309773566126114,0.010303854867876749,-0.01323483222448936
manual,8,0,-0.005495000492183198,0.005590469815337854,-0.011085470307521052
manual,8,1,-0.005495000492183198,0.003067971836704684,-0.00856297232888788
manual,8,2,-0.005495000492183198,0.003311458699614526,-0.008806459191797723
manual,8,3,-0.005495000492183198,0.003493935384496303,-0.0089889358766795
manual,8,4,-0.005495000492183198,0.0036716751745133644,-0.009166675666696562
manual,8,5,-0.005495000492183198,0.001955233855681321,-0.0074502343478645185
manual,8,6,-0.005495000492183198,0.001738974217653522,-0.007233974709836719
manual,8,7,-0.005495000492183198,0.005523844904375652,-0.011018845396558851
manual,8,8,-0.005495000492183198,0.002855721638390653,-0.00835072213057385
manual,8,9,-0.005495000492183198,0.004390003392617338,-0.009885003884800537
manual,8,10,-0.005495000492183198,0.00370260952317301,-0.009197610015356208
manual,8,11,-0.005495000492183198,0.004042746810108683,-0.009537747302291882
manual,8,12,-0.005495000492183198,0.005070554217221501,-0.010565554709404698
manual,8,13,-0.005495000492183198,0.006994359060148694,-0.01248935955233189
manual,8,14,-0.005495000492183198,0.005786220232568889,-0.011281220724752086
manual,8,15,-0.005495000492183198,0.0044771627327100496,-0.009972163224893247
manual,8,16,-0.005495000492183198,0.0020258594023599827,-0.00752085989454318
manual,8,17,-0.005495000492183198,0.002528578532842661,-0.00802357902502586
manual,8,18,-0.005495000492183198,0.005474194452486681,-0.010969194944669877
manual,8,19,-0.005495000492183198,0.004310865239882493,-0.00980586573206569
oos_geometry,4,0,-0.0005797759937341798,0.0019134368214774506,-0.0024932128152116307
oos_geometry,4,1,-0.0005797759937341798,0.009447307500674629,-0.010027083494408808
oos_geometry,4,2,-0.0005797759937341798,0.011707349033720707,-0.012287125027454888
oos_geometry,4,3,-0.0005797759937341798,0.014196238639169197,-0.014776014632903376
oos_geometry,4,4,-0.0005797759937341798,0.00587695737746378,-0.00645673337119796
oos_geometry,4,5,-0.0005797759937341798,0.01138424683409679,-0.01196402282783097
oos_geometry,4,6,-0.0005797759937341798,0.009330340439221338,-0.009910116432955517
oos_geometry,4,7,-0.0005797759937341798,0.016582147259052174,-0.017161923252786353
oos_geometry,4,8,-0.0005797759937341798,0.014874316626184806,-0.015454092619918987
oos_geometry,4,9,-0.0005797759937341798,0.010817493758417432,-0.011397269752151613
oos_geometry,4,10,-0.0005797759937341798,0.012417898195360353,-0.012997674189094532
oos_geometry,4,11,-0.0005797759937341798,0.012426992254216309,-0.013006768247950488
oos_geometry,4,12,-0.0005797759937341798,0.008769192017525759,-0.009348968011259938
oos_geometry,4,13,-0.0005797759937341798,0.016146160657554157,-0.016725936651288336
oos_geometry,4,14,-0.0005797759937341798,0.010605155533807531,-0.01118493152754171
oos_geometry,4,15,-0.0005797759937341798,0.007315007318000487,-0.007894783311734667
oos_geometry,4,16,-0.0005797759937341798,0.011693517761179729,-0.012273293754913909
oos_geometry,4,17,-0.0005797759937341798,0.011622651522884879,-0.01220242751661906
oos_geometry,4,18,-0.0005797759937341798,0.01948245880088186,-0.020062234794616038
oos_geometry,4,19,-0.0005797759937341798,0.006325082357087268,-0.006904858350821447
oos_geometry,8,0,-0.007621237248428404,0.005970684978587709,-0.013591922227016114
oos_geometry,8,1,-0.007621237248428404,0.004805361824647815,-0.012426599073076219
oos_geometry,8,2,-0.007621237248428404,0.004406007211219772,-0.012027244459648177
oos_geometry,8,3,-0.007621237248428404,0.007122357394206284,-0.014743594642634687
oos_geometry,8,4,-0.007621237248428404,0.007997261964898398,-0.015618499213326802
oos_geometry,8,5,-0.007621237248428404,0.003177013119581456,-0.010798250368009861
oos_geometry,8,6,-0.007621237248428404,0.009665274845213722,-0.017286512093642126
oos_geometry,8,7,-0.007621237248428404,0.00872164259936048,-0.016342879847788885
oos_geometry,8,8,-0.007621237248428404,0.006636444738946639,-0.014257681987375044
oos_geometry,8,9,-0.007621237248428404,0.004735009039213318,-0.012356246287641722
oos_geometry,8,10,-0.007621237248428404,0.009072210704617192,-0.016693447953045597
oos_geometry,8,11,-0.007621237248428404,0.00898050028449121,-0.016601737532919617
oos_geometry,8,12,-0.007621237248428404,0.006876631330965739,-0.014497868579394144
oos_geometry,8,13,-0.007621237248428404,0.010975242989114379,-0.018596480237542783
oos_geometry,8,14,-0.007621237248428404,0.00979103383843255,-0.017412271086860956
oos_geometry,8,15,-0.007621237248428404,0.0036145297925220996,-0.011235767040950504
oos_geometry,8,16,-0.007621237248428404,0.010613377830384999,-0.018234615078813403
