condition,k,permutation,actual_minus_equal,shuffled_minus_equal,actual_minus_shuffled
oos_geometry,8,17,-0.007621237248428404,0.01008494643192905,-0.017706183680357455
oos_geometry,8,18,-0.007621237248428404,0.009987654779716366,-0.01760889202814477
oos_geometry,8,19,-0.007621237248428404,0.00199351079023354,-0.009614748038661945
semi,4,0,-0.008241401555216476,0.006788086507434209,-0.015029488062650686
semi,4,1,-0.008241401555216476,0.005262241309799802,-0.013503642865016279
semi,4,2,-0.008241401555216476,0.010955800990320891,-0.01919720254553737
semi,4,3,-0.008241401555216476,0.011994147476472601,-0.020235549031689077
semi,4,4,-0.008241401555216476,0.005962449124355017,-0.014203850679571492
semi,4,5,-0.008241401555216476,0.0008561210305702468,-0.009097522585786723
semi,4,6,-0.008241401555216476,0.009322041382579974,-0.01756344293779645
semi,4,7,-0.008241401555216476,0.006123660609627792,-0.01436506216484427
semi,4,8,-0.008241401555216476,0.0035171554002782213,-0.011758556955494697
semi,4,9,-0.008241401555216476,0.013063100768287494,-0.02130450232350397
semi,4,10,-0.008241401555216476,0.008293143714003241,-0.016534545269219717
semi,4,11,-0.008241401555216476,0.004657201222315844,-0.01289860277753232
semi,4,12,-0.008241401555216476,0.0051513073963710115,-0.013392708951587487
semi,4,13,-0.008241401555216476,0.008001155528794164,-0.01624255708401064
semi,4,14,-0.008241401555216476,0.004897566881295152,-0.013138968436511628
semi,4,15,-0.008241401555216476,0.012828297086639392,-0.02106969864185587
semi,4,16,-0.008241401555216476,0.00861948500164869,-0.016860886556865167
semi,4,17,-0.008241401555216476,0.007826620540970152,-0.01606802209618663
semi,4,18,-0.008241401555216476,0.0032352891834399105,-0.011476690738656387
semi,4,19,-0.008241401555216476,0.006954726681358805,-0.015196128236575282
semi,8,0,-0.01019373065455455,0.002817161534336498,-0.013010892188891046
semi,8,1,-0.01019373065455455,0.004296096336579568,-0.014489826991134118
semi,8,2,-0.01019373065455455,0.003559897834797308,-0.013753628489351858
semi,8,3,-0.01019373065455455,0.0058838694002819715,-0.01607760005483652
semi,8,4,-0.01019373065455455,0.0015604426410149779,-0.011754173295569527
semi,8,5,-0.01019373065455455,-0.0029603846835134537,-0.007233345971041095
semi,8,6,-0.01019373065455455,0.005757334071225736,-0.015951064725780284
semi,8,7,-0.01019373065455455,0.0037348379456876284,-0.01392856860024218
semi,8,8,-0.01019373065455455,0.003538567258183114,-0.013732297912737664
semi,8,9,-0.01019373065455455,0.009301292514369177,-0.019495023168923726
semi,8,10,-0.01019373065455455,0.0008128015281679264,-0.011006532182722477
semi,8,11,-0.01019373065455455,0.005954735581028236,-0.016148466235582786
semi,8,12,-0.01019373065455455,0.0014636815393877988,-0.011657412193942349
semi,8,13,-0.01019373065455455,0.002100754425954729,-0.012294485080509279
semi,8,14,-0.01019373065455455,0.00273282768951362,-0.012926558344068171
semi,8,15,-0.01019373065455455,0.005664512892686104,-0.015858243547240653
semi,8,16,-0.01019373065455455,0.004187023549258432,-0.014380754203812981
semi,8,17,-0.01019373065455455,0.0032584542899388486,-0.013452184944493399
semi,8,18,-0.01019373065455455,0.0025212404545024206,-0.01271497110905697
semi,8,19,-0.01019373065455455,0.006493474173237986,-0.016687204827792537
