condition,k,method,building,images,sum_loss_delta,mean_loss_delta,without_this_building_delta
manual,2,seed_person_t025,7y3sRwLe3Va,9,-0.12006803347058681,-0.013340892607842979,-0.007247315445741311
manual,2,seed_person_t025,B6ByNegPMKs,9,-0.12281290135175271,-0.013645877927972524,-0.007225179414441586
manual,2,seed_person_t025,S9hNv5qa7GM,2,0.003051233792416619,0.0015256168962083094,-0.007799896049884932
manual,2,seed_person_t025,UwV83HsGsw3,8,0.012834696645870558,0.0016043370807338198,-0.00825255876310704
manual,2,seed_person_t025,VFuaQ6m2Qom,3,-0.022437854415306102,-0.007479284805102034,-0.007663825340978487
manual,2,seed_person_t025,X7HyMhZNoso,3,-0.1755378484184591,-0.05851261613948636,-0.0064861330794157715
manual,2,seed_person_t025,Z6MFQCViBuw,3,-0.005360389437452651,-0.0017867964791508835,-0.007795190456192743
manual,2,seed_person_t025,b8cTxDM8gDG,3,0.03177655006247937,0.01059218335415979,-0.008080859221576836
manual,2,seed_person_t025,e9zR4mvMWw7,4,0.04125081191211066,0.010312702978027666,-0.008216945431431163
manual,2,seed_person_t025,jh4fc5c5qoQ,1,0.011441566770726608,0.011441566770726608,-0.0078043690569184546
manual,2,seed_person_t025,jtcxE69GiFV,4,-0.06719608193549054,-0.016799020483872634,-0.007376271835713323
manual,2,seed_person_t025,pRbA3pwrgk9,3,0.022325205318208585,0.007441735106069529,-0.008008156569697831
manual,2,seed_person_t025,pa4otMbVnkk,1,0.011147958424817084,0.011147958424817084,-0.007802144751267625
manual,2,seed_person_t025,q9vSo1VnCiC,13,0.06672978970993404,0.005133060746918003,-0.009045541153770363
manual,2,seed_person_t025,rPc6DW4iMge,9,-0.2213538326258334,-0.024594870291759267,-0.006430494484811903
manual,2,seed_person_t025,uNb9QFRL6hY,26,-0.09472851922976738,-0.003643404585760284,-0.008635575976754599
manual,2,seed_person_t025,wc2JMjhGNzB,11,-0.1361753450186144,-0.012379576819874035,-0.007234096751835205
manual,2,seed_person_t025,x8F5xyUWy9e,4,-0.010325751192083565,-0.0025814377980208913,-0.007817127112793998
manual,2,seed_person_t025,yqstnuAEVhm,14,-0.2948194643308213,-0.021058533166487235,-0.006083325079089816
manual,2,seed_person_t025,zsNo4HB9uLZ,3,0.05152306004709506,0.017174353349031685,-0.008232755452227727
manual,2,seed_context_t025,7y3sRwLe3Va,9,-0.10585721589656988,-0.011761912877396653,-0.005853106401891833
manual,2,seed_context_t025,B6ByNegPMKs,9,-0.09070614988524006,-0.010078461098360006,-0.005975292418112234
manual,2,seed_context_t025,S9hNv5qa7GM,2,0.000856392222589597,0.0004281961112947985,-0.006354952686669823
manual,2,seed_context_t025,UwV83HsGsw3,8,-0.009801737283109402,-0.0012252171603886752,-0.006574725379584382
