condition,k,stratum,method,baseline,metric,images,buildings,delta,ci_low,ci_high,building_macro_delta
manual,4,singleton,seed_type4,seed_equal,kernel_score,39,13,0.013130417951233184,0.005455002453168412,0.02286341909410483,0.012440343918478166
manual,4,singleton,seed_type4,seed_equal,count_brier,39,13,0.00840459509908618,0.0002943469330062993,0.020622912931352527,0.010743043870814005
manual,4,singleton,seed_context_t025,seed_equal,kernel_score,39,13,0.00783091467549996,0.005590380408148237,0.00988577910742781,0.006751293783546623
manual,4,singleton,seed_context_t025,seed_equal,count_brier,39,13,0.002913671110245582,-0.0025814193759704277,0.007215005566445076,0.0031956799066214514
manual,4,singleton,selected_mixture,seed_equal,kernel_score,39,13,-0.09321834995845799,-0.10874045156255599,-0.0721301700962394,-0.09215377324504608
manual,4,singleton,selected_mixture,seed_equal,count_brier,39,13,-0.10751443471294937,-0.14115969237992773,-0.06508826592905702,-0.10363182698555008
manual,4,singleton,seed_person_t025,seed_equal,kernel_score,39,13,0.012074115846369731,0.00916787721925085,0.016276557972357667,0.011332887087013592
manual,4,singleton,seed_person_t025,seed_equal,count_brier,39,13,0.005952709830852823,0.0012659978817610282,0.010689999567073009,0.006588751318529483
manual,4,supported_majority,seed_type4,seed_equal,kernel_score,42,14,0.0022546989967428188,-0.0051239990525735425,0.01665068992046996,0.00434260483070295
manual,4,supported_majority,seed_type4,seed_equal,count_brier,42,14,-0.007414746082263492,-0.020668084350099907,0.012116892229091614,-0.0023744303367857667
manual,4,supported_majority,seed_context_t025,seed_equal,kernel_score,42,14,-0.006888057693928322,-0.012217322401717743,0.00022588410023382212,-0.006235720829943508
manual,4,supported_majority,seed_context_t025,seed_equal,count_brier,42,14,-0.006290981438695041,-0.013302397299102443,0.003344682320327157,-0.005131870445020773
manual,4,supported_majority,selected_mixture,seed_equal,kernel_score,42,14,-0.040197083091216224,-0.049956772612005575,-0.028540984523024737,-0.039935554063136994
manual,4,supported_majority,selected_mixture,seed_equal,count_brier,42,14,0.009512695757898702,-0.0045662448412980726,0.025864273211129937,0.012125190413911666
manual,4,supported_majority,seed_person_t025,seed_equal,kernel_score,42,14,-0.010696541291104807,-0.01885284041280263,0.002612953653745299,-0.008006094211983412
manual,4,supported_majority,seed_person_t025,seed_equal,count_brier,42,14,-0.01041981179719027,-0.022209471827327323,0.007411908175443804,-0.008634039653629594
manual,4,supported_minority,seed_type4,seed_equal,kernel_score,34,13,0.016055670347615285,0.006423088747801359,0.031250635450441135,0.02047284305311331
manual,4,supported_minority,seed_type4,seed_equal,count_brier,34,13,0.0050795523915694715,-0.00719453490315213,0.02606506929815941,0.015108125225340552
manual,4,supported_minority,seed_context_t025,seed_equal,kernel_score,34,13,0.001579709876842828,-0.0023766451321214858,0.004784412235672452,-0.0003596308962535034
manual,4,supported_minority,seed_context_t025,seed_equal,count_brier,34,13,0.001404582502110692,-0.0038370302738432445,0.007586562974712928,0.0018032246203467937
manual,4,supported_minority,selected_mixture,seed_equal,kernel_score,34,13,-0.07733942728426267,-0.09782082968329808,-0.06284085193733553,-0.08227276647169454
manual,4,supported_minority,selected_mixture,seed_equal,count_brier,34,13,-0.020516455260022715,-0.06982420686022008,0.012902348809376045,-0.02448077190410359
manual,4,supported_minority,seed_person_t025,seed_equal,kernel_score,34,13,0.005438743689948263,-0.00029967734315693596,0.012061885708740347,0.0049311189967128095
manual,4,supported_minority,seed_person_t025,seed_equal,count_brier,34,13,0.0024748919741678153,-0.006873073701605986,0.014220664953493778,0.00461161220556826
manual,8,singleton,seed_type4,seed_equal,kernel_score,37,13,0.012363381757534712,0.0055780819944553,0.019861819657148727,0.010156903300046888
manual,8,singleton,seed_type4,seed_equal,count_brier,37,13,0.006248455247970839,-0.0011084448192140962,0.0185379358943506,0.009943430951117273
manual,8,singleton,seed_context_t025,seed_equal,kernel_score,37,13,0.006173914202388226,0.002715109562387252,0.009016239460169929,0.004615691175649162
manual,8,singleton,seed_context_t025,seed_equal,count_brier,37,13,0.0019960042685140517,-0.004012189991740021,0.006478790184676552,0.0006595834622681179
manual,8,singleton,selected_mixture,seed_equal,kernel_score,37,13,-0.025994187836056476,-0.033510546452499984,-0.016396260283666406,-0.026147708050605033
manual,8,singleton,selected_mixture,seed_equal,count_brier,37,13,-0.0453864308818506,-0.06402756903598208,-0.02594112029267661,-0.04964902806407498
manual,8,singleton,seed_person_t025,seed_equal,kernel_score,37,13,0.010498206195312955,0.006502326045816568,0.014773897110083915,0.009525298495113915
manual,8,singleton,seed_person_t025,seed_equal,count_brier,37,13,0.004367328911543218,-0.0026760650958538336,0.01075686709172394,0.0036579218489222556
manual,8,supported_majority,seed_type4,seed_equal,kernel_score,42,14,-0.002360710677358792,-0.007081493291878323,0.006467313410453851,0.0025384316919093886
