condition,k,method,stratum,images,kernel,count_brier,compatible_probability,outside_candidates
manual,4,seed_context_t025,singleton,39,1.3706583731011341,1.0660754381181665,0.05617369326440212,0.9000559625559625
manual,4,seed_context_t025,supported_majority,42,0.7741473135146867,0.18463915324143962,0.6966521267824438,0.028440921823274765
manual,4,seed_context_t025,supported_minority,34,1.2459139733993718,0.7333799192568593,0.2714139366621769,0.5106215679745092
manual,4,seed_equal,singleton,39,1.3628274584256341,1.063161767007921,0.054366351241351245,0.9000559625559625
manual,4,seed_equal,supported_majority,42,0.781035371208615,0.19093013468013467,0.6879190709710252,0.028440921823274765
manual,4,seed_equal,supported_minority,34,1.244334263522529,0.7319753367547485,0.2684328947196594,0.5106215679745092
manual,4,seed_person_t025,singleton,39,1.3749015742720039,1.0691144768387737,0.05583343553441353,0.9000559625559625
manual,4,seed_person_t025,supported_majority,42,0.7703388299175102,0.1805103228829444,0.7031405065512191,0.028440921823274765
manual,4,seed_person_t025,supported_minority,34,1.249773007212477,0.7344502287289164,0.271163881472377,0.5106215679745092
manual,4,seed_type4,singleton,39,1.3759578763768674,1.0715663621070068,0.055566425205848285,0.9000559625559625
manual,4,seed_type4,supported_majority,42,0.7832900702053578,0.1835153885978712,0.6994660986199576,0.028440921823274765
manual,4,seed_type4,supported_minority,34,1.2603899338701443,0.737054889146318,0.27159585591005275,0.5106215679745092
manual,4,selected_mixture,singleton,39,1.2696091084671761,0.9556473322949716,0.05856970159231288,0.8589446166369245
manual,4,selected_mixture,supported_majority,42,0.7408382881173988,0.20044283043803338,0.6380513795482742,0.019620575502928443
manual,4,selected_mixture,supported_minority,34,1.1669948362382663,0.7114588814947258,0.24812474136337498,0.4632317029375853
manual,8,seed_context_t025,singleton,37,1.249202603557753,0.9594257554482652,0.06747495590319527,0.8386100386100386
manual,8,seed_context_t025,supported_majority,42,0.6979993549018682,0.16962366157082603,0.6763044413090046,0.0
manual,8,seed_context_t025,supported_minority,34,1.1201730569428112,0.628481348512205,0.27787468268207305,0.3144087938205585
manual,8,seed_equal,singleton,37,1.243028689355365,0.9574297511797512,0.0656410875160875,0.8386100386100386
manual,8,seed_equal,supported_majority,42,0.7064639079092961,0.17563657407407407,0.6671310873319802,0.0
manual,8,seed_equal,supported_minority,34,1.1193883900034916,0.6255013368983957,0.2764042075163399,0.3144087938205585
manual,8,seed_person_t025,singleton,37,1.253526895550678,0.9617970800912945,0.0674242534345167,0.8386100386100386
manual,8,seed_person_t025,supported_majority,42,0.6930240459436645,0.16653152427840284,0.6825056372942278,0.0
manual,8,seed_person_t025,supported_minority,34,1.1210035443313617,0.6282553354645755,0.27880430840380566,0.3144087938205585
manual,8,seed_type4,singleton,37,1.2553920711128996,0.963678206427722,0.06694871606556389,0.8386100386100386
manual,8,seed_type4,supported_majority,42,0.7041031972319374,0.16829832692698354,0.6801530027217189,0.0
manual,8,seed_type4,supported_minority,34,1.1348725452652952,0.6368292624372826,0.27776049063043895,0.3144087938205585
manual,8,selected_mixture,singleton,37,1.2170345015193085,0.9120433202979005,0.06804354618438198,0.8017160017160018
manual,8,selected_mixture,supported_majority,42,0.6914093832744362,0.17310994852941727,0.6549764625707984,0.0
manual,8,selected_mixture,supported_minority,34,1.098397976129799,0.6227842884613422,0.26791718851726753,0.28315879382055853
oos_geometry,4,seed_context_t025,singleton,9,1.2557446287236624,1.0960696885777745,0.018467163862427607,0.9250841750841752
oos_geometry,4,seed_context_t025,supported_majority,8,0.8738192196608032,0.3383090982489122,0.4747040771578798,0.125
oos_geometry,4,seed_context_t025,supported_minority,9,1.1364043584818873,0.7163522763582421,0.1936781754698406,0.46662257495590825
oos_geometry,4,seed_equal,singleton,9,1.2554178339036657,1.0980860189193522,0.01872895622895623,0.9250841750841752
oos_geometry,4,seed_equal,supported_majority,8,0.8810395607605068,0.34375,0.46935763888888893,0.125
oos_geometry,4,seed_equal,supported_minority,9,1.1422930620886296,0.7251543209876543,0.1871252204585538,0.46662257495590825
oos_geometry,4,seed_person_t025,singleton,9,1.2655742971879091,1.0862781483228194,0.024308292160254857,0.9250841750841752
oos_geometry,4,seed_person_t025,supported_majority,8,0.8659779665300745,0.32750721602292066,0.48565361432396764,0.125
oos_geometry,4,seed_person_t025,supported_minority,9,1.1316132134841421,0.6948210183255655,0.21204225956276124,0.46662257495590825
oos_geometry,4,seed_type4,singleton,9,1.2980125043707451,1.0999734226900322,0.03625518000518,0.9250841750841752
oos_geometry,4,seed_type4,supported_majority,8,0.9289264707489259,0.3690677235925133,0.46923202231795985,0.125
oos_geometry,4,seed_type4,supported_minority,9,1.1635071343790186,0.6944907147907377,0.2191014109347443,0.46662257495590825
oos_geometry,4,selected_mixture,singleton,9,1.1805553380749587,0.9695870824069929,0.021882466224235928,0.86489898989899
oos_geometry,4,selected_mixture,supported_majority,8,0.8563365642841692,0.34147085632494606,0.43906139544152756,0.125
oos_geometry,4,selected_mixture,supported_minority,9,1.0754457324489444,0.6481259255951074,0.1705280167490376,0.43090828924162256
oos_geometry,8,seed_context_t025,singleton,9,1.1673560034823138,1.0042455897831941,0.014786234169406652,0.8753968253968254
oos_geometry,8,seed_context_t025,supported_majority,8,0.8053306635587227,0.22043579093437182,0.4543814070312829,0.0
oos_geometry,8,seed_context_t025,supported_minority,9,1.012427594583019,0.6584034077883604,0.2128747981428648,0.19567901234567897
oos_geometry,8,seed_equal,singleton,9,1.166637252149552,1.0078703703703704,0.015575396825396826,0.8753968253968254
oos_geometry,8,seed_equal,supported_majority,8,0.8105821896381684,0.224609375,0.45007130456349204,0.0
