code,image_id,condition,N,building,gate,comparable_n,comparable_pairs,threshold_flips,partition_changed,before_clusters,after_clusters,ARI,changed_pair_relations
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,False,6,15,0,False,2,2,1.0,0
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,True,6,15,0,False,2,2,1.0,0
uNb9QFRL6hY-40,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,manual,5,uNb9QFRL6hY,False,5,10,0,False,1,1,1.0,0
uNb9QFRL6hY-40,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,manual,5,uNb9QFRL6hY,True,5,10,0,False,2,2,1.0,0
uNb9QFRL6hY-40,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,semi,4,uNb9QFRL6hY,False,4,6,0,False,1,1,1.0,0
uNb9QFRL6hY-40,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,semi,4,uNb9QFRL6hY,True,4,6,0,False,2,2,1.0,0
uNb9QFRL6hY-45,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,manual,23,uNb9QFRL6hY,False,23,253,0,False,5,5,1.0,0
uNb9QFRL6hY-45,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,manual,23,uNb9QFRL6hY,True,23,253,0,False,6,6,1.0,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,24,7y3sRwLe3Va,False,22,231,0,True,11,11,0.6535433070866141,16
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,24,7y3sRwLe3Va,True,22,231,0,True,13,13,0.71125,12
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos_geometry,23,7y3sRwLe3Va,False,23,253,0,False,7,7,1.0,0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos_geometry,23,7y3sRwLe3Va,True,23,253,0,False,11,11,1.0,0
B6ByNegPMKs-11,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,24,B6ByNegPMKs,False,24,276,0,False,6,6,1.0,0
B6ByNegPMKs-11,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,24,B6ByNegPMKs,True,24,276,0,False,6,6,1.0,0
B6ByNegPMKs-21,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,5,B6ByNegPMKs,False,5,10,0,False,1,1,1.0,0
B6ByNegPMKs-21,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,5,B6ByNegPMKs,True,5,10,0,False,1,1,1.0,0
B6ByNegPMKs-21,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,semi,4,B6ByNegPMKs,False,4,6,0,False,1,1,1.0,0
B6ByNegPMKs-21,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,semi,4,B6ByNegPMKs,True,4,6,0,False,2,2,1.0,0
B6ByNegPMKs-22,B6ByNegPMKs_75327de9719945aa8b893a6404667884,semi,24,B6ByNegPMKs,False,24,276,0,False,8,8,1.0,0
B6ByNegPMKs-22,B6ByNegPMKs_75327de9719945aa8b893a6404667884,semi,24,B6ByNegPMKs,True,24,276,0,False,8,8,1.0,0
UwV83HsGsw3-06,UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,oos_geometry,24,UwV83HsGsw3,False,24,276,0,False,13,13,1.0,0
UwV83HsGsw3-06,UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,oos_geometry,24,UwV83HsGsw3,True,24,276,0,False,15,15,1.0,0
UwV83HsGsw3-08,UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,oos_geometry,23,UwV83HsGsw3,False,23,253,1,True,13,13,0.9401891252955082,2
UwV83HsGsw3-08,UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,oos_geometry,23,UwV83HsGsw3,True,23,253,1,False,16,16,1.0,0
UwV83HsGsw3-23,UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,oos_geometry,24,UwV83HsGsw3,False,23,253,3,True,8,8,0.7090616375344986,20
UwV83HsGsw3-23,UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,oos_geometry,24,UwV83HsGsw3,True,23,253,3,True,8,8,0.7090616375344986,20
X7HyMhZNoso-19,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,manual,5,X7HyMhZNoso,False,5,10,0,False,1,1,1.0,0
X7HyMhZNoso-19,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,manual,5,X7HyMhZNoso,True,5,10,0,False,3,3,1.0,0
X7HyMhZNoso-19,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,semi,4,X7HyMhZNoso,False,4,6,0,False,2,2,1.0,0
X7HyMhZNoso-19,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,semi,4,X7HyMhZNoso,True,4,6,0,False,2,2,1.0,0
b8cTxDM8gDG-19,b8cTxDM8gDG_f63819c407e64c2897b703080766cb60,oos_geometry,23,b8cTxDM8gDG,False,23,253,0,False,7,7,1.0,0
b8cTxDM8gDG-19,b8cTxDM8gDG_f63819c407e64c2897b703080766cb60,oos_geometry,23,b8cTxDM8gDG,True,23,253,0,False,7,7,1.0,0
e9zR4mvMWw7-03,e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8,semi,24,e9zR4mvMWw7,False,24,276,1,False,2,2,1.0,0
