code,image_id,condition,N,building,method,omitted_id,ARI,changed_relations,n_pairs
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A0_legacy,8ff7251a7c24a8e0e71e,0.23076923076923078,4,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A0_legacy,8af889f37a502f3fa126,0.0,6,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A0_legacy,f005d5460cd37c229372,0.0,6,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A0_legacy,dbdc83a7c9f53399480c,1.0,0,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A0_legacy,f92320ca03fc70c20aea,1.0,0,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A0_legacy,a431c68f99235de30da3,1.0,0,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A1_mask,8ff7251a7c24a8e0e71e,0.23076923076923078,4,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A1_mask,8af889f37a502f3fa126,0.0,6,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A1_mask,f005d5460cd37c229372,0.0,6,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A1_mask,dbdc83a7c9f53399480c,1.0,0,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A1_mask,f92320ca03fc70c20aea,1.0,0,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A1_mask,a431c68f99235de30da3,1.0,0,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A2_local,8ff7251a7c24a8e0e71e,0.23076923076923078,4,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A2_local,8af889f37a502f3fa126,0.0,6,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A2_local,f005d5460cd37c229372,0.0,6,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A2_local,dbdc83a7c9f53399480c,1.0,0,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A2_local,f92320ca03fc70c20aea,1.0,0,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A2_local,a431c68f99235de30da3,1.0,0,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A3_cyclic,8ff7251a7c24a8e0e71e,0.2857142857142857,4,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A3_cyclic,8af889f37a502f3fa126,1.0,0,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A3_cyclic,f005d5460cd37c229372,0.5454545454545454,2,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A3_cyclic,dbdc83a7c9f53399480c,1.0,0,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A3_cyclic,f92320ca03fc70c20aea,1.0,0,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A3_cyclic,a431c68f99235de30da3,1.0,0,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A4_adaptive,8ff7251a7c24a8e0e71e,0.2857142857142857,4,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A4_adaptive,8af889f37a502f3fa126,1.0,0,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A4_adaptive,f005d5460cd37c229372,0.5454545454545454,2,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A4_adaptive,dbdc83a7c9f53399480c,1.0,0,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A4_adaptive,f92320ca03fc70c20aea,1.0,0,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A4_adaptive,a431c68f99235de30da3,1.0,0,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A5_density,8ff7251a7c24a8e0e71e,1.0,0,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A5_density,8af889f37a502f3fa126,1.0,0,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A5_density,f005d5460cd37c229372,1.0,0,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A5_density,dbdc83a7c9f53399480c,1.0,0,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A5_density,f92320ca03fc70c20aea,1.0,0,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A5_density,a431c68f99235de30da3,0.2857142857142857,3,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A6_spectral,8ff7251a7c24a8e0e71e,1.0,0,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A6_spectral,8af889f37a502f3fa126,1.0,0,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A6_spectral,f005d5460cd37c229372,1.0,0,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A6_spectral,dbdc83a7c9f53399480c,1.0,0,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A6_spectral,f92320ca03fc70c20aea,1.0,0,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A6_spectral,a431c68f99235de30da3,1.0,0,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A7_event,8ff7251a7c24a8e0e71e,1.0,0,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A7_event,8af889f37a502f3fa126,1.0,0,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A7_event,f005d5460cd37c229372,1.0,0,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A7_event,dbdc83a7c9f53399480c,1.0,0,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A7_event,f92320ca03fc70c20aea,1.0,0,10
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A7_event,a431c68f99235de30da3,1.0,0,10
uNb9QFRL6hY-40,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,manual,5,uNb9QFRL6hY,A0_legacy,f8b24f616d167c27b810,1.0,0,6
uNb9QFRL6hY-40,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,manual,5,uNb9QFRL6hY,A0_legacy,f2a65213a0368b751984,1.0,0,6
uNb9QFRL6hY-40,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,manual,5,uNb9QFRL6hY,A0_legacy,92084aa32f538179d158,1.0,0,6
uNb9QFRL6hY-40,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,manual,5,uNb9QFRL6hY,A0_legacy,5d58f3bc4858f0d343be,1.0,0,6
