code,condition,N_original,N_available,method,cut,clusters,supported,singletons,singleton_mass,largest_share,entropy_bits,sizes
jtcxE69GiFV-05,manual,6,6,spherical,0.075,2,2,0,0.0,0.5,1.0,3;3
jtcxE69GiFV-05,manual,6,6,spherical,0.1,1,1,0,0.0,1.0,-0.0,6
jtcxE69GiFV-05,manual,6,6,spherical,0.125,1,1,0,0.0,1.0,-0.0,6
jtcxE69GiFV-05,manual,6,6,spherical,0.15,1,1,0,0.0,1.0,-0.0,6
jtcxE69GiFV-05,manual,6,6,spherical,0.2,1,1,0,0.0,1.0,-0.0,6
jtcxE69GiFV-05,manual,6,6,solid,0.075,1,1,0,0.0,1.0,-0.0,6
jtcxE69GiFV-05,manual,6,6,solid,0.1,1,1,0,0.0,1.0,-0.0,6
jtcxE69GiFV-05,manual,6,6,solid,0.125,1,1,0,0.0,1.0,-0.0,6
jtcxE69GiFV-05,manual,6,6,solid,0.15,1,1,0,0.0,1.0,-0.0,6
jtcxE69GiFV-05,manual,6,6,solid,0.2,1,1,0,0.0,1.0,-0.0,6
jtcxE69GiFV-05,manual,6,6,linear_common,0.075,2,2,0,0.0,0.5,1.0,3;3
jtcxE69GiFV-05,manual,6,6,linear_common,0.1,2,2,0,0.0,0.5,1.0,3;3
jtcxE69GiFV-05,manual,6,6,linear_common,0.125,1,1,0,0.0,1.0,-0.0,6
jtcxE69GiFV-05,manual,6,6,linear_common,0.15,1,1,0,0.0,1.0,-0.0,6
jtcxE69GiFV-05,manual,6,6,linear_common,0.2,1,1,0,0.0,1.0,-0.0,6
uNb9QFRL6hY-40,manual,5,5,spherical,0.075,1,1,0,0.0,1.0,-0.0,5
uNb9QFRL6hY-40,manual,5,5,spherical,0.1,1,1,0,0.0,1.0,-0.0,5
uNb9QFRL6hY-40,manual,5,5,spherical,0.125,1,1,0,0.0,1.0,-0.0,5
uNb9QFRL6hY-40,manual,5,5,spherical,0.15,1,1,0,0.0,1.0,-0.0,5
uNb9QFRL6hY-40,manual,5,5,spherical,0.2,1,1,0,0.0,1.0,-0.0,5
uNb9QFRL6hY-40,manual,5,5,solid,0.075,1,1,0,0.0,1.0,-0.0,5
uNb9QFRL6hY-40,manual,5,5,solid,0.1,1,1,0,0.0,1.0,-0.0,5
uNb9QFRL6hY-40,manual,5,5,solid,0.125,1,1,0,0.0,1.0,-0.0,5
uNb9QFRL6hY-40,manual,5,5,solid,0.15,1,1,0,0.0,1.0,-0.0,5
uNb9QFRL6hY-40,manual,5,5,solid,0.2,1,1,0,0.0,1.0,-0.0,5
uNb9QFRL6hY-40,manual,5,5,linear_common,0.075,2,2,0,0.0,0.6,0.9709505944546686,3;2
uNb9QFRL6hY-40,manual,5,5,linear_common,0.1,1,1,0,0.0,1.0,-0.0,5
uNb9QFRL6hY-40,manual,5,5,linear_common,0.125,1,1,0,0.0,1.0,-0.0,5
uNb9QFRL6hY-40,manual,5,5,linear_common,0.15,1,1,0,0.0,1.0,-0.0,5
uNb9QFRL6hY-40,manual,5,5,linear_common,0.2,1,1,0,0.0,1.0,-0.0,5
uNb9QFRL6hY-40,semi,4,4,spherical,0.075,1,1,0,0.0,1.0,-0.0,4
uNb9QFRL6hY-40,semi,4,4,spherical,0.1,1,1,0,0.0,1.0,-0.0,4
uNb9QFRL6hY-40,semi,4,4,spherical,0.125,1,1,0,0.0,1.0,-0.0,4
uNb9QFRL6hY-40,semi,4,4,spherical,0.15,1,1,0,0.0,1.0,-0.0,4
uNb9QFRL6hY-40,semi,4,4,spherical,0.2,1,1,0,0.0,1.0,-0.0,4
uNb9QFRL6hY-40,semi,4,4,solid,0.075,1,1,0,0.0,1.0,-0.0,4
uNb9QFRL6hY-40,semi,4,4,solid,0.1,1,1,0,0.0,1.0,-0.0,4
uNb9QFRL6hY-40,semi,4,4,solid,0.125,1,1,0,0.0,1.0,-0.0,4
uNb9QFRL6hY-40,semi,4,4,solid,0.15,1,1,0,0.0,1.0,-0.0,4
uNb9QFRL6hY-40,semi,4,4,solid,0.2,1,1,0,0.0,1.0,-0.0,4
uNb9QFRL6hY-40,semi,4,4,linear_common,0.075,1,1,0,0.0,1.0,-0.0,4
uNb9QFRL6hY-40,semi,4,4,linear_common,0.1,1,1,0,0.0,1.0,-0.0,4
uNb9QFRL6hY-40,semi,4,4,linear_common,0.125,1,1,0,0.0,1.0,-0.0,4
uNb9QFRL6hY-40,semi,4,4,linear_common,0.15,1,1,0,0.0,1.0,-0.0,4
uNb9QFRL6hY-40,semi,4,4,linear_common,0.2,1,1,0,0.0,1.0,-0.0,4
uNb9QFRL6hY-45,manual,23,23,spherical,0.075,4,3,1,0.043478260869565216,0.5217391304347826,1.6436127839905998,12;5;5;1
uNb9QFRL6hY-45,manual,23,23,spherical,0.1,2,2,0,0.0,0.7391304347826086,0.828055725379504,17;6
uNb9QFRL6hY-45,manual,23,23,spherical,0.125,2,2,0,0.0,0.7391304347826086,0.828055725379504,17;6
uNb9QFRL6hY-45,manual,23,23,spherical,0.15,1,1,0,0.0,1.0,-0.0,23
uNb9QFRL6hY-45,manual,23,23,spherical,0.2,1,1,0,0.0,1.0,-0.0,23
