code,condition,N,method,clusters,supported,singletons,singleton_mass,largest_share,entropy_bits,sizes,density_unassigned
jtcxE69GiFV-05,manual,6,A0_legacy,2,2,0,0.0,0.5,1.0,3;3,0
jtcxE69GiFV-05,manual,6,A1_mask,2,2,0,0.0,0.5,1.0,3;3,0
jtcxE69GiFV-05,manual,6,A2_local,2,2,0,0.0,0.5,1.0,3;3,0
jtcxE69GiFV-05,manual,6,A3_cyclic,3,2,1,0.16666666666666666,0.5,1.4591479170272446,3;2;1,0
jtcxE69GiFV-05,manual,6,A4_adaptive,3,2,1,0.16666666666666666,0.5,1.4591479170272446,3;2;1,0
jtcxE69GiFV-05,manual,6,A5_density,4,2,2,0.3333333333333333,0.3333333333333333,1.9182958340544896,2;2;1;1,2
jtcxE69GiFV-05,manual,6,A6_spectral,1,1,0,0.0,1.0,-0.0,6,0
jtcxE69GiFV-05,manual,6,A7_event,3,3,0,0.0,0.3333333333333333,1.584962500721156,2;2;2,0
uNb9QFRL6hY-40,manual,5,A0_legacy,2,1,1,0.2,0.8,0.7219280948873623,4;1,0
uNb9QFRL6hY-40,manual,5,A1_mask,1,1,0,0.0,1.0,-0.0,5,0
uNb9QFRL6hY-40,manual,5,A2_local,2,1,1,0.2,0.8,0.7219280948873623,4;1,0
uNb9QFRL6hY-40,manual,5,A3_cyclic,1,1,0,0.0,1.0,-0.0,5,0
uNb9QFRL6hY-40,manual,5,A4_adaptive,1,1,0,0.0,1.0,-0.0,5,0
uNb9QFRL6hY-40,manual,5,A5_density,4,1,3,0.6,0.4,1.9219280948873623,2;1;1;1,3
uNb9QFRL6hY-40,manual,5,A6_spectral,1,1,0,0.0,1.0,-0.0,5,0
uNb9QFRL6hY-40,manual,5,A7_event,1,1,0,0.0,1.0,-0.0,5,0
uNb9QFRL6hY-40,semi,4,A0_legacy,2,1,1,0.25,0.75,0.8112781244591328,3;1,0
uNb9QFRL6hY-40,semi,4,A1_mask,1,1,0,0.0,1.0,-0.0,4,0
uNb9QFRL6hY-40,semi,4,A2_local,2,1,1,0.25,0.75,0.8112781244591328,3;1,0
uNb9QFRL6hY-40,semi,4,A3_cyclic,1,1,0,0.0,1.0,-0.0,4,0
uNb9QFRL6hY-40,semi,4,A4_adaptive,1,1,0,0.0,1.0,-0.0,4,0
uNb9QFRL6hY-40,semi,4,A5_density,2,1,1,0.25,0.75,0.8112781244591328,3;1,1
uNb9QFRL6hY-40,semi,4,A6_spectral,1,1,0,0.0,1.0,-0.0,4,0
uNb9QFRL6hY-40,semi,4,A7_event,1,1,0,0.0,1.0,-0.0,4,0
uNb9QFRL6hY-45,manual,23,A0_legacy,6,4,2,0.08695652173913043,0.391304347826087,2.135053392163643,9;7;3;2;1;1,0
uNb9QFRL6hY-45,manual,23,A1_mask,5,5,0,0.0,0.391304347826087,2.0480968704245126,9;7;3;2;2,0
uNb9QFRL6hY-45,manual,23,A2_local,6,4,2,0.08695652173913043,0.391304347826087,2.135053392163643,9;7;3;2;1;1,0
uNb9QFRL6hY-45,manual,23,A3_cyclic,5,4,1,0.043478260869565216,0.43478260869565216,1.8618540887146817,10;8;2;2;1,0
uNb9QFRL6hY-45,manual,23,A4_adaptive,5,4,1,0.043478260869565216,0.43478260869565216,1.8618540887146817,10;8;2;2;1,0
uNb9QFRL6hY-45,manual,23,A5_density,7,6,1,0.043478260869565216,0.391304347826087,2.46772662931161,9;4;3;2;2;2;1,1
uNb9QFRL6hY-45,manual,23,A6_spectral,3,3,0,0.0,0.4782608695652174,1.4777468341000446,11;8;4,0
uNb9QFRL6hY-45,manual,23,A7_event,8,5,3,0.13043478260869565,0.30434782608695654,2.614164262105116,7;6;3;2;2;1;1;1,0
7y3sRwLe3Va-08,oos,25,A0_legacy,16,3,13,0.52,0.2,3.6692750707107136,5;4;3;1;1;1;1;1;1;1;1;1;1;1;1;1,0
7y3sRwLe3Va-08,oos,25,A1_mask,14,4,10,0.4,0.2,3.4448894517332405,5;5;3;2;1;1;1;1;1;1;1;1;1;1,0
7y3sRwLe3Va-08,oos,25,A2_local,18,4,14,0.56,0.16,3.9736606896881854,4;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1,0
7y3sRwLe3Va-08,oos,25,A3_cyclic,13,4,9,0.36,0.28,3.2334111926211224,7;5;2;2;1;1;1;1;1;1;1;1;1,0
7y3sRwLe3Va-08,oos,25,A4_adaptive,13,4,9,0.36,0.28,3.2334111926211224,7;5;2;2;1;1;1;1;1;1;1;1;1,0
7y3sRwLe3Va-08,oos,25,A5_density,12,7,5,0.2,0.2,3.349275070710713,5;4;3;2;2;2;2;1;1;1;1;1,5
7y3sRwLe3Va-08,oos,25,A6_spectral,4,4,0,0.0,0.32,1.9690255736436506,8;7;5;5,0
7y3sRwLe3Va-08,oos,25,A7_event,15,3,12,0.48,0.2,3.52488945173324,5;5;3;1;1;1;1;1;1;1;1;1;1;1;1,0
7y3sRwLe3Va-12,oos,24,A0_legacy,12,4,8,0.3333333333333333,0.25,3.125814583693912,6;6;2;2;1;1;1;1;1;1;1;1,0
7y3sRwLe3Va-12,oos,24,A1_mask,8,6,2,0.08333333333333333,0.25,2.7295739585136225,6;6;3;3;2;2;1;1,0
7y3sRwLe3Va-12,oos,24,A2_local,10,5,5,0.20833333333333334,0.3333333333333333,2.886842188131012,8;4;3;2;2;1;1;1;1;1,0
7y3sRwLe3Va-12,oos,24,A3_cyclic,11,7,4,0.16666666666666666,0.16666666666666666,3.2516291673878226,4;4;4;2;2;2;2;1;1;1;1,0
7y3sRwLe3Va-12,oos,24,A4_adaptive,12,6,6,0.25,0.16666666666666666,3.3758145836939115,4;3;3;3;3;2;1;1;1;1;1;1,0
