code,image_id,condition,N,building,method,parameter,clusters,supported,singletons,singleton_mass,largest_share,entropy_bits,sizes
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,mask_nogate,0.05,4,2,2,0.3333333333333333,0.3333333333333333,1.9182958340544896,2;2;1;1
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,mask_gate,0.05,4,2,2,0.3333333333333333,0.3333333333333333,1.9182958340544896,2;2;1;1
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,mask_nogate,0.075,2,2,0,0.0,0.5,1.0,3;3
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,mask_gate,0.075,2,2,0,0.0,0.5,1.0,3;3
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,mask_nogate,0.1,2,2,0,0.0,0.5,1.0,3;3
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,mask_gate,0.1,2,2,0,0.0,0.5,1.0,3;3
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,mask_nogate,0.125,1,1,0,0.0,1.0,-0.0,6
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,mask_gate,0.125,1,1,0,0.0,1.0,-0.0,6
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,mask_nogate,0.15,1,1,0,0.0,1.0,-0.0,6
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,mask_gate,0.15,1,1,0,0.0,1.0,-0.0,6
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,mask_nogate,0.2,1,1,0,0.0,1.0,-0.0,6
