code,image_id,condition,N,building,method,clusters,supported,singletons,singleton_mass,largest_share,entropy_bits,sizes,noise_n,ARI_vs_legacy,silhouette,k,eigengap
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A0_legacy,2,2,0,0.0,0.5,1.0,3;3,0,1.0,0.35725980481834707,,
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A1_mask,2,2,0,0.0,0.5,1.0,3;3,0,1.0,0.35725980481834707,,
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A2_local,2,2,0,0.0,0.5,1.0,3;3,0,1.0,0.3152130248295449,,
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A3_cyclic,3,2,1,0.16666666666666666,0.5,1.4591479170272446,3;2;1,0,0.11764705882352941,0.40250783917403754,,
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A4_adaptive,3,2,1,0.16666666666666666,0.5,1.4591479170272446,3;2;1,0,0.11764705882352941,0.409311049438968,,
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A5_density,4,2,2,0.3333333333333333,0.3333333333333333,1.9182958340544896,2;2;1;1,2,0.375,0.44708255861738505,,
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A6_spectral,1,1,0,0.0,1.0,-0.0,6,0,0.0,,1.0,0.8393318763000205
jtcxE69GiFV-05,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,jtcxE69GiFV,A7_event,3,3,0,0.0,0.3333333333333333,1.584962500721156,2;2;2,0,0.24242424242424243,0.49202216217703815,,
uNb9QFRL6hY-40,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,manual,5,uNb9QFRL6hY,A0_legacy,2,1,1,0.2,0.8,0.7219280948873623,4;1,0,1.0,0.37949632471157635,,
uNb9QFRL6hY-40,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,manual,5,uNb9QFRL6hY,A1_mask,1,1,0,0.0,1.0,-0.0,5,0,0.0,,,
uNb9QFRL6hY-40,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,manual,5,uNb9QFRL6hY,A2_local,2,1,1,0.2,0.8,0.7219280948873623,4;1,0,1.0,0.6215245245216179,,
uNb9QFRL6hY-40,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,manual,5,uNb9QFRL6hY,A3_cyclic,1,1,0,0.0,1.0,-0.0,5,0,0.0,,,
uNb9QFRL6hY-40,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,manual,5,uNb9QFRL6hY,A4_adaptive,1,1,0,0.0,1.0,-0.0,5,0,0.0,,,
uNb9QFRL6hY-40,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,manual,5,uNb9QFRL6hY,A5_density,4,1,3,0.6,0.4,1.9219280948873623,2;1;1;1,3,0.13793103448275862,0.08180350391863651,,
uNb9QFRL6hY-40,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,manual,5,uNb9QFRL6hY,A6_spectral,1,1,0,0.0,1.0,-0.0,5,0,0.0,,1.0,0.8198614734398587
uNb9QFRL6hY-40,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,manual,5,uNb9QFRL6hY,A7_event,1,1,0,0.0,1.0,-0.0,5,0,0.0,,,
