tag,n_rows,n_tasks,active_time_med,agree_med
corner_drift,18,7,81.968,0.9767166376113892
corner_duplicate,18,5,61.912,0.8501108288764954
overextend_adjacent,10,3,61.912,0.8767200410366058
fail,8,1,129.4965,0.7958537340164185
corner_mismatch,2,1,216.681,0.821131706237793
