|Δn_pairs|,n_rows,n_tasks,coverage_layout,active_time_med,boundary_rmse_med,iou_med,agree_med
0,94,18,1.0,21.39,0.0,1.0,1.0
1,8,4,0.75,37.366,36.75946924758696,0.94492743978145,0.8344212174415588
2,18,4,1.0,56.536,3.6204268449384234,0.8439403608516564,0.8381608724594116
>2,2,1,1.0,121.734,33.43592468543845,0.8051130063025252,
