tag,n_rows,n_tasks,active_time_med,agree_med
occlusion,36,12,69.5125,0.9748007655143738
residual,8,3,194.637,0.8105500936508179
low_texture,8,4,93.82650000000001,0.821131706237793
low_quality,6,3,121.734,0.8243554830551147
