task_id,annotator_id,condition_clean,scope_clean,is_oos_clean,iou,iou_corner,boundary_rmse_px,active_time,iou_to_consensus_loo,iou_to_others_median,layout_used_clean,layout_gate_reason,anomaly_type
474,3,semi,normal,False,0.9604076246752072,0.9604076246752072,1.4231957809276343,1124.848,,,True,,High Active Time
503,3,semi,normal,False,0.9719617698347048,0.9719617698347048,11.786077426088376,284.11,0.971961796283722,0.9767166376113892,True,,High Active Time
491,3,semi,normal,False,0.9863475031130946,0.9863475031130946,3.7111072381000016,232.393,,,True,,High Active Time
505,3,semi,normal,False,0.8329934895081764,0.8329934895081764,23.943670926602007,216.681,0.8207488059997559,0.821131706237793,True,,High Active Time
479,4,semi,normal,False,0.9211248221283116,0.9211248221283116,122.94258377897384,32.612,,,False,low_coverage,High Boundary RMSE
500,1,semi,normal,False,1.0,1.0,2.080129588748631,20.436,0.797660231590271,0.797660231590271,True,,Low Agreement
475,1,semi,normal,False,0.4161883959106334,0.4161883959106334,97.03971883332105,176.504,0.7502751350402832,0.7502751350402832,True,,Low iou
475,3,semi,normal,False,0.4897527954083675,0.4897527954083675,98.22996475904132,82.489,0.7958537340164185,0.7958537340164185,True,,Low iou
475,2,semi,normal,False,0.4937043604887164,0.4937043604887164,101.17947968523558,1622.9589999999998,0.8105500936508179,0.8105500936508179,True,,Low iou
475,4,semi,normal,False,0.5165761659834641,0.5165761659834641,111.61902454610951,32.645,0.8105500936508179,0.7958537340164185,True,,Low iou
500,3,semi,normal,False,0.7976602528019239,0.7976602528019239,1.051349925622853,61.912,0.8381608724594116,0.8381608724594116,True,,Low iou
500,2,semi,normal,False,0.7976602528019239,0.7976602528019239,1.2725131184439469,56.536,0.8381608724594116,0.8381608724594116,True,,Low iou
