code,image_id,condition,N,k,local_radius,ospa_uncovered,local_uncovered,ospa_covered_but_local_uncovered,local_covered_but_ospa_uncovered
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,24,8,12.0,0.2640354786252619,0.5409761227839031,0.27694064415864117,0.0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,24,12,6.0,0.227933965348153,0.5308515854854527,0.3029176201372997,0.0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,24,12,9.0,0.227933965348153,0.47369783153536016,0.24576386618720716,0.0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,24,12,12.0,0.227933965348153,0.47157295412444156,0.24363898877628856,0.0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,24,16,6.0,0.2124534821903243,0.4929269814853339,0.28047349929500964,0.0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,24,16,9.0,0.2124534821903243,0.4292467004137485,0.2167932182234242,0.0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,24,16,12.0,0.2124534821903243,0.42903867045743477,0.21658518826711046,0.0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,24,2,6.0,0.6152832674571805,0.8814229249011859,0.26613965744400536,0.0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,24,2,9.0,0.6152832674571805,0.7865612648221344,0.17786561264822143,0.006587615283267567
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,24,2,12.0,0.6152832674571805,0.633399209486166,0.07279314888010546,0.054677206851119986
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,24,4,6.0,0.42956898174289476,0.7802606813476379,0.35069169960474317,0.0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,24,4,9.0,0.42956898174289476,0.634857895727461,0.21610671936758902,0.010817805383022794
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,24,4,12.0,0.42956898174289476,0.46939111613024664,0.09608507434594399,0.056262939958592106
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,24,8,6.0,0.2706704275219553,0.6222002635046114,0.35152983598265614,0.0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,24,8,9.0,0.2706704275219553,0.4468246368653557,0.1903175822024254,0.014163372859025025
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,24,8,12.0,0.2706704275219553,0.3383533307227613,0.11488377855823004,0.04720087535742404
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,24,12,6.0,0.19454446538340733,0.5106107660455487,0.31606630066214136,0.0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,24,12,9.0,0.19454446538340733,0.34671116730445034,0.16536545968501817,0.013198757763975166
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,24,12,12.0,0.19454446538340733,0.2776572123304523,0.12285866643788301,0.03974591949083803
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,24,16,6.0,0.14361035309345985,0.4314888010540184,0.2878784479605585,0.0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,24,16,9.0,0.14361035309345985,0.29254229602526816,0.1588133658567095,0.009881422924901184
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,24,16,12.0,0.14361035309345985,0.23913094465995258,0.12253015414611859,0.027009562579625862
7y3sRwLe3Va-13,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,24,2,6.0,0.24736495388669302,0.4494400527009222,0.20207509881422916,0.0
7y3sRwLe3Va-13,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,24,2,9.0,0.24736495388669302,0.3682476943346509,0.12895256916996048,0.008069828722002625
7y3sRwLe3Va-13,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,24,2,12.0,0.24736495388669302,0.19581686429512515,0.03754940711462451,0.08909749670619238
7y3sRwLe3Va-13,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,24,4,6.0,0.19080557124035383,0.3549077733860342,0.16410220214568036,0.0
7y3sRwLe3Va-13,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,24,4,9.0,0.19080557124035383,0.273536608319217,0.09527103331451156,0.012539996235648387
7y3sRwLe3Va-13,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,24,4,12.0,0.19080557124035383,0.16727837380011293,0.04567570111048373,0.06920289855072463
7y3sRwLe3Va-13,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,24,8,6.0,0.164964441154036,0.31704045774748424,0.15207601659344824,0.0
7y3sRwLe3Va-13,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,24,8,9.0,0.164964441154036,0.22266377600204493,0.0774621806978113,0.01976284584980237
7y3sRwLe3Va-13,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,24,8,12.0,0.164964441154036,0.16666666666666666,0.05605005159958719,0.05434782608695653
7y3sRwLe3Va-13,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,24,12,6.0,0.14311634264689857,0.28804347826086957,0.144927135613971,0.0
7y3sRwLe3Va-13,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,24,12,9.0,0.14311634264689857,0.1925465838509317,0.07116937163881575,0.021739130434782608
7y3sRwLe3Va-13,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,24,12,12.0,0.14311634264689857,0.16666666666666666,0.0634053964835362,0.03985507246376811
7y3sRwLe3Va-13,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,24,16,6.0,0.1213768115942029,0.25905797101449274,0.13768115942028986,0.0
7y3sRwLe3Va-13,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,24,16,9.0,0.1213768115942029,0.1752305665349144,0.07229907773386038,0.01844532279314888
7y3sRwLe3Va-13,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,24,16,12.0,0.1213768115942029,0.16666666666666666,0.07065217391304347,0.025362318840579712
7y3sRwLe3Va-17,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,5,2,6.0,0.8,0.8,0.0,0.0
7y3sRwLe3Va-17,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,5,2,9.0,0.8,0.8,0.0,0.0
7y3sRwLe3Va-17,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,5,2,12.0,0.8,0.8,0.0,0.0
7y3sRwLe3Va-17,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,5,4,6.0,0.6,0.6,0.0,0.0
7y3sRwLe3Va-17,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,5,4,9.0,0.6,0.6,0.0,0.0
