code,image_id,building,condition,method,N,clusters,supported,singletons,singleton_mass,largest_share,sizes
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,count_only,3,1,1,0,0.0,1.0,3
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,OSPA1_3,3,1,1,0,0.0,1.0,3
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,OSPA1_6,3,1,1,0,0.0,1.0,3
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,OSPA1_9,3,1,1,0,0.0,1.0,3
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,OSPA2_3,3,1,1,0,0.0,1.0,3
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,OSPA2_6,3,1,1,0,0.0,1.0,3
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,OSPA2_9,3,1,1,0,0.0,1.0,3
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,OSPA2_12,3,1,1,0,0.0,1.0,3
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,Hausdorff_3,3,2,1,1,0.3333333333333333,0.6666666666666666,2;1
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,Hausdorff_6,3,1,1,0,0.0,1.0,3
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,Hausdorff_9,3,1,1,0,0.0,1.0,3
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,Hausdorff_12,3,1,1,0,0.0,1.0,3
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,OSPA1_6_AND_H6,3,1,1,0,0.0,1.0,3
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,OSPA1_6_AND_H9,3,1,1,0,0.0,1.0,3
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,OSPA1_6_AND_H12,3,1,1,0,0.0,1.0,3
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,Bottleneck_equal_6,3,1,1,0,0.0,1.0,3
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,Bottleneck_equal_9,3,1,1,0,0.0,1.0,3
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,Bottleneck_equal_12,3,1,1,0,0.0,1.0,3
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,count_only,3,1,1,0,0.0,1.0,3
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,OSPA1_3,3,2,1,1,0.3333333333333333,0.6666666666666666,2;1
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,OSPA1_6,3,1,1,0,0.0,1.0,3
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,OSPA1_9,3,1,1,0,0.0,1.0,3
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,OSPA2_3,3,2,1,1,0.3333333333333333,0.6666666666666666,2;1
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,OSPA2_6,3,1,1,0,0.0,1.0,3
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,OSPA2_9,3,1,1,0,0.0,1.0,3
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,OSPA2_12,3,1,1,0,0.0,1.0,3
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,Hausdorff_3,3,3,0,3,1.0,0.3333333333333333,1;1;1
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,Hausdorff_6,3,2,1,1,0.3333333333333333,0.6666666666666666,2;1
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,Hausdorff_9,3,2,1,1,0.3333333333333333,0.6666666666666666,2;1
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,Hausdorff_12,3,1,1,0,0.0,1.0,3
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,OSPA1_6_AND_H6,3,2,1,1,0.3333333333333333,0.6666666666666666,2;1
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,OSPA1_6_AND_H9,3,2,1,1,0.3333333333333333,0.6666666666666666,2;1
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,OSPA1_6_AND_H12,3,1,1,0,0.0,1.0,3
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,Bottleneck_equal_6,3,2,1,1,0.3333333333333333,0.6666666666666666,2;1
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,Bottleneck_equal_9,3,2,1,1,0.3333333333333333,0.6666666666666666,2;1
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,Bottleneck_equal_12,3,1,1,0,0.0,1.0,3
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,count_only,1,1,0,1,1.0,1.0,1
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,OSPA1_3,1,1,0,1,1.0,1.0,1
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,OSPA1_6,1,1,0,1,1.0,1.0,1
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,OSPA1_9,1,1,0,1,1.0,1.0,1
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,OSPA2_3,1,1,0,1,1.0,1.0,1
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,OSPA2_6,1,1,0,1,1.0,1.0,1
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,OSPA2_9,1,1,0,1,1.0,1.0,1
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,OSPA2_12,1,1,0,1,1.0,1.0,1
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,Hausdorff_3,1,1,0,1,1.0,1.0,1
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,Hausdorff_6,1,1,0,1,1.0,1.0,1
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,Hausdorff_9,1,1,0,1,1.0,1.0,1
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,Hausdorff_12,1,1,0,1,1.0,1.0,1
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,OSPA1_6_AND_H6,1,1,0,1,1.0,1.0,1
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,OSPA1_6_AND_H9,1,1,0,1,1.0,1.0,1
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,OSPA1_6_AND_H12,1,1,0,1,1.0,1.0,1
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,Bottleneck_equal_6,1,1,0,1,1.0,1.0,1
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,Bottleneck_equal_9,1,1,0,1,1.0,1.0,1
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,Bottleneck_equal_12,1,1,0,1,1.0,1.0,1
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,count_only,5,2,1,1,0.2,0.8,4;1
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,OSPA1_3,5,3,1,2,0.4,0.6,3;1;1
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,OSPA1_6,5,2,1,1,0.2,0.8,4;1
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,OSPA1_9,5,2,1,1,0.2,0.8,4;1
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,OSPA2_3,5,3,1,2,0.4,0.6,3;1;1
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,OSPA2_6,5,2,1,1,0.2,0.8,4;1
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,OSPA2_9,5,2,1,1,0.2,0.8,4;1
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,OSPA2_12,5,2,1,1,0.2,0.8,4;1
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,Hausdorff_3,5,4,1,3,0.6,0.4,2;1;1;1
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,Hausdorff_6,5,3,1,2,0.4,0.6,3;1;1
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,Hausdorff_9,5,2,1,1,0.2,0.8,4;1
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,Hausdorff_12,5,2,1,1,0.2,0.8,4;1
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,OSPA1_6_AND_H6,5,3,1,2,0.4,0.6,3;1;1
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,OSPA1_6_AND_H9,5,2,1,1,0.2,0.8,4;1
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,OSPA1_6_AND_H12,5,2,1,1,0.2,0.8,4;1
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,Bottleneck_equal_6,5,3,1,2,0.4,0.6,3;1;1
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,Bottleneck_equal_9,5,2,1,1,0.2,0.8,4;1
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,Bottleneck_equal_12,5,2,1,1,0.2,0.8,4;1
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,count_only,24,1,1,0,0.0,1.0,24
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,OSPA1_3,24,1,1,0,0.0,1.0,24
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,OSPA1_6,24,1,1,0,0.0,1.0,24
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,OSPA1_9,24,1,1,0,0.0,1.0,24
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,OSPA2_3,24,2,2,0,0.0,0.8333333333333334,20;4
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,OSPA2_6,24,1,1,0,0.0,1.0,24
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,OSPA2_9,24,1,1,0,0.0,1.0,24
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,OSPA2_12,24,1,1,0,0.0,1.0,24
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,Hausdorff_3,24,7,3,4,0.16666666666666666,0.6666666666666666,16;2;2;1;1;1;1
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,Hausdorff_6,24,2,2,0,0.0,0.9166666666666666,22;2
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,Hausdorff_9,24,1,1,0,0.0,1.0,24
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,Hausdorff_12,24,1,1,0,0.0,1.0,24
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,OSPA1_6_AND_H6,24,2,2,0,0.0,0.9166666666666666,22;2
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,OSPA1_6_AND_H9,24,1,1,0,0.0,1.0,24
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,OSPA1_6_AND_H12,24,1,1,0,0.0,1.0,24
