radius,condition,stratum,pairs,images,units
6,all,samecount_ospa6close_localfar,3860,139,148
6,all,differentcount_ospa6far_localclose,201,10,10
6,all,samecount_localclose_matching_not_complete,1,1,1
6,manual,samecount_ospa6close_localfar,2514,108,108
6,manual,differentcount_ospa6far_localclose,18,5,5
6,manual,samecount_localclose_matching_not_complete,1,1,1
6,semi,samecount_ospa6close_localfar,769,31,31
6,semi,differentcount_ospa6far_localclose,183,5,5
6,semi,samecount_localclose_matching_not_complete,0,0,0
6,oos,samecount_ospa6close_localfar,577,9,9
6,oos,differentcount_ospa6far_localclose,0,0,0
6,oos,samecount_localclose_matching_not_complete,0,0,0
9,all,samecount_ospa6close_localfar,1721,105,110
9,all,differentcount_ospa6far_localclose,297,25,25
9,all,samecount_localclose_matching_not_complete,10,2,2
9,manual,samecount_ospa6close_localfar,1115,78,78
9,manual,differentcount_ospa6far_localclose,51,13,13
9,manual,samecount_localclose_matching_not_complete,10,2,2
9,semi,samecount_ospa6close_localfar,295,24,24
9,semi,differentcount_ospa6far_localclose,238,9,9
9,semi,samecount_localclose_matching_not_complete,0,0,0
9,oos,samecount_ospa6close_localfar,311,8,8
9,oos,differentcount_ospa6far_localclose,8,3,3
9,oos,samecount_localclose_matching_not_complete,0,0,0
12,all,samecount_ospa6close_localfar,771,80,80
12,all,differentcount_ospa6far_localclose,501,39,40
12,all,samecount_localclose_matching_not_complete,12,4,4
12,manual,samecount_ospa6close_localfar,476,57,57
12,manual,differentcount_ospa6far_localclose,129,22,22
12,manual,samecount_localclose_matching_not_complete,12,4,4
12,semi,samecount_ospa6close_localfar,136,15,15
12,semi,differentcount_ospa6far_localclose,313,11,11
12,semi,samecount_localclose_matching_not_complete,0,0,0
12,oos,samecount_ospa6close_localfar,159,8,8
12,oos,differentcount_ospa6far_localclose,59,7,7
12,oos,samecount_localclose_matching_not_complete,0,0,0
