image_a,image_b,code_a,code_b,building,group_ids,context,N,median_ratio_b_over_a,median_larger_over_smaller,ratio_q25,ratio_q75,fraction_within_1_5,fraction_within_2,fraction_b_longer,uncalibrated_log_mae,fixed_pair_transfer_evaluable,calibrated_loo_log_mae,personal_baseline_bidirectional_log_mae
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-08,7y3sRwLe3Va-12,7y3sRwLe3Va,G014,P1|0|oos,19,0.9375,1.7639484978540771,1.3684203216577315,2.7284313725490197,0.3157894736842105,0.631578947368421,0.47368421052631576,0.6986621029730986,True,0.8485338510343103,0.48199153711662024
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,7y3sRwLe3Va-17,7y3sRwLe3Va-22,7y3sRwLe3Va,G014,C1|0|manual,1,0.7010309278350515,1.4264705882352942,1.4264705882352942,1.4264705882352942,1.0,1.0,0.0,0.3552032733272762,False,,
UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,UwV83HsGsw3-06,UwV83HsGsw3-08,UwV83HsGsw3,G049,P1|0|oos,19,1.5238095238095237,1.5544147843942506,1.246893123446562,2.3272168405365123,0.3684210526315789,0.631578947368421,0.6842105263157895,0.5687079802596705,True,0.4874069253518724,0.4557394989563197
UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,UwV83HsGsw3-06,UwV83HsGsw3-23,UwV83HsGsw3,G049,P1|0|oos,19,1.0588235294117647,1.6778523489932888,1.1432737878235508,2.4245819554867607,0.47368421052631576,0.631578947368421,0.5263157894736842,0.563997035068942,True,0.5901543667348059,0.49845481386590673
UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,UwV83HsGsw3-08,UwV83HsGsw3-23,UwV83HsGsw3,G049,P1|0|oos,19,0.7039274924471299,2.1134751773049647,1.2716528640441682,3.227264113699171,0.47368421052631576,0.47368421052631576,0.2631578947368421,0.7336251282283414,True,0.7387748530334006,0.5064945962943328
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,UwV83HsGsw3-12,UwV83HsGsw3-22,UwV83HsGsw3,G051,C1|0|manual,1,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.0,1.0,1.0,0.10536051565782635,False,,
VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom-01,VFuaQ6m2Qom-07,VFuaQ6m2Qom,G057,C2-B|0|manual,2,2.047163849897262,2.3405042918454937,1.7732564377682403,2.907752145922747,0.5,0.5,1.0,0.7164553473924004,False,,
VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,VFuaQ6m2Qom-01,VFuaQ6m2Qom-10,VFuaQ6m2Qom,G057,C2-B|0|manual,2,1.005883976961208,1.143292682926829,1.1399390243902439,1.1466463414634145,1.0,1.0,0.5,0.13389520840122549,False,,
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom-04,VFuaQ6m2Qom-07,VFuaQ6m2Qom,G057,C2-B|0|manual,3,1.8173076923076923,1.8173076923076923,1.6746112929623567,1.8597408026755853,0.0,1.0,1.0,0.5556240100329134,False,,
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,VFuaQ6m2Qom-07,VFuaQ6m2Qom-10,VFuaQ6m2Qom,G057,C2-B|0|manual,3,0.7295373665480427,2.398550724637681,1.884641215977377,2.710144927536232,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7653473056855976,False,,
q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC-02,q9vSo1VnCiC-13,q9vSo1VnCiC,G145,P1|0|manual,19,2.1486486486486487,2.4583333333333335,1.7256038647342995,4.49034588959962,0.21052631578947367,0.3684210526315789,0.8947368421052632,1.0001991132394714,True,0.768959676088308,0.5269942796990028
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge-06,rPc6DW4iMge-22,rPc6DW4iMge,G166,P1|0|manual,19,1.035693724812896,1.5916666666666668,1.105735492577598,1.9872040072859745,0.47368421052631576,0.7368421052631579,0.631578947368421,0.531280897146806,True,0.5926582483877941,0.5025639224978651
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,uNb9QFRL6hY-08,uNb9QFRL6hY-29,uNb9QFRL6hY,G179,C1|0|manual,4,1.9280027412158278,1.930995475113122,1.6371783088235294,2.8827335533099605,0.25,0.5,1.0,0.7693667569871482,False,,
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,uNb9QFRL6hY-08,uNb9QFRL6hY-68,uNb9QFRL6hY,G179,C1|0|manual,4,1.0126834241254867,1.5972288744440644,1.2247629208155524,2.521023937836822,0.5,0.75,0.5,0.6253406210381672,False,,
uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,uNb9QFRL6hY-26,uNb9QFRL6hY-50,uNb9QFRL6hY,G184,C1|0|manual,4,0.8567628336893993,1.58489010989011,1.2607660455486542,2.001339848675914,0.5,0.75,0.25,0.459475047233044,False,,
uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,uNb9QFRL6hY-26,uNb9QFRL6hY-60,uNb9QFRL6hY,G184,C1|0|manual,5,1.3368421052631578,2.319672131147541,1.3368421052631578,3.284313725490196,0.4,0.4,0.8,1.1344100403799797,True,1.173635711089275,0.6979303675563313
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,uNb9QFRL6hY-40,uNb9QFRL6hY-45,uNb9QFRL6hY,G172,C1|0|manual,4,0.43614472623456335,2.2933703271028034,2.0610308694420842,2.4744791666666663,0.0,0.25,0.25,0.7820569145424218,False,,
uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,uNb9QFRL6hY-50,uNb9QFRL6hY-60,uNb9QFRL6hY,G184,C1|0|manual,19,1.2318840579710144,1.371069182389937,1.1992753623188406,2.088164251207729,0.631578947368421,0.6842105263157895,0.631578947368421,0.5272574223050446,True,0.5109056466773257,0.4010418089282397
uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449,uNb9QFRL6hY-50,uNb9QFRL6hY-66,uNb9QFRL6hY,G184,C1|0|manual,5,1.149171270718232,1.7513812154696133,1.5825242718446602,2.1192660550458715,0.2,0.6,0.6,0.6012278139313618,True,0.8152513579725109,0.30061390696568074
uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,uNb9QFRL6hY_ca08ebfb2da647f68db41630637e400b,uNb9QFRL6hY-50,uNb9QFRL6hY-67,uNb9QFRL6hY,G184,C1|0|manual,5,0.6619718309859155,1.5677966101694913,1.5106382978723403,1.626865671641791,0.2,0.8,0.4,0.46992194461934583,True,0.5551555932804748,0.33260068822604316
uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,uNb9QFRL6hY-50,uNb9QFRL6hY-88,uNb9QFRL6hY,G184,C1|0|manual,4,1.3968605915391565,2.0052023121387283,1.5048780487804878,2.7497226601272846,0.25,0.5,0.75,0.7186769411949555,False,,
uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449,uNb9QFRL6hY-60,uNb9QFRL6hY-66,uNb9QFRL6hY,G184,C1|0|manual,4,0.7633293670218414,1.3399498775417213,1.070994876984378,1.7494758037675564,0.5,0.75,0.25,0.34667535623194023,False,,
uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,uNb9QFRL6hY_ca08ebfb2da647f68db41630637e400b,uNb9QFRL6hY-60,uNb9QFRL6hY-67,uNb9QFRL6hY,G184,C1|0|manual,4,0.9861174767668296,1.252655207350732,1.0897009055870648,1.5835768556399765,0.75,0.75,0.5,0.3116630062746977,False,,
uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,uNb9QFRL6hY-60,uNb9QFRL6hY-88,uNb9QFRL6hY,G184,C1|0|manual,4,1.086688104270724,1.4960626623104631,1.2265217391304346,1.733744503139088,0.5,1.0,0.5,0.3599690157502501,False,,
uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449,uNb9QFRL6hY_ca08ebfb2da647f68db41630637e400b,uNb9QFRL6hY-66,uNb9QFRL6hY-67,uNb9QFRL6hY,G184,C1|0|manual,4,1.223045869409084,1.742497597752975,1.3785083429655316,2.3483860816399926,0.25,0.75,0.5,0.5835305874283925,False,,
wc2JMjhGNzB_03c1aca95e254bf4b0db303a28d79aee,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,wc2JMjhGNzB-03,wc2JMjhGNzB-54,wc2JMjhGNzB,G205,C1|0|manual,3,1.3611111111111112,1.3611111111111112,1.2702294685990339,1.3837813620071686,1.0,1.0,1.0,0.2714443004852777,False,,
wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,wc2JMjhGNzB-26,wc2JMjhGNzB-53,wc2JMjhGNzB,G202,C1|0|manual,4,0.9265504559486418,1.2318134952457327,1.1672915517774758,5.20320197044335,0.75,0.75,0.5,0.8340897818491311,False,,
yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,yqstnuAEVhm_2f8c1f8ea7364f67b1c5fe2be2750257,yqstnuAEVhm-01,yqstnuAEVhm-06,yqstnuAEVhm,G236,C1|0|manual,2,1.2923848578073234,1.293103448275862,1.271551724137931,1.3146551724137931,1.0,1.0,1.0,0.2564892385635459,False,,
yqstnuAEVhm_30f3ce4575234a7ba5ff97797f059ae1,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,yqstnuAEVhm-07,yqstnuAEVhm-25,yqstnuAEVhm,G243,C1|0|manual,4,1.0289130854666362,2.0684257602862255,1.2728177763618986,3.884615384615385,0.5,0.5,0.5,0.8613096344701441,False,,
yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,yqstnuAEVhm_c93bf298b1cb41a1b368a6ce8bcff53d,yqstnuAEVhm-09,yqstnuAEVhm-29,yqstnuAEVhm,G245,C1|0|manual,1,0.7320574162679426,1.3660130718954246,1.3660130718954246,1.3660130718954246,1.0,1.0,0.0,0.3118963305723755,False,,
yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,yqstnuAEVhm-31,yqstnuAEVhm-32,yqstnuAEVhm,G245,P1|0|manual,19,0.5376344086021505,2.1875,1.4794520547945207,4.1250603864734305,0.3157894736842105,0.42105263157894735,0.10526315789473684,0.9209991462149558,True,0.7524802376444351,0.7908634709024916
