code,image_id,building,condition,method,N,clusters,supported,singletons,singleton_mass,largest_share,sizes,compatible_pairs,compatible_pairs_split,open_triangles,total_triples
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,OSPA1_6,3,1,1,0,0.0,1.0,3,3,0,0,1
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,Hausdorff_6,3,1,1,0,0.0,1.0,3,3,0,0,1
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,Hausdorff_9,3,1,1,0,0.0,1.0,3,3,0,0,1
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,Hausdorff_12,3,1,1,0,0.0,1.0,3,3,0,0,1
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,OSPA1_6_AND_H9,3,1,1,0,0.0,1.0,3,3,0,0,1
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,OSPA1_6,3,1,1,0,0.0,1.0,3,3,0,0,1
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,Hausdorff_6,3,2,1,1,0.3333333333333333,0.6666666666666666,2;1,1,0,0,1
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,Hausdorff_9,3,2,1,1,0.3333333333333333,0.6666666666666666,2;1,2,1,1,1
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,Hausdorff_12,3,1,1,0,0.0,1.0,3,3,0,0,1
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,OSPA1_6_AND_H9,3,2,1,1,0.3333333333333333,0.6666666666666666,2;1,2,1,1,1
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,OSPA1_6,1,1,0,1,1.0,1.0,1,0,0,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,Hausdorff_6,1,1,0,1,1.0,1.0,1,0,0,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,Hausdorff_9,1,1,0,1,1.0,1.0,1,0,0,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,Hausdorff_12,1,1,0,1,1.0,1.0,1,0,0,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,OSPA1_6_AND_H9,1,1,0,1,1.0,1.0,1,0,0,0,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,OSPA1_6,5,2,1,1,0.2,0.8,4;1,6,0,0,10
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,Hausdorff_6,5,3,1,2,0.4,0.6,3;1;1,3,0,0,10
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,Hausdorff_9,5,2,1,1,0.2,0.8,4;1,6,0,0,10
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,Hausdorff_12,5,2,1,1,0.2,0.8,4;1,6,0,0,10
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,OSPA1_6_AND_H9,5,2,1,1,0.2,0.8,4;1,6,0,0,10
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,OSPA1_6,24,1,1,0,0.0,1.0,24,276,0,0,2024
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,Hausdorff_6,24,2,2,0,0.0,0.9166666666666666,22;2,275,43,22,2024
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,Hausdorff_9,24,1,1,0,0.0,1.0,24,276,0,0,2024
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,Hausdorff_12,24,1,1,0,0.0,1.0,24,276,0,0,2024
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,OSPA1_6_AND_H9,24,1,1,0,0.0,1.0,24,276,0,0,2024
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,oos,OSPA1_6,24,9,3,6,0.25,0.375,9;5;4;1;1;1;1;1;1,93,41,75,2024
