code,image_id,building,condition,id_a,id_b,worker_a,worker_b,n_a,n_b,same_count,ospa1,ospa2,cardinality_floor,hausdorff,directed_a,directed_b,nn_mean,sum_assignment_max,bottleneck,uncovered_a_3,uncovered_b_3,matched_3,one_to_one_unmatched_3,uncovered_a_6,uncovered_b_6,matched_6,one_to_one_unmatched_6,uncovered_a_9,uncovered_b_9,matched_9,one_to_one_unmatched_9,uncovered_a_12,uncovered_b_12,matched_12,one_to_one_unmatched_12
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,b7ad646fe3dc3b0d378e,3651a92290f6ddca5577,W008,W031,8,8,True,1.3935326591882502,1.4786600077736576,0.0,2.431040882111641,2.431040882111641,2.431040882111641,1.3935326591882502,2.431040882111641,2.431040882111641,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,b7ad646fe3dc3b0d378e,17be19782ab6f1fa54ca,W008,W034,8,8,True,1.631978038373524,1.9915239517008818,0.0,4.202771667951085,4.202771667951085,4.202771667951085,1.631978038373524,4.202771667951085,4.202771667951085,1,1,7,2,0,0,8,0,0,0,8,0,0,0,8,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,3651a92290f6ddca5577,17be19782ab6f1fa54ca,W031,W034,8,8,True,1.12006342353811,1.4438774626088209,0.0,2.8007005572906856,2.8007005572906856,2.8007005572906856,1.12006342353811,2.8007005572906856,2.8007005572906856,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,8bdb2a37829bea126cde,06925f70038be9cf6628,W008,W031,8,8,True,1.2564104548619057,1.6116797741360385,0.0,3.516535592807528,3.516535592807528,3.516535592807528,1.2564104548619057,3.516535592807528,3.516535592807528,1,1,7,2,0,0,8,0,0,0,8,0,0,0,8,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,8bdb2a37829bea126cde,022a2edfc36f1862ff6d,W008,W034,8,8,True,2.6182521785187274,3.5652985479769477,0.0,6.6206136921906,6.6206136921906,6.6206136921906,2.6182521785187274,6.6206136921906,6.6206136921906,3,3,5,6,2,2,6,4,0,0,8,0,0,0,8,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,06925f70038be9cf6628,022a2edfc36f1862ff6d,W031,W034,8,8,True,3.2421882803332327,4.7999502167431185,0.0,10.136471852041657,10.136471852041657,10.136471852041657,3.2421882803332327,10.136471852041657,10.136471852041657,3,3,5,6,2,2,6,4,1,1,7,2,0,0,8,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,9ba553c8c79977374da6,bd14297e6f34d6705898,W006,W010,8,8,True,2.1344341156289847e-07,4.2688682312579694e-07,0.0,8.537736462515939e-07,8.537736462515939e-07,8.537736462515939e-07,2.1344341156289847e-07,8.537736462515939e-07,8.537736462515939e-07,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,9ba553c8c79977374da6,a3e7b70ed81a76c41c0f,W006,W027,8,8,True,3.8707163369109323,4.243623440523816,0.0,6.543726440636107,6.543726440636107,6.543726440636107,3.8707163369109323,6.543726440636107,6.543726440636107,5,5,3,10,1,1,7,2,0,0,8,0,0,0,8,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,9ba553c8c79977374da6,98fc2a900301cecb1f95,W006,W028,8,8,True,2.04204846001296,2.3577158386249795,0.0,3.9433462464342552,3.9433462464342552,3.9433462464342552,2.04204846001296,3.9433462464342552,3.9433462464342552,2,2,6,4,0,0,8,0,0,0,8,0,0,0,8,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,9ba553c8c79977374da6,d5c88ef7632f0c3ce88f,W006,W030,8,12,False,11.519619581655121,17.466478314283247,10.0,19.625905531069893,4.946059349158268,19.625905531069893,4.0280258409281995,4.946059349158268,,3,7,5,10,0,4,8,4,0,2,8,4,0,2,8,4
