method,explicit_near,near_together,old_mapping_different,old_mapping_separate,coverage_different,coverage_separate
count_only,11,11,12,11,8,8
OSPA1_3,11,9,12,12,8,8
OSPA1_6,11,11,12,12,8,8
OSPA1_9,11,11,12,9,8,6
OSPA2_3,11,5,12,12,8,8
OSPA2_6,11,10,12,12,8,8
OSPA2_9,11,11,12,12,8,8
OSPA2_12,11,11,12,12,8,8
Hausdorff_3,11,3,12,11,8,8
Hausdorff_6,11,6,12,11,8,8
Hausdorff_9,11,9,12,11,8,8
Hausdorff_12,11,10,12,9,8,6
OSPA1_6_AND_H6,11,6,12,12,8,8
OSPA1_6_AND_H9,11,9,12,12,8,8
OSPA1_6_AND_H12,11,10,12,12,8,8
Bottleneck_equal_6,11,6,12,12,8,8
Bottleneck_equal_9,11,9,12,12,8,8
Bottleneck_equal_12,11,10,12,12,8,8
