threshold,k,task_count,row_count,replicates_per_task,unimodal_count,unimodal_rate,dominant_with_dissent_count,dominant_with_dissent_rate,supported_multimodal_count,supported_multimodal_rate,not_evaluable_count,not_evaluable_rate
0.9,5,12,1200,100,432,0.36,533,0.44416666666666665,207,0.1725,28,0.023333333333333334
0.9,8,12,1200,100,355,0.29583333333333334,298,0.24833333333333332,547,0.4558333333333333,0,0.0
0.9,12,12,1200,100,270,0.225,295,0.24583333333333332,635,0.5291666666666667,0,0.0
0.9,16,12,1200,100,175,0.14583333333333334,371,0.30916666666666665,654,0.545,0,0.0
0.9,20,12,1200,100,119,0.09916666666666667,406,0.3383333333333333,675,0.5625,0,0.0
0.9,22,12,12,1,1,0.08333333333333333,4,0.3333333333333333,7,0.5833333333333334,0,0.0
0.925,5,12,1200,100,418,0.34833333333333333,529,0.44083333333333335,206,0.17166666666666666,47,0.03916666666666667
0.925,8,12,1200,100,337,0.2808333333333333,289,0.24083333333333334,536,0.44666666666666666,38,0.03166666666666667
0.925,12,12,1200,100,245,0.20416666666666666,269,0.22416666666666665,606,0.505,80,0.06666666666666667
0.925,16,12,1200,100,161,0.13416666666666666,309,0.2575,600,0.5,130,0.10833333333333334
0.925,20,12,1200,100,111,0.0925,323,0.26916666666666667,590,0.49166666666666664,176,0.14666666666666667
0.925,22,12,12,1,1,0.08333333333333333,3,0.25,6,0.5,2,0.16666666666666666
0.95,5,12,1200,100,301,0.25083333333333335,621,0.5175,185,0.15416666666666667,93,0.0775
0.95,8,12,1200,100,211,0.17583333333333334,362,0.3016666666666667,531,0.4425,96,0.08
0.95,12,12,1200,100,137,0.11416666666666667,292,0.24333333333333335,629,0.5241666666666667,142,0.11833333333333333
0.95,16,12,1200,100,55,0.04583333333333333,316,0.2633333333333333,629,0.5241666666666667,200,0.16666666666666666
0.95,20,12,1200,100,15,0.0125,312,0.26,604,0.5033333333333333,269,0.22416666666666665
0.95,22,12,12,1,0,0.0,3,0.25,6,0.5,3,0.25
0.98,5,12,1200,100,238,0.19833333333333333,544,0.4533333333333333,94,0.07833333333333334,324,0.27
0.98,8,12,1200,100,129,0.1075,489,0.4075,334,0.2783333333333333,248,0.20666666666666667
0.98,12,12,1200,100,42,0.035,338,0.2816666666666667,449,0.37416666666666665,371,0.30916666666666665
0.98,16,12,1200,100,3,0.0025,324,0.27,430,0.35833333333333334,443,0.36916666666666664
0.98,20,12,1200,100,0,0.0,294,0.245,358,0.29833333333333334,548,0.45666666666666667
0.98,22,12,12,1,0,0.0,3,0.25,4,0.3333333333333333,5,0.4166666666666667
