reference_threshold,comparison_threshold,direction_q095,direction_comparison,task_count
0.95,0.9,decrease,decrease,7
0.95,0.9,increase,increase,12
0.95,0.9,near_zero,near_zero,3
0.95,0.925,decrease,decrease,7
0.95,0.925,increase,increase,12
0.95,0.925,near_zero,near_zero,3
0.95,0.93,decrease,decrease,7
0.95,0.93,increase,increase,12
0.95,0.93,near_zero,near_zero,3
0.95,0.95,decrease,decrease,7
0.95,0.95,increase,increase,12
0.95,0.95,near_zero,near_zero,3
0.95,0.97,decrease,decrease,7
0.95,0.97,increase,decrease,1
0.95,0.97,increase,increase,11
0.95,0.97,near_zero,near_zero,2
0.95,0.97,near_zero,not_computable,1
0.95,0.98,decrease,decrease,7
0.95,0.98,increase,decrease,2
0.95,0.98,increase,increase,10
0.95,0.98,near_zero,increase,1
0.95,0.98,near_zero,near_zero,2
