threshold,base_task_id,common_k,manual_subset_count,manual_partition_failure_rate,manual_shannon_entropy,manual_gini_simpson,manual_largest_mode_share,manual_supported_multimodality,manual_mode_count,manual_pairwise_correspondence_disagreement,manual_pairwise_metric_dissimilarity_all,semi_subset_count,semi_partition_failure_rate,semi_shannon_entropy,semi_gini_simpson,semi_largest_mode_share,semi_supported_multimodality,semi_mode_count,semi_pairwise_correspondence_disagreement,semi_pairwise_metric_dissimilarity_all,delta_shannon_entropy,delta_gini_simpson,delta_largest_mode_share,delta_supported_multimodality,delta_mode_count,delta_pairwise_correspondence_disagreement,delta_pairwise_metric_dissimilarity_all,delta_partition_failure_rate,building_id,entropy_direction_tol_005
0.93,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,4,5,0.0,0.8487665203514743,0.525,0.6,0.0,2.6,0.00351046879038008,0.019712184938859963,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.8487665203514743,-0.525,0.4,0.0,-1.6,-0.00351046879038008,-0.019712184938859963,0.0,7y3sRwLe3Va,decrease
0.93,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,4,5,0.0,0.848766520351474,0.525,0.6,0.0,2.6,0.011269740447172,0.02069358754989542,1,0.0,1.039720770839918,0.625,0.5,0.0,3.0,0.0,0.0052278444590914,0.19095425048844406,0.09999999999999998,-0.09999999999999998,0.0,0.3999999999999999,-0.011269740447172,-0.015465743090804021,0.0,7y3sRwLe3Va,increase
0.93,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,4,5,0.0,0.44986811569504664,0.3,0.8,0.0,1.8,0.00791582512731988,0.02784648849213738,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0081135077506886,0.0081135077506886,-0.44986811569504664,-0.3,0.19999999999999996,0.0,-0.8,0.0001976826233687206,-0.019732980741448778,0.0,B6ByNegPMKs,decrease
0.93,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,4,5,0.0,0.0,0.0,1.0,0.0,1.0,0.011650089985680201,0.011650089985680201,1,0.0,0.5623351446188083,0.375,0.75,0.0,2.0,0.0119170018890549,0.0273008311509183,0.5623351446188083,0.375,-0.25,0.0,1.0,0.0002669119033746996,0.015650741165238097,0.0,B6ByNegPMKs,increase
0.93,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,4,5,0.0,0.44986811569504664,0.3,0.8,0.0,1.8,0.026043869373217583,0.03033192163632232,1,0.0,0.5623351446188083,0.375,0.75,0.0,2.0,0.0092419982860002,0.0225480114858902,0.11246702892376165,0.07500000000000001,-0.050000000000000044,0.0,0.19999999999999996,-0.016801871087217382,-0.00778391015043212,0.0,B6ByNegPMKs,increase
0.93,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,4,5,0.0,0.9704060527839236,0.6,0.5,0.2,2.8,0.0117644523925679,0.025145360728988618,1,0.0,1.039720770839918,0.625,0.5,0.0,3.0,0.0053363659943341,0.021104977417494,0.06931471805599454,0.025000000000000022,0.0,-0.2,0.20000000000000018,-0.0064280863982338,-0.004040383311494616,0.0,UwV83HsGsw3,increase
0.93,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,4,5,0.0,0.848766520351474,0.525,0.6,0.0,2.6,0.007133263025586379,0.021283055370494103,1,0.0,0.5623351446188083,0.375,0.75,0.0,2.0,0.0091643141061243,0.0269050197366523,-0.28643137573266575,-0.15000000000000002,0.15000000000000002,0.0,-0.6000000000000001,0.002031051080537921,0.005621964366158198,0.0,X7HyMhZNoso,decrease
0.93,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,4,5,0.0,0.0,0.0,1.0,0.0,1.0,0.00859313092742504,0.00859313092742504,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0006391802884521,0.0006391802884521,0.0,0.0,0.0,0.0,0.0,-0.00795395063897294,-0.00795395063897294,0.0,Z6MFQCViBuw,near_zero
0.93,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,4,5,0.0,0.0,0.0,1.0,0.0,1.0,0.013607546274833498,0.013607546274833498,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0072161093390518,0.0072161093390518,0.0,0.0,0.0,0.0,0.0,-0.006391436935781698,-0.006391436935781698,0.0,Z6MFQCViBuw,near_zero
0.93,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,4,5,0.0,0.0,0.0,1.0,0.0,1.0,0.012248938320233379,0.012248938320233379,1,0.0,1.3862943611198906,0.75,0.25,0.0,4.0,,0.0536768861688427,1.3862943611198906,0.75,-0.75,0.0,3.0,,0.041427947848609314,0.0,q9vSo1VnCiC,increase
