threshold,k,base_task_id,replicate_count,unimodal_rate,dominant_with_dissent_rate,supported_multimodal_rate,not_evaluable_rate,full_status,full_cluster_sizes,full_largest_support,full_second_support
0.9,5,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,100,0.78,0.22,0.0,0.0,,,,
0.9,5,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,100,0.59,0.39,0.02,0.0,,,,
0.9,5,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,100,0.77,0.23,0.0,0.0,,,,
0.9,5,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,100,1.0,0.0,0.0,0.0,,,,
0.9,5,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,100,0.01,0.63,0.32,0.04,,,,
0.9,5,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,100,0.03,0.5,0.47,0.0,,,,
0.9,5,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,100,0.0,0.64,0.22,0.14,,,,
0.9,5,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,100,0.0,0.61,0.33,0.06,,,,
0.9,5,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,100,0.0,0.66,0.3,0.04,,,,
0.9,5,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,100,0.77,0.23,0.0,0.0,,,,
0.9,5,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,100,0.32,0.68,0.0,0.0,,,,
0.9,5,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,100,0.05,0.54,0.41,0.0,,,,
0.9,8,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,100,0.72,0.28,0.0,0.0,,,,
0.9,8,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,100,0.38,0.52,0.1,0.0,,,,
0.9,8,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,100,0.68,0.32,0.0,0.0,,,,
0.9,8,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,100,1.0,0.0,0.0,0.0,,,,
0.9,8,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,100,0.0,0.22,0.78,0.0,,,,
0.9,8,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,100,0.0,0.12,0.88,0.0,,,,
0.9,8,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,100,0.0,0.14,0.86,0.0,,,,
0.9,8,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,100,0.0,0.02,0.98,0.0,,,,
0.9,8,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,100,0.0,0.02,0.98,0.0,,,,
0.9,8,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,100,0.68,0.32,0.0,0.0,,,,
0.9,8,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,100,0.09,0.91,0.0,0.0,,,,
0.9,8,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,100,0.0,0.11,0.89,0.0,,,,
0.9,12,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,100,0.5,0.5,0.0,0.0,,,,
0.9,12,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,100,0.24,0.38,0.38,0.0,,,,
0.9,12,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,100,0.46,0.54,0.0,0.0,,,,
0.9,12,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,100,1.0,0.0,0.0,0.0,,,,
0.9,12,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,100,0.0,0.03,0.97,0.0,,,,
0.9,12,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,100,0.0,0.0,1.0,0.0,,,,
