proposal_correctness_cutoff,proposal_correct_stratum,final_annotation_correctness_cutoff,task_count,building_count,manual_row_count,semi_row_count,mantel_haenszel_or_semi_vs_manual,building_cluster_bootstrap_ci_lower,building_cluster_bootstrap_ci_upper,status,independence_unit,causal_interpretation_allowed
0.9,True,0.9,21,9,112,87,4.891129032258065,1.2746827964216674,35.1405695520744,estimated,building,False
0.9,False,0.9,0,0,0,0,,,,not_identifiable,building,False
0.9,True,0.95,21,9,112,87,5.058186738836265,2.360978976070493,10.970749001910459,estimated,building,False
0.9,False,0.95,0,0,0,0,,,,not_identifiable,building,False
0.95,True,0.9,21,9,112,87,4.891129032258065,1.2746827964216674,35.1405695520744,estimated,building,False
0.95,False,0.9,0,0,0,0,,,,not_identifiable,building,False
0.95,True,0.95,21,9,112,87,5.058186738836265,2.360978976070493,10.970749001910459,estimated,building,False
0.95,False,0.95,0,0,0,0,,,,not_identifiable,building,False
0.99,True,0.9,20,9,107,83,8.195945945945946,2.322314049586777,35.9,estimated,building,False
0.99,False,0.9,1,1,5,4,0.0,,,not_identifiable,building,False
0.99,True,0.95,20,9,107,83,6.615384615384615,3.584954604409857,14.502085046069281,estimated,building,False
0.99,False,0.95,1,1,5,4,0.2222222222222222,,,not_identifiable,building,False
