population,threshold,direction_rule,n_tasks,decrease_count,near_zero_count,increase_count,not_computable_count
formal22_recomputed_from_frozen_pairwise,0.9,entropy_direction_tol_001,22,7,3,12,0
formal22_recomputed_from_frozen_pairwise,0.9,entropy_direction_tol_005,22,7,3,12,0
formal22_recomputed_from_frozen_pairwise,0.925,entropy_direction_tol_001,22,7,3,12,0
formal22_recomputed_from_frozen_pairwise,0.925,entropy_direction_tol_005,22,7,3,12,0
formal22_recomputed_from_frozen_pairwise,0.93,entropy_direction_tol_001,22,7,3,12,0
formal22_recomputed_from_frozen_pairwise,0.93,entropy_direction_tol_005,22,7,3,12,0
formal22_recomputed_from_frozen_pairwise,0.95,entropy_direction_tol_001,22,7,3,12,0
formal22_recomputed_from_frozen_pairwise,0.95,entropy_direction_tol_005,22,7,3,12,0
formal22_recomputed_from_frozen_pairwise,0.97,entropy_direction_tol_001,22,8,2,11,1
formal22_recomputed_from_frozen_pairwise,0.97,entropy_direction_tol_005,22,8,2,11,1
formal22_recomputed_from_frozen_pairwise,0.98,entropy_direction_tol_001,22,9,2,11,0
formal22_recomputed_from_frozen_pairwise,0.98,entropy_direction_tol_005,22,9,2,11,0
