population,method,k,n_workers,n_features,silhouette,bic,cluster_sizes
current20,ward,2,20,10,0.19899407631333438,,11;9
current20,gmm_diag,2,20,10,0.1695464929320713,343.12759802014557,11;9
current20,ward,3,20,10,0.2005161466812476,,9;9;2
current20,gmm_diag,3,20,10,0.15576615541192976,313.4989796665535,10;9;1
current20,ward,4,20,10,0.18317811076494867,,9;7;2;2
current20,gmm_diag,4,20,10,0.11068635525084522,356.1677217573776,9;6;3;2
current20,ward,5,20,10,0.19859883575594295,,7;7;2;2;2
current20,gmm_diag,5,20,10,0.1591126230879712,255.2391758478144,9;7;2;1;1
