base_task_id,building_id,threshold_count,evaluable_threshold_count,delta_entropy_min,delta_entropy_max,delta_entropy_range,sign_stable_tol_001,sign_stable_tol_005,directions_tol_001,directions_tol_005,manual_partition_failure_min,manual_partition_failure_max,semi_partition_failure_min,semi_partition_failure_max,delta_supported_multimodality_min,delta_supported_multimodality_max
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,6,6,-0.848766520351474,-0.848766520351474,0.0,True,True,decrease;decrease;decrease;decrease;decrease;decrease,decrease;decrease;decrease;decrease;decrease;decrease,0.0,0.0,0.0,0.0,0.0,0.0
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,6,6,0.19095425048844383,0.19095425048844383,0.0,True,True,increase;increase;increase;increase;increase;increase,increase;increase;increase;increase;increase;increase,0.0,0.0,0.0,0.0,0.0,0.0
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,6,6,-0.44986811569504664,-0.44986811569504664,0.0,True,True,decrease;decrease;decrease;decrease;decrease;decrease,decrease;decrease;decrease;decrease;decrease;decrease,0.0,0.0,0.0,0.0,0.0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,6,6,0.5623351446188083,0.5623351446188083,0.0,True,True,increase;increase;increase;increase;increase;increase,increase;increase;increase;increase;increase;increase,0.0,0.6,0.0,0.0,0.0,0.0
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,6,6,-0.28643137573266575,0.11246702892376165,0.3988984046564274,False,False,increase;increase;increase;increase;decrease;decrease,increase;increase;increase;increase;decrease;decrease,0.0,0.0,0.0,0.0,0.0,0.0
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,6,6,0.06931471805599454,0.06931471805599454,0.0,True,True,increase;increase;increase;increase;increase;increase,increase;increase;increase;increase;increase;increase,0.0,0.0,0.0,0.0,-0.2,-0.2
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,6,6,-0.28643137573266575,-0.28643137573266575,0.0,True,True,decrease;decrease;decrease;decrease;decrease;decrease,decrease;decrease;decrease;decrease;decrease;decrease,0.0,0.0,0.0,0.0,0.0,0.0
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,Z6MFQCViBuw,6,6,0.0,0.0,0.0,True,True,near_zero;near_zero;near_zero;near_zero;near_zero;near_zero,near_zero;near_zero;near_zero;near_zero;near_zero;near_zero,0.0,0.0,0.0,0.0,0.0,0.0
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw,6,6,0.0,0.0,0.0,True,True,near_zero;near_zero;near_zero;near_zero;near_zero;near_zero,near_zero;near_zero;near_zero;near_zero;near_zero;near_zero,0.0,0.0,0.0,0.0,0.0,0.0
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,q9vSo1VnCiC,6,6,1.3862943611198906,1.3862943611198906,0.0,True,True,increase;increase;increase;increase;increase;increase,increase;increase;increase;increase;increase;increase,0.0,0.0,0.0,0.0,0.0,0.0
