repeat,ari,status
0,,not_evaluable
1,0.19850548390984693,estimated
2,0.10808590541016312,estimated
3,,not_evaluable
4,0.10152041182808572,estimated
5,,not_evaluable
6,0.011825249096682361,estimated
7,0.049226114279064356,estimated
8,0.06873003634761538,estimated
9,,not_evaluable
10,0.010756379448449479,estimated
11,,not_evaluable
12,,not_evaluable
13,,not_evaluable
14,-0.017036951767008174,estimated
15,,not_evaluable
16,0.12559711056740067,estimated
17,0.43969006591881576,estimated
18,,not_evaluable
19,0.49765653166686696,estimated
20,0.09246373393088808,estimated
21,0.5383430129192841,estimated
22,,not_evaluable
23,0.22884087382117704,estimated
24,,not_evaluable
25,0.38680905996948717,estimated
26,,not_evaluable
27,,not_evaluable
28,0.5383430129192841,estimated
29,,not_evaluable
30,0.007561436672967864,estimated
31,,not_evaluable
32,0.38857602574416733,estimated
33,0.007191819305539949,estimated
34,0.6458527493010252,estimated
35,,not_evaluable
36,0.29062462960768043,estimated
37,,not_evaluable
38,,not_evaluable
39,0.522098454904779,estimated
40,,not_evaluable
41,0.0723788600024411,estimated
42,,not_evaluable
43,-0.014979623306531556,estimated
44,-0.051967985966451045,estimated
45,0.29664951687790186,estimated
46,,not_evaluable
47,-0.017895816710361338,estimated
48,0.24932185399221607,estimated
49,0.13119566444620073,estimated
50,,not_evaluable
51,0.07179712372378966,estimated
52,0.16399096206445474,estimated
53,,not_evaluable
54,0.05866456480126112,estimated
55,0.3091694125667538,estimated
56,,not_evaluable
57,0.09191952873179948,estimated
58,,not_evaluable
59,,not_evaluable
60,,not_evaluable
61,,not_evaluable
62,,not_evaluable
63,,not_evaluable
64,,not_evaluable
65,,not_evaluable
66,-0.00034336728854297816,estimated
67,,not_evaluable
68,,not_evaluable
69,0.26658088665340973,estimated
70,0.14195044550225802,estimated
71,0.003630496167809601,estimated
72,,not_evaluable
73,,not_evaluable
74,,not_evaluable
75,,not_evaluable
76,,not_evaluable
77,-0.08428446005267778,estimated
78,-0.08332392457942871,estimated
79,,not_evaluable
80,0.2203213501329326,estimated
81,,not_evaluable
82,0.06568317527221637,estimated
83,0.18430281775305357,estimated
84,-0.034365430418509695,estimated
85,0.19934824137543544,estimated
86,,not_evaluable
87,,not_evaluable
88,0.016194778010355845,estimated
89,0.10257962940535303,estimated
90,0.012317776019889252,estimated
91,0.46016201184862776,estimated
92,,not_evaluable
93,0.140178860036634,estimated
94,,not_evaluable
95,,not_evaluable
96,,not_evaluable
97,-0.022327265412853264,estimated
98,0.41605839416058393,estimated
99,0.22285572632622708,estimated
100,,not_evaluable
101,0.038206580691816316,estimated
102,,not_evaluable
103,,not_evaluable
104,0.07361160661196338,estimated
105,0.05625950329447542,estimated
106,,not_evaluable
107,,not_evaluable
108,,not_evaluable
109,,not_evaluable
110,0.2449685937700295,estimated
111,,not_evaluable
112,,not_evaluable
113,,not_evaluable
114,,not_evaluable
115,0.005122367672168469,estimated
116,,not_evaluable
117,-0.04511612401377931,estimated
118,,not_evaluable
119,,not_evaluable
120,,not_evaluable
121,0.3775027302511831,estimated
122,0.400490826224144,estimated
123,0.12978699922745834,estimated
124,0.26417087196338457,estimated
125,-0.04035233900726104,estimated
126,0.1212421539478031,estimated
127,,not_evaluable
128,,not_evaluable
129,0.15968864252860007,estimated
130,0.14611927608405198,estimated
131,0.09175702460067622,estimated
132,-0.024789959547764754,estimated
133,,not_evaluable
134,0.04707625669668301,estimated
135,,not_evaluable
136,0.3475117484034221,estimated
137,,not_evaluable
138,,not_evaluable
139,0.6709386906823692,estimated
140,,not_evaluable
141,,not_evaluable
142,,not_evaluable
143,,not_evaluable
144,,not_evaluable
145,,not_evaluable
146,,not_evaluable
147,-0.013639863601363987,estimated
148,,not_evaluable
149,,not_evaluable
150,,not_evaluable
151,,not_evaluable
152,-0.02437880918893577,estimated
153,,not_evaluable
154,0.23577428132024134,estimated
