threshold,base_task_id,building_id,common_k,manual_subset_count,manual_unique_partition_count,manual_nonunique_or_not_evaluable_count,manual_shannon_entropy,manual_gini_simpson,manual_largest_mode_share,manual_supported_multimodality,manual_mode_count,manual_pairwise_correspondence_disagreement,manual_pairwise_metric_dissimilarity_all,semi_subset_count,semi_unique_partition_count,semi_nonunique_or_not_evaluable_count,semi_shannon_entropy,semi_gini_simpson,semi_largest_mode_share,semi_supported_multimodality,semi_mode_count,semi_pairwise_correspondence_disagreement,semi_pairwise_metric_dissimilarity_all,delta_shannon_entropy,delta_gini_simpson,delta_largest_mode_share,delta_supported_multimodality,delta_mode_count,delta_pairwise_correspondence_disagreement,delta_pairwise_metric_dissimilarity_all,manual_partition_failure_rate,semi_partition_failure_rate,delta_partition_failure_rate,entropy_direction_tol_001,entropy_direction_tol_005,quality_direction_tol_001
0.9,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,4,5,5,0,0.848766520351474,0.525,0.6,0.0,2.6,0.0035104687903801204,0.019712184938859997,1,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.848766520351474,-0.525,0.4,0.0,-1.6,-0.0035104687903801204,-0.019712184938859997,0.0,0.0,0.0,decrease,decrease,not_computable
0.9,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,4,5,5,0,0.848766520351474,0.525,0.6,0.0,2.6,0.011269740447172069,0.020693587549895462,1,1,0,1.0397207708399179,0.625,0.5,0.0,3.0,0.0,0.0052278444590914686,0.19095425048844383,0.09999999999999998,-0.09999999999999998,0.0,0.3999999999999999,-0.011269740447172069,-0.015465743090803993,0.0,0.0,0.0,increase,increase,not_computable
0.9,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,4,5,5,0,0.44986811569504664,0.3,0.8,0.0,1.8,0.007915825127319918,0.027846488492137424,1,1,0,0.0,0.0,1.0,0.0,1.0,0.008113507750688679,0.008113507750688679,-0.44986811569504664,-0.3,0.19999999999999996,0.0,-0.8,0.0001976826233687605,-0.019732980741448747,0.0,0.0,0.0,decrease,decrease,not_computable
0.9,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,4,5,5,0,0.0,0.0,1.0,0.0,1.0,0.011650089985680259,0.011650089985680259,1,1,0,0.5623351446188083,0.375,0.75,0.0,2.0,0.011917001889054904,0.02730083115091832,0.5623351446188083,0.375,-0.25,0.0,1.0,0.0002669119033746458,0.015650741165238062,0.0,0.0,0.0,increase,increase,not_computable
0.9,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,4,5,5,0,0.44986811569504664,0.3,0.8,0.0,1.8,0.026043869373217638,0.030331921636322368,1,1,0,0.5623351446188083,0.375,0.75,0.0,2.0,0.009241998286000253,0.022548011485890234,0.11246702892376165,0.07500000000000001,-0.050000000000000044,0.0,0.19999999999999996,-0.016801871087217386,-0.0077839101504321336,0.0,0.0,0.0,increase,increase,not_computable
0.9,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,4,5,5,0,0.9704060527839233,0.6,0.5,0.2,2.8,0.011764452392567903,0.025145360728988674,1,1,0,1.0397207708399179,0.625,0.5,0.0,3.0,0.00533636599433418,0.02110497741749408,0.06931471805599454,0.025000000000000022,0.0,-0.2,0.20000000000000018,-0.006428086398233723,-0.004040383311494592,0.0,0.0,0.0,increase,increase,not_computable
0.9,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,4,5,5,0,0.848766520351474,0.525,0.6,0.0,2.6,0.0071332630255864045,0.02128305537049415,1,1,0,0.5623351446188083,0.375,0.75,0.0,2.0,0.00916431410612432,0.026905019736652342,-0.28643137573266575,-0.15000000000000002,0.15000000000000002,0.0,-0.6000000000000001,0.0020310510805379147,0.005621964366158191,0.0,0.0,0.0,decrease,decrease,not_computable
0.9,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,Z6MFQCViBuw,4,5,5,0,0.0,0.0,1.0,0.0,1.0,0.008593130927425108,0.008593130927425108,1,1,0,0.0,0.0,1.0,0.0,1.0,0.0006391802884521125,0.0006391802884521125,0.0,0.0,0.0,0.0,0.0,-0.007953950638972996,-0.007953950638972996,0.0,0.0,0.0,near_zero,near_zero,not_computable
0.9,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw,4,5,5,0,0.0,0.0,1.0,0.0,1.0,0.01360754627483356,0.01360754627483356,1,1,0,0.0,0.0,1.0,0.0,1.0,0.007216109339051813,0.007216109339051813,0.0,0.0,0.0,0.0,0.0,-0.006391436935781748,-0.006391436935781748,0.0,0.0,0.0,near_zero,near_zero,not_computable
0.9,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,q9vSo1VnCiC,4,5,5,0,0.0,0.0,1.0,0.0,1.0,0.012248938320233415,0.012248938320233415,1,1,0,1.3862943611198906,0.75,0.25,0.0,4.0,,0.05367688616884273,1.3862943611198906,0.75,-0.75,0.0,3.0,,0.041427947848609314,0.0,0.0,0.0,increase,increase,not_computable
