threshold,full_k22_status,k,task_count,mean_prefix_supported_multimodal_rate,mean_prefix_not_evaluable_rate,mean_prefix_unimodal_rate
0.9,dominant_with_dissent,22,4,0.0,0.0,0.0
0.9,supported_multimodal,22,7,1.0,0.0,0.0
0.9,unimodal,22,1,0.0,0.0,1.0
0.9,,5,12,0.17250000000000001,0.023333333333333334,0.36000000000000004
0.9,,8,12,0.4558333333333333,0.0,0.29583333333333334
0.9,,12,12,0.5291666666666667,0.0,0.22499999999999998
0.9,,16,12,0.545,0.0,0.14583333333333334
0.9,,20,12,0.5625,0.0,0.09916666666666668
0.925,dominant_with_dissent,22,3,0.0,0.0,0.0
0.925,not_evaluable,22,2,0.0,1.0,0.0
0.925,supported_multimodal,22,6,1.0,0.0,0.0
0.925,unimodal,22,1,0.0,0.0,1.0
0.925,,5,12,0.17166666666666666,0.039166666666666676,0.34833333333333333
0.925,,8,12,0.4466666666666666,0.03166666666666667,0.2808333333333333
0.925,,12,12,0.505,0.06666666666666667,0.2041666666666667
0.925,,16,12,0.5,0.10833333333333334,0.13416666666666668
0.925,,20,12,0.4916666666666667,0.14666666666666667,0.09250000000000001
0.95,dominant_with_dissent,22,3,0.0,0.0,0.0
0.95,not_evaluable,22,3,0.0,1.0,0.0
0.95,supported_multimodal,22,6,1.0,0.0,0.0
0.95,,5,12,0.15416666666666667,0.0775,0.2508333333333333
0.95,,8,12,0.44250000000000006,0.08,0.1758333333333333
0.95,,12,12,0.5241666666666667,0.11833333333333333,0.11416666666666668
0.95,,16,12,0.5241666666666666,0.16666666666666666,0.04583333333333334
0.95,,20,12,0.5033333333333334,0.22416666666666665,0.012499999999999999
0.98,dominant_with_dissent,22,3,0.0,0.0,0.0
0.98,not_evaluable,22,5,0.0,1.0,0.0
0.98,supported_multimodal,22,4,1.0,0.0,0.0
0.98,,5,12,0.07833333333333335,0.27,0.19833333333333333
0.98,,8,12,0.27833333333333327,0.20666666666666664,0.1075
0.98,,12,12,0.3741666666666667,0.3091666666666667,0.035
0.98,,16,12,0.35833333333333334,0.36916666666666664,0.0025
0.98,,20,12,0.2983333333333333,0.4566666666666668,0.0
