condition,family,contrast,method,images,real_delta,predicted_delta,mae
manual,coannotation,AAB minus AA,context,46,0.08126363193498742,0.0008225671577797619,0.1676810748614173
manual,coannotation,AAB minus AA,continuous,46,0.08126363193498742,0.0023118185807563495,0.16850817234629017
manual,coannotation,AAB minus AA,equal,46,0.08126363193498742,0.0,0.1653330436258825
manual,coannotation,AAB minus AA,type4,46,0.08126363193498742,0.007915725522510141,0.1714999641652585
manual,coannotation,AABC minus AAB,context,46,0.07240271805489198,-6.466427350467455e-05,0.1227343425032112
manual,coannotation,AABC minus AAB,continuous,46,0.07240271805489198,7.900567406746575e-06,0.12279295356468244
manual,coannotation,AABC minus AAB,equal,46,0.07240271805489198,0.0,0.12175417175417176
manual,coannotation,AABC minus AAB,type4,46,0.07240271805489198,0.0014887238376654227,0.12224691014478486
manual,coannotation,AB minus AA,context,46,0.11836265467979024,0.0010147601220121968,0.2492668127742766
manual,coannotation,AB minus AA,continuous,46,0.11836265467979024,0.003162201523632719,0.25042382937993857
manual,coannotation,AB minus AA,equal,46,0.11836265467979024,0.0,0.24510394408092614
manual,coannotation,AB minus AA,type4,46,0.11836265467979024,0.011873588283765214,0.2544536945838415
manual,coannotation,ABCD minus AABC,context,40,0.05601851851851851,-0.0007518042504025076,0.09987128469709375
manual,coannotation,ABCD minus AABC,continuous,40,0.05601851851851851,-0.00022142922802623807,0.10032627615402241
manual,coannotation,ABCD minus AABC,equal,40,0.05601851851851851,0.0,0.09814814814814814
manual,coannotation,ABCD minus AABC,type4,40,0.05601851851851851,1.7117497886729202e-05,0.09821661813969505
manual,profile,AAB minus AA,context,46,-0.0031772374163678637,0.025847306821356563,0.1704420785531325
manual,profile,AAB minus AA,continuous,46,-0.0031772374163678637,0.018579963477619088,0.16335341155979405
manual,profile,AAB minus AA,equal,46,-0.0031772374163678637,0.0,0.14261734642169424
manual,profile,AAB minus AA,type4,46,-0.0031772374163678637,0.02588231656315365,0.16544835613680497
manual,profile,AABC minus AAB,context,46,0.010365907240907257,0.01366099508345292,0.11190874869025969
manual,profile,AABC minus AAB,continuous,46,0.010365907240907257,0.011191031182381265,0.10951932903972637
manual,profile,AABC minus AAB,equal,46,0.010365907240907257,0.0,0.09938959490589926
manual,profile,AABC minus AAB,type4,46,0.010365907240907257,0.007514435276163852,0.10777537428588423
manual,profile,AB minus AA,context,46,0.001547818123905081,0.03895273565227477,0.2565464943564976
manual,profile,AB minus AA,continuous,46,0.001547818123905081,0.02790314882148222,0.2437025858837795
manual,profile,AB minus AA,equal,46,0.001547818123905081,0.0,0.20621482985613418
manual,profile,AB minus AA,type4,46,0.001547818123905081,0.03882347484473048,0.24263457522690807
manual,profile,ABCD minus AABC,context,46,0.006886083924127402,0.007859177468213453,0.10560951141257424
manual,profile,ABCD minus AABC,continuous,46,0.006886083924127402,0.0057909229848078754,0.10304871377225867
manual,profile,ABCD minus AABC,equal,46,0.006886083924127402,0.0,0.09216328659263442
manual,profile,ABCD minus AABC,type4,46,0.006886083924127402,0.0070179247761782085,0.10283437450177621
oos_geometry,coannotation,AAB minus AA,context,9,0.06644219977553309,0.0006613149865306071,0.18515637322235953
oos_geometry,coannotation,AAB minus AA,continuous,9,0.06644219977553309,0.0047650557543064305,0.19004993678242366
oos_geometry,coannotation,AAB minus AA,equal,9,0.06644219977553309,0.0,0.18375109115849858
oos_geometry,coannotation,AAB minus AA,type4,9,0.06644219977553309,0.02460377884528983,0.20518537102799822
oos_geometry,coannotation,AABC minus AAB,context,9,0.004046639231824441,0.00016653597821803724,0.10189197477634725
oos_geometry,coannotation,AABC minus AAB,continuous,9,0.004046639231824441,0.0002769443621318062,0.10205626915091966
oos_geometry,coannotation,AABC minus AAB,equal,9,0.004046639231824441,0.0,0.10181755829903978
oos_geometry,coannotation,AABC minus AAB,type4,9,0.004046639231824441,0.001798426241798499,0.10260308652742517
oos_geometry,coannotation,AB minus AA,context,9,0.07126823793490461,0.0007611831805386164,0.30654686168060113
oos_geometry,coannotation,AB minus AA,continuous,9,0.07126823793490461,0.006934823280940469,0.3146393192899916
oos_geometry,coannotation,AB minus AA,equal,9,0.07126823793490461,0.0,0.3040216984661429
oos_geometry,coannotation,AB minus AA,type4,9,0.07126823793490461,0.03690566826793475,0.3361731182703924
oos_geometry,coannotation,ABCD minus AABC,context,5,0.004475308641975301,-3.62092373847702e-05,0.07592234843252019
oos_geometry,coannotation,ABCD minus AABC,continuous,5,0.004475308641975301,0.0016112582323239912,0.07786902101786237
oos_geometry,coannotation,ABCD minus AABC,equal,5,0.004475308641975301,0.0,0.07484567901234569
oos_geometry,coannotation,ABCD minus AABC,type4,5,0.004475308641975301,0.005198257758724791,0.08112459248897895
oos_geometry,profile,AAB minus AA,context,9,0.06150284900284898,0.03281490184250399,0.2389716337880217
oos_geometry,profile,AAB minus AA,continuous,9,0.06150284900284898,0.028188392589016682,0.2374991993347592
oos_geometry,profile,AAB minus AA,equal,9,0.06150284900284898,0.0,0.2149453941120608
oos_geometry,profile,AAB minus AA,type4,9,0.06150284900284898,0.03390759865029308,0.23643857933577855
oos_geometry,profile,AABC minus AAB,context,9,0.005049066160177302,-0.0010514384755971004,0.11792632534366347
oos_geometry,profile,AABC minus AAB,continuous,9,0.005049066160177302,-0.0008122900983852221,0.11618430868405578
oos_geometry,profile,AABC minus AAB,equal,9,0.005049066160177302,0.0,0.10839664450775562
oos_geometry,profile,AABC minus AAB,type4,9,0.005049066160177302,0.003502056551683034,0.11405670727372076
oos_geometry,profile,AB minus AA,context,9,0.101329534662868,0.04995268992583088,0.34777628957848666
oos_geometry,profile,AB minus AA,continuous,9,0.101329534662868,0.04361187208116137,0.34344610308015433
oos_geometry,profile,AB minus AA,equal,9,0.101329534662868,0.0,0.3001661918328585
oos_geometry,profile,AB minus AA,type4,9,0.101329534662868,0.05086139797543963,0.3352148033942332
oos_geometry,profile,ABCD minus AABC,context,9,0.03041346513568736,0.010042360913484111,0.1183594924325438
oos_geometry,profile,ABCD minus AABC,continuous,9,0.03041346513568736,0.009682923461786511,0.11709408252900248
oos_geometry,profile,ABCD minus AABC,equal,9,0.03041346513568736,0.0,0.1088275921609255
oos_geometry,profile,ABCD minus AABC,type4,9,0.03041346513568736,0.008404949423463273,0.11438970220571305
semi,coannotation,AAB minus AA,context,18,0.16939465966605172,0.0016425515970008855,0.244869577380855
semi,coannotation,AAB minus AA,continuous,18,0.16939465966605172,0.00530674469901264,0.24698483357310053
