condition,family,contrast,method,baseline,metric,images,buildings,delta,ci_low,ci_high,building_macro_delta
manual,coannotation,AAB minus AA,continuous,equal,abs_delta_error,46,15,0.003175128720407666,0.0022275852687686304,0.004138871970309045,0.0034615647778328492
manual,coannotation,AAB minus AA,context,equal,abs_delta_error,46,15,0.002348031235534821,0.0016349944131083289,0.0030854366024068115,0.002385445302567218
manual,coannotation,AAB minus AA,type4,equal,abs_delta_error,46,15,0.006166920539376018,0.004253331594177102,0.008447669705128374,0.007162299779286242
manual,coannotation,AABC minus AAB,continuous,equal,abs_delta_error,46,15,0.0010387818105106663,0.0002631258232647903,0.0017716696430323795,0.000933089165509132
manual,coannotation,AABC minus AAB,context,equal,abs_delta_error,46,15,0.0009801707490394453,0.0003885545680685569,0.001599808761886259,0.0009035755352689937
manual,coannotation,AABC minus AAB,type4,equal,abs_delta_error,46,15,0.0004927383906131174,-0.00031169096568880105,0.0011995902977209245,0.0003942078723790998
manual,coannotation,AB minus AA,continuous,equal,abs_delta_error,46,15,0.005319885299012391,0.003687508265878016,0.007390024437482105,0.0065825286056687094
manual,coannotation,AB minus AA,context,equal,abs_delta_error,46,15,0.0041628686933504275,0.002917340369349189,0.006225123857172659,0.005377183444401708
manual,coannotation,AB minus AA,type4,equal,abs_delta_error,46,15,0.009349750502915337,0.006460890888064916,0.012754322731474133,0.01104818339674003
manual,coannotation,ABCD minus AABC,continuous,equal,abs_delta_error,40,13,0.0021781280058742673,0.0011494597063024163,0.0043601500442215215,0.003312294267871431
manual,coannotation,ABCD minus AABC,context,equal,abs_delta_error,40,13,0.00172313654894561,0.000803361712649438,0.003747688439476138,0.0028957551446969288
manual,coannotation,ABCD minus AABC,type4,equal,abs_delta_error,40,13,6.846999154691434e-05,0.0,0.00021067689706742872,3.5112816177904794e-05
manual,profile,AAB minus AA,continuous,equal,abs_delta_error,46,15,0.0207360651380998,0.015822503701196658,0.02389390437863853,0.01955564770252208
manual,profile,AAB minus AA,context,equal,abs_delta_error,46,15,0.027824732131438247,0.02110802915239468,0.03294745584642251,0.026782029190214426
manual,profile,AAB minus AA,type4,equal,abs_delta_error,46,15,0.022831009715110713,0.01901229931242689,0.026374930093388455,0.021810258729811564
manual,profile,AABC minus AAB,continuous,equal,abs_delta_error,46,15,0.010129734133827128,0.006888019568431917,0.012691125850689907,0.009227211663904515
manual,profile,AABC minus AAB,context,equal,abs_delta_error,46,15,0.01251915378436044,0.008821961800554381,0.01623981128493647,0.013138965503059421
manual,profile,AABC minus AAB,type4,equal,abs_delta_error,46,15,0.008385779379984963,0.005163711377627372,0.011051728364883712,0.007121968059976515
manual,profile,AB minus AA,continuous,equal,abs_delta_error,46,15,0.03748775602764528,0.030899948330568416,0.042916975543655415,0.03646676392729509
manual,profile,AB minus AA,context,equal,abs_delta_error,46,15,0.05033166450036338,0.040005569097872055,0.058990935551949085,0.04833688239751848
manual,profile,AB minus AA,type4,equal,abs_delta_error,46,15,0.03641974537077386,0.030390993890565175,0.0416348530205413,0.034930917687638834
manual,profile,ABCD minus AABC,continuous,equal,abs_delta_error,46,15,0.010885427179624244,0.009064921819879224,0.012774079909933489,0.010470910683378076
manual,profile,ABCD minus AABC,context,equal,abs_delta_error,46,15,0.013446224819939814,0.010977611837509001,0.01564058400174835,0.012817435762005064
manual,profile,ABCD minus AABC,type4,equal,abs_delta_error,46,15,0.010671087909141796,0.008955463676385169,0.012299469293846505,0.009706878421522125
oos_geometry,coannotation,AAB minus AA,continuous,equal,abs_delta_error,9,6,0.006298845623925106,0.004450219223234779,0.009408518501046402,0.006962605911301081
oos_geometry,coannotation,AAB minus AA,context,equal,abs_delta_error,9,6,0.0014052820638609774,0.0006480728463491946,0.0025033036076134996,0.0016967778816669445
