condition,family,contrast,method,image_id,building,actual_delta,predicted_delta,abs_delta_error
manual,coannotation,AAB minus AA,context,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,0.0,0.0,0.0
manual,coannotation,AAB minus AA,context,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,0.04166666666666665,0.0020845936281916194,0.20742132176877776
manual,coannotation,AAB minus AA,context,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,0.2857142857142857,0.0002599850575534484,0.2854543006567322
manual,coannotation,AAB minus AA,context,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,0.033333333333333326,-0.00036048676919576695,0.1013190529027789
manual,coannotation,AAB minus AA,context,S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,-0.15151515151515155,0.00042733006595814147,0.1533819002123043
manual,coannotation,AAB minus AA,context,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,0.0,0.0,0.0
manual,coannotation,AAB minus AA,context,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,0.0,9.846716988457718e-05,0.0034044598568738456
manual,coannotation,AAB minus AA,context,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,0.16666666666666666,0.000503849790701369,0.30371014944785035
manual,coannotation,AAB minus AA,context,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,0.14814814814814814,0.0032766755099727434,0.15175046826283534
manual,coannotation,AAB minus AA,context,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,0.041666666666666644,0.006801806671446246,0.2986135995228563
manual,coannotation,AAB minus AA,context,X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,0.0303030303030303,0.0,0.0303030303030303
manual,coannotation,AAB minus AA,context,b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,0.16666666666666666,0.005716613478832497,0.16620154763029182
manual,coannotation,AAB minus AA,context,e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,e9zR4mvMWw7,-2.4671622769447922e-17,0.003345245272890645,0.29587391535329405
manual,coannotation,AAB minus AA,context,pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,pRbA3pwrgk9,-0.060606060606060615,0.0022540218222070903,0.06378782698298369
manual,coannotation,AAB minus AA,context,q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,q9vSo1VnCiC,0.0,0.0,0.0
