method,stage,raw_condition,responses,floor_computable,band_computable
historical_pairmap_unaveraged,C1,manual,674,652,649
historical_pairmap_unaveraged,C1,semi,106,103,101
historical_pairmap_unaveraged,C2-A-RP,manual,80,73,73
historical_pairmap_unaveraged,C2-B,manual,160,150,148
historical_pairmap_unaveraged,P1,manual,779,714,714
historical_pairmap_unaveraged,P1,oos,234,207,206
historical_pairmap_unaveraged,P1,semi,468,464,464
serialized_adjacency,C1,manual,674,420,383
serialized_adjacency,C1,semi,106,90,85
serialized_adjacency,C2-A-RP,manual,80,45,43
serialized_adjacency,C2-B,manual,160,93,88
serialized_adjacency,P1,manual,779,456,425
serialized_adjacency,P1,oos,234,107,99
serialized_adjacency,P1,semi,468,400,394
