image_id,model_count,reference_count,reference_floor_available,bi_equal,bi_floor,bi_band,bi_linear,bi_solid,hoho_E_floor,hoho_X_floor
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,3,1,1,False,0.006161733993663598,0.0006850532389672814,0.0009638436045864562,0.00044591264493043514,0.06272453819842494,0.05693556150375778
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,3,1,1,True,0.0,0.0,0.0,0.0,0.06491988028859264,0.06491988028859264
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,3,1,1,True,0.0,0.0,0.0,0.0,0.08677063809346963,0.08677063809346963
7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09,4,2,2,False,0.007394621650847255,,,,0.06333684148888441,0.06409921348758407
7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44,4,2,2,False,0.038522876849400034,,,,0.05662920477930833,0.06009324661188242
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,3,1,1,False,0.012139144685237024,0.011896113560082355,0.0033817158965453453,0.00929987468759208,0.1493666966880931,0.15401361019710402
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,3,2,2,True,0.0,0.0,0.0,0.0,0.01665150975911389,0.01665150975911389
7y3sRwLe3Va_155fac2d50764bf09feb6c8f33e8fb76,4,2,2,False,0.01315014013080984,,,,0.10695799476933543,0.103040292831871
7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9,4,2,2,False,0.11134158958281026,,,,0.5143631141340728,0.480940190149849
7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73,4,2,2,False,0.005275287352327518,0.006862325521413859,0.000857602724276707,0.005277431625490325,0.07240965844662917,0.07702936913679348
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,3,2,1,False,0.004061956309095893,0.006473387325224511,0.006801346248449414,0.004583192365467892,0.45795295385778645,0.459352040701801
7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040,4,2,2,True,0.0,0.0,0.0,0.0,0.04594104561750734,0.04594104561750734
7y3sRwLe3Va_5c39473b25b74307858764d1a2045b9e,4,2,2,False,0.0015252630861424255,,,,0.18622080064319146,0.1847536126215671
7y3sRwLe3Va_606f9842b8af48daa28f10df8b69d861,4,2,2,False,0.033196438074089674,,,,0.1416758454536029,0.11970526599409537
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,3,2,2,False,0.005697502162889223,0.009980675519634996,0.007516498941577354,0.006073798349859549,0.26519173214453273,0.2610986397583097
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,3,1,1,True,0.0,0.0,0.0,0.0,0.17896017728873936,0.17896017728873936
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,3,1,1,False,0.029458868892209167,0.004110361232145254,0.006615367967800712,0.0040288970339885655,0.24915508851899204,0.2594893962289967
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,3,1,1,False,0.011610698831029942,,,,0.1765170880158925,0.17758063617791287
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,3,1,1,False,0.0006960169524077298,,,,0.10082396384547565,0.10092306338893442
7y3sRwLe3Va_af5f1942b4374015823bd32e31b31c64,4,2,2,False,0.026910393287873036,,,,0.15444769796633595,0.1407596285728866
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,3,1,1,False,0.6702095268053168,,,,0.7210963791689892,0.19415580302186752
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,3,1,1,False,0.004193346170422885,,,,0.2842482643141311,0.28655423927628254
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,3,1,1,False,0.004009284984401562,0.0023702328941255235,0.0015640887446729534,0.0019541533719303894,0.10078918661585157,0.09885776476600716
7y3sRwLe3Va_dd83fb40a2e14ac99de9fe9bcfaf44df,4,2,2,False,0.004604677041917693,,,,0.09356825129971236,0.09007910359270266
7y3sRwLe3Va_dfe1f8e8b58d4da49f0c73516e7a4b67,4,2,2,False,0.20195434397113388,,,,0.0736847797325697,0.21819047846543527
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,3,1,1,False,0.00393448065441937,0.002892319283032685,0.0034079615483800785,0.002157607781676729,0.09505649202607369,0.09162853131769133
B6ByNegPMKs_0e5ba44387774783903fea2a1b8f53dd,4,2,2,False,0.22265018991552277,0.030605738772457425,0.1454231064396111,0.025898969155948137,0.21161952261958272,0.14033416557812695
B6ByNegPMKs_0f8e559bf8d4427ba275e63aba46e3e5,4,2,2,False,0.021722218885028677,0.0029544432178628677,0.0030683576436022486,0.0028469484694449987,0.11979300411381333,0.10787522610626976
B6ByNegPMKs_1c21814e7e7447d5b650afdff65c287e,4,2,2,False,0.05237827558791408,0.015089101430043494,0.021040965160154967,0.014122209254256002,0.23214976910712226,0.2664566450721225
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,3,2,2,False,0.012861417050185397,0.004658622432473503,0.002331671349348974,0.004276568005101122,0.160996764020231,0.15945627705349574
