condition,endpoint,model,n_images,n_buildings,baseline_MAE,method_MAE,relative_MSE_reduction,delta_MAE,CI_low,CI_high
manual,active_seconds,worker_additive,164,22,0.599295095474,0.411717232236,0.535089116181,-0.187577863238,-0.236875809183,-0.126677241615
manual,active_seconds,worker_trait_interactions,164,22,0.599295095474,0.426754474425,0.504447505426,-0.172540621049,-0.223607956559,-0.104028830342
manual,effective_point_count,worker_additive,164,22,1.40569371731,1.5409263857,0.0942021169792,0.135232668396,0.0668401543628,0.215438879542
manual,effective_point_count,worker_trait_interactions,164,22,1.40569371731,1.61136143106,0.0700001241395,0.205667713756,0.120905034753,0.309682152156
manual,quality,worker_additive,143,22,0.0377537524216,0.0385523512875,0.0459922191035,0.000798598865879,-0.000470701212533,0.00196869658341
manual,quality,worker_trait_interactions,143,22,0.0377537524216,0.0426555875503,-0.0932158826115,0.00490183512871,0.00142945294314,0.0086966303044
semi,active_seconds,worker_additive,43,12,0.634161128495,0.473470972608,0.410634300403,-0.160690155887,-0.234370752087,-0.0716656404397
semi,active_seconds,worker_trait_interactions,43,12,0.634161128495,0.504034588542,0.317341693586,-0.130126539953,-0.223549944752,-0.0152620755693
semi,effective_point_count,worker_additive,43,12,0.918029137981,1.02191218487,0.0384678204723,0.103883046885,0.0273418991429,0.180421662919
semi,effective_point_count,worker_trait_interactions,43,12,0.918029137981,1.07140303522,0.0247420082242,0.153373897238,0.0249561637464,0.276614562178
semi,quality,worker_additive,43,12,0.0350496534788,0.0306986054536,0.12593052315,-0.00435104802519,-0.00785707211243,0.000174179623767
semi,quality,worker_trait_interactions,43,12,0.0350496534788,0.0363563992623,-0.112729204058,0.00130674578354,-0.00448022089455,0.0121484029908
manual,active_seconds,interaction_minus_additive,164,22,0.411717232236,0.426754474425,,0.0150372421894,0.00179974425349,0.0322302355554
manual,effective_point_count,interaction_minus_additive,164,22,1.5409263857,1.61136143106,,0.0704350453598,0.0274697162574,0.118213394095
manual,quality,interaction_minus_additive,143,22,0.0385523512875,0.0426555875503,,0.00410323626283,0.0014478063365,0.00718578287731
semi,active_seconds,interaction_minus_additive,43,12,0.473470972608,0.504034588542,,0.0305636159334,0.00443004267691,0.0705552444174
semi,effective_point_count,interaction_minus_additive,43,12,1.02191218487,1.07140303522,,0.0494908503524,-0.0154133278753,0.102481213861
semi,quality,interaction_minus_additive,43,12,0.0306986054536,0.0363563992623,,0.00565779380873,0.0013211133945,0.0122520485489
