condition,information,people,comparison,metric,linear_identity_by_definition,n_images,n_buildings,heterogeneous_mean,matched_marginal_pure_mean,difference,CI_low,CI_high
manual,B,2,AB_minus_half_AA_half_BB,mean_median_reference_error,True,49,13,0.108998497652,0.108998497652,0,0,0
manual,B,2,AB_minus_half_AA_half_BB,mean_total_active_seconds,True,47,15,370.820169825,370.820169825,0,0,0
manual,B,2,AB_minus_half_AA_half_BB,mean_point_disagreement,False,51,15,0.345953800006,0.343974401038,0.00197939896763,-0.020986183846,0.0233480493734
manual,B,2,AB_minus_half_AA_half_BB,mean_same_point_geometry_dispersion,False,40,12,0.0905586828814,0.0912336046994,-0.00067492181798,-0.00747642317937,0.00646639749205
manual,B,2,AB_minus_half_AA_half_BB,mean_observed_population_coverage,False,51,15,0.414303790845,0.408938265849,0.00536552499641,-0.0142263818042,0.020364355025
manual,Q,2,AB_minus_half_AA_half_BB,mean_median_reference_error,True,66,16,0.106013723057,0.106013723057,0,0,0
manual,Q,2,AB_minus_half_AA_half_BB,mean_total_active_seconds,True,67,19,470.374641099,470.374641099,0,0,0
manual,Q,2,AB_minus_half_AA_half_BB,mean_point_disagreement,False,69,19,0.396180923131,0.366335741205,0.0298451819266,-0.00726434323112,0.0672498743849
manual,Q,2,AB_minus_half_AA_half_BB,mean_same_point_geometry_dispersion,False,49,16,0.0972952834621,0.0824567413156,0.0148385421465,0.00427451957522,0.0303711521304
manual,Q,2,AB_minus_half_AA_half_BB,mean_observed_population_coverage,False,69,19,0.407579397473,0.416132263348,-0.00855286587459,-0.0324933707987,0.0186539727609
manual,QB,2,AB_minus_half_AA_half_BB,mean_median_reference_error,True,96,16,0.130344071793,0.130344071793,0,0,0
manual,QB,2,AB_minus_half_AA_half_BB,mean_total_active_seconds,True,95,18,423.482917433,423.482917433,0,0,0
manual,QB,2,AB_minus_half_AA_half_BB,mean_point_disagreement,False,102,18,0.423778454661,0.400624974154,0.0231534805064,-0.00925104316221,0.0695471166565
manual,QB,2,AB_minus_half_AA_half_BB,mean_same_point_geometry_dispersion,False,70,16,0.112664415616,0.0924674283401,0.0201969872756,0.00863523724239,0.0403690747069
manual,QB,2,AB_minus_half_AA_half_BB,mean_observed_population_coverage,False,102,18,0.346732315446,0.368837281022,-0.0221049655757,-0.0436929875609,-3.75574063165e-05
manual,QS,2,AB_minus_half_AA_half_BB,mean_median_reference_error,True,49,13,0.108678046324,0.108678046324,0,0,0
manual,QS,2,AB_minus_half_AA_half_BB,mean_total_active_seconds,True,43,13,488.289685233,488.289685233,0,0,0
manual,QS,2,AB_minus_half_AA_half_BB,mean_point_disagreement,False,49,13,0.425998369273,0.38643985163,0.0395585176427,0.0042685369733,0.0895113728632
manual,QS,2,AB_minus_half_AA_half_BB,mean_same_point_geometry_dispersion,False,31,12,0.0842076120451,0.0775016921795,0.00670591986556,9.60657503485e-05,0.0162203985126
manual,QS,2,AB_minus_half_AA_half_BB,mean_observed_population_coverage,False,49,13,0.384301185803,0.404907084453,-0.0206058986502,-0.0401971363098,-0.00729046547667
