support,information,k,attempted_repetitions,evaluated,median_ARI,mean_ARI,median_common_workers
primary_6rows_3buildings,B,0,100,0,,,1
primary_6rows_3buildings,B,2,100,95,-0.0787143325681,-0.00614360133318,24
primary_6rows_3buildings,B,3,100,94,0.414221810115,0.407691284096,24
primary_6rows_3buildings,B,4,100,91,0.262172837683,0.280977178666,24
primary_6rows_3buildings,B,5,100,90,0.211116674575,0.219429022068,24
primary_6rows_3buildings,B,6,100,84,0.175695095032,0.187667226428,24
primary_6rows_3buildings,B,7,100,84,0.148136864604,0.150789211527,24
primary_6rows_3buildings,B,8,100,82,0.119959211923,0.123268821113,24
primary_6rows_3buildings,B,9,100,78,0.109432408337,0.111269547593,24
primary_6rows_3buildings,B,10,100,74,0.106232939906,0.109060140857,24
primary_6rows_3buildings,B,11,100,71,0.0915740198947,0.103855416031,24
primary_6rows_3buildings,B,12,100,58,0.0948251670404,0.097547297664,24
primary_6rows_3buildings,Q,2,100,100,0.176756517897,0.228496269586,24
primary_6rows_3buildings,Q,3,100,100,0.122332239364,0.138527843144,24
primary_6rows_3buildings,Q,4,100,100,0.128423232485,0.135797489887,24
primary_6rows_3buildings,Q,5,100,100,0.0890668229278,0.106065777077,24
primary_6rows_3buildings,Q,6,100,100,0.0682215619694,0.0791114745513,24
primary_6rows_3buildings,Q,7,100,100,0.0522445373341,0.0715064941099,24
primary_6rows_3buildings,Q,8,100,100,0.0458333775988,0.0635986589392,24
primary_6rows_3buildings,Q,9,100,100,0.0474982500355,0.058614451227,24
primary_6rows_3buildings,Q,10,100,100,0.0412886842897,0.0487991510308,24
primary_6rows_3buildings,Q,11,100,99,0.0308988764045,0.0413656876856,24
primary_6rows_3buildings,Q,12,100,96,0.0272424017791,0.0364102378001,24
primary_6rows_3buildings,QB,0,100,0,,,1
primary_6rows_3buildings,QB,2,100,95,0.115881435257,0.190646645537,24
primary_6rows_3buildings,QB,3,100,94,0.207375567923,0.23509202002,24
primary_6rows_3buildings,QB,4,100,91,0.428341783109,0.414381817036,24
primary_6rows_3buildings,QB,5,100,90,0.317151460253,0.314033779333,24
primary_6rows_3buildings,QB,6,100,84,0.2715270436,0.27035964538,24
primary_6rows_3buildings,QB,7,100,84,0.195724373224,0.207312087003,24
primary_6rows_3buildings,QB,8,100,82,0.168928697059,0.169478082962,24
primary_6rows_3buildings,QB,9,100,78,0.125042259624,0.133201785092,24
primary_6rows_3buildings,QB,10,100,74,0.0984424730329,0.106373484628,24
primary_6rows_3buildings,QB,11,100,70,0.0841058919386,0.0927213571743,24
primary_6rows_3buildings,QB,12,100,55,0.077892325315,0.078402935359,24
