axis,valid_halves,median_spearman,minimum,maximum,median_shared_people
benefit,95,0.654545454545,-0.0357142857143,0.832173913043,24
edit,97,0.786086956522,0.547619047619,0.892857142857,24
quality,100,0.676956521739,0.312987012987,0.890434782609,24
scope_accept,0,,,,0
scope_reject,96,0.695009258575,0.341532433609,0.923645877847,24
time,100,0.97012987013,0.903896103896,0.992207792208,21
