condition,information,metric,mixed,pure_margin_matched,side_means_same_coverage,n,groups,delta,lo,hi
manual,B,fixed_future_cov,0.39458652786,0.386729865059,True,50,15,0.00785666280063,-0.0155777699708,0.0301567611539
manual,B,mode_entropy,0.507794023113,0.514459383396,True,50,15,-0.00666536028352,-0.0431794870442,0.0379641499921
manual,B,same_topology_median_d,,,False,40,12,0.00276836390788,-0.00508845427844,0.0121339357235
manual,B,topology_disagreement,0.336142744318,0.338044400864,True,50,15,-0.00190165654563,-0.0234161338919,0.0208212832082
manual,Q,fixed_future_cov,0.400321298208,0.408669453754,True,54,17,-0.00834815554622,-0.0244156089272,0.0111679786326
manual,Q,mode_entropy,0.501795537984,0.457395283691,True,54,17,0.0444002542927,0.0116272768336,0.0712058179844
manual,Q,same_topology_median_d,,,False,44,16,0.0159537749737,0.00567918587415,0.0294682309804
manual,Q,topology_disagreement,0.364990320474,0.327766235401,True,54,17,0.0372240850735,0.0109918885999,0.0585688220181
manual,S,fixed_future_cov,0.354049591265,0.351386533585,True,60,16,0.00266305767973,-0.0111561410217,0.0135244491072
manual,S,mode_entropy,0.530462447572,0.546406303167,True,60,16,-0.0159438555953,-0.0363489826111,0.00878553121404
manual,S,same_topology_median_d,,,False,54,15,-0.00917734759494,-0.0162369216378,-0.00417190449262
manual,S,topology_disagreement,0.362296173533,0.35768688796,True,60,16,0.00460928557308,-0.0159684687465,0.0264484579509
manual,T,fixed_future_cov,0.374530254304,0.376996950371,True,62,16,-0.00246669606708,-0.0262950456437,0.0282441777264
manual,T,mode_entropy,0.520186214199,0.512508040614,True,62,16,0.00767817358494,-0.0457211512472,0.0513656998439
manual,T,same_topology_median_d,,,False,56,16,0.010688189734,-1.36443444909e-05,0.0238847383341
manual,T,topology_disagreement,0.350966991117,0.355702618587,True,62,16,-0.00473562746993,-0.0294431688473,0.0165234298576
semi,B,fixed_future_cov,0.484490250577,0.525496057457,True,18,10,-0.0410058068802,-0.0815964408769,-0.00931569010459
semi,B,mode_entropy,0.43101063287,0.32439279413,True,18,10,0.10661783874,0.0394763290968,0.193006239941
semi,B,same_topology_median_d,,,False,18,10,0.0174077355791,0.00274786939228,0.0445517820253
semi,B,topology_disagreement,0.268380934394,0.209053157427,True,18,10,0.0593277769671,0.00334635172491,0.127611127665
semi,Q,fixed_future_cov,0.552624722802,0.565957197862,True,18,10,-0.0133324750596,-0.0310160430277,-0.000364983730193
semi,Q,mode_entropy,0.316187909097,0.29463653305,True,18,10,0.0215513760472,-0.000205855211427,0.0557061170087
semi,Q,same_topology_median_d,0.0558187973615,0.0454404094303,True,18,10,0.0103783879312,0.00536636495231,0.0203891688136
semi,Q,topology_disagreement,0.1971631475,0.198049626234,True,18,10,-0.000886478734717,-0.0136637273366,0.00769747171093
semi,S,fixed_future_cov,0.523580639761,0.542682863441,True,18,10,-0.0191022236798,-0.0559493237616,0.0186911461137
semi,S,mode_entropy,0.354343802489,0.340463679282,True,18,10,0.0138801232063,-0.0277230173119,0.0486924294638
semi,S,same_topology_median_d,0.0660424884345,0.0628012941405,True,18,10,0.00324119429393,-0.0016498838839,0.00806180734575
semi,S,topology_disagreement,0.193075829428,0.197995501866,True,18,10,-0.00491967243796,-0.0164678780433,0.00333050885549
semi,T,fixed_future_cov,0.516664526442,0.520619809717,True,18,10,-0.00395528327459,-0.00971181371423,-0.000258112480219
semi,T,mode_entropy,0.372528513882,0.363901715568,True,18,10,0.0086267983137,-0.00167688855759,0.0270895902511
semi,T,same_topology_median_d,0.0657658502881,0.0619386432417,True,18,10,0.00382720704641,-0.000232209921417,0.0116687521124
semi,T,topology_disagreement,0.225568847249,0.224595060289,True,18,10,0.000973786959832,-0.00492195570279,0.0127172773962
