condition,information,metric,human_scene,n,groups,delta,lo,hi
manual,Q,topology_disagreement,卧室,8,7,0.0194011497761,-0.00693622303622,0.0764788650501
manual,Q,topology_disagreement,卫浴,18,8,0.027858366584,0.00590801172708,0.0639759853597
manual,Q,topology_disagreement,厨房与用餐,2,2,0,0,0
manual,Q,topology_disagreement,复合／待定,3,3,0.0219373219373,0,0.065811965812
manual,Q,topology_disagreement,"复合／待定  , 厨房 客厅",1,1,-0.159090909091,,
manual,Q,topology_disagreement,工作与学习,1,1,-0.0440479097622,,
manual,Q,topology_disagreement,无法判断,1,1,0.111111111111,,
manual,Q,topology_disagreement,起居与休闲,5,3,0.197956542405,0,0.416720814382
manual,Q,topology_disagreement,通行与连接,13,9,0.0299902943964,-0.0152633992629,0.125869438269
manual,S,fixed_future_cov,储藏与家务辅助,2,2,-0.012671116762,-0.0133019589838,-0.0120402745403
manual,S,fixed_future_cov,卧室,9,7,-0.0180123047547,-0.0610358649614,0.0239043847567
manual,S,fixed_future_cov,卫浴,22,9,0.00603896538821,-0.00117966488189,0.0184298290704
manual,S,fixed_future_cov,厨房与用餐,3,3,0.0586402794736,0,0.142857142857
manual,S,fixed_future_cov,复合／待定,3,3,-5.85217251883e-05,-0.000175565175565,0
manual,S,fixed_future_cov,"复合／待定  , 厨房 客厅",1,1,0,,
manual,S,fixed_future_cov,工作与学习,1,1,-0.000338638433877,,
manual,S,fixed_future_cov,起居与休闲,3,2,-0.00610206151874,-0.0186265432099,0.000160179326846
manual,S,fixed_future_cov,通行与连接,16,9,0.00357992176904,-0.0292804069247,0.0300742253399
manual,S,mode_entropy,储藏与家务辅助,2,2,0.00729182093358,-0.00128183104374,0.0158654729109
manual,S,mode_entropy,卧室,9,7,-0.00428308286057,-0.101815720411,0.0773927741729
manual,S,mode_entropy,卫浴,22,9,-0.0203315902572,-0.0502593241794,-0.000442322610657
manual,S,mode_entropy,厨房与用餐,3,3,-0.0624543820377,-0.142857142857,0
manual,S,mode_entropy,复合／待定,3,3,0.00157287157287,0,0.00471861471861
manual,S,mode_entropy,"复合／待定  , 厨房 客厅",1,1,0,,
manual,S,mode_entropy,工作与学习,1,1,-0.0204730234492,,
manual,S,mode_entropy,起居与休闲,3,2,-0.0369112545302,-0.0803093621544,0.0498849607183
manual,S,mode_entropy,通行与连接,16,9,-0.0107200579844,-0.069589657752,0.0834005807398
manual,S,same_topology_median_d,储藏与家务辅助,2,2,-0.000525536295554,-0.00109662548079,4.55528896823e-05
manual,S,same_topology_median_d,卧室,7,5,-0.0196560247523,-0.0647674907001,-0.000406757232969
manual,S,same_topology_median_d,卫浴,20,9,-0.00601200868789,-0.00853461945739,-0.00158113476441
manual,S,same_topology_median_d,厨房与用餐,3,3,-0.0115481893093,-0.022059591691,-0.000765765434584
manual,S,same_topology_median_d,复合／待定,3,3,-0.0195360134999,-0.0648210672349,0.0068176741921
manual,S,same_topology_median_d,"复合／待定  , 厨房 客厅",0,0,,,
manual,S,same_topology_median_d,工作与学习,1,1,0.00501252502138,,
manual,S,same_topology_median_d,起居与休闲,2,2,0.00474466826095,-0.0137058596481,0.02319519617
manual,S,same_topology_median_d,通行与连接,16,9,-0.00987141272668,-0.0187253269614,0.00017728286252
manual,S,topology_disagreement,储藏与家务辅助,2,2,0,0,0
manual,S,topology_disagreement,卧室,9,7,-0.0180301385857,-0.122968410191,0.066846404624
manual,S,topology_disagreement,卫浴,22,9,-0.00429675319159,-0.0358258170756,0.0147591741715
manual,S,topology_disagreement,厨房与用餐,3,3,0,0,0
manual,S,topology_disagreement,复合／待定,3,3,0.0319576719577,0,0.095873015873
manual,S,topology_disagreement,"复合／待定  , 厨房 客厅",1,1,-0.0441176470588,,
manual,S,topology_disagreement,工作与学习,1,1,-0.0566158048301,,
manual,S,topology_disagreement,起居与休闲,3,2,-0.03196428498,-0.0509290312859,0.00596520763187
manual,S,topology_disagreement,通行与连接,16,9,0.0396318901767,0.00145928775782,0.119239951981
manual,T,fixed_future_cov,储藏与家务辅助,2,2,0.0266422097523,0.0153060784013,0.0379783411033
manual,T,fixed_future_cov,卧室,9,7,0.00534338830139,-0.0225637311184,0.0319524351761
manual,T,fixed_future_cov,卫浴,21,8,-0.0134434289315,-0.0325128279922,0.00687913127714
manual,T,fixed_future_cov,厨房与用餐,4,4,0.0365830529149,-0.0625,0.182416386248
manual,T,fixed_future_cov,复合／待定,3,3,-0.00194163860831,-0.00582491582492,0
manual,T,fixed_future_cov,工作与学习,1,1,-0.0222498681874,,
manual,T,fixed_future_cov,开放复合空间,2,1,0.1,,
manual,T,fixed_future_cov,无法判断,1,1,-0.0617283950617,,
manual,T,fixed_future_cov,起居与休闲,4,3,0.0877644322993,-0.0610961508729,0.215909090909
manual,T,fixed_future_cov,通行与连接,15,9,-0.0386389883065,-0.0914061656889,-0.00174179426157
manual,T,mode_entropy,储藏与家务辅助,2,2,-0.0447603801621,-0.0610178809286,-0.0285028793957
manual,T,mode_entropy,卧室,9,7,-0.0231836039475,-0.0703104578402,0.0218521223355
manual,T,mode_entropy,卫浴,21,8,0.0237275408968,-0.00764383609762,0.0645928410822
manual,T,mode_entropy,厨房与用餐,4,4,-0.105586353131,-0.375,0.0625
manual,T,mode_entropy,复合／待定,3,3,0.0311808561809,0,0.0935425685426
manual,T,mode_entropy,工作与学习,1,1,0.0651424270174,,
