image_id,building,condition,information,metric,mixed,pure_margin_matched,delta
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,B,fixed_future_cov,1,1,0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,B,mode_entropy,0,0,0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,B,same_topology_median_d,0.0234257467057,0.0197818680436,0.00364387866208
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,B,topology_disagreement,0,0,0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,Q,fixed_future_cov,1,1,0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,Q,mode_entropy,0,0,0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,Q,same_topology_median_d,0.0213139140221,0.0203056164846,0.00100829753745
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,Q,topology_disagreement,0,0,0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,S,fixed_future_cov,1,1,0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,S,mode_entropy,0,0,0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,S,same_topology_median_d,0.0266211899528,0.0198035157607,0.0068176741921
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,S,topology_disagreement,0,0,0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,T,fixed_future_cov,1,1,0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,T,mode_entropy,0,0,0
