split,criterion,count,denominator
test,model_vs_adopted_topology_mismatch,171,458
test,model_vs_mp3d_topology_mismatch,168,458
test,model_vs_no_occ_topology_mismatch,175,458
test,adopted_vs_mp3d_topology_mismatch,21,458
test,adopted_vs_no_occ_topology_mismatch,46,458
test,mp3d_vs_no_occ_topology_mismatch,31,458
test,adopted_mismatch_resolved_by_mp3d_count,8,458
test,adopted_mismatch_resolved_by_no_occ_count,5,458
validation,model_vs_adopted_topology_mismatch,24,188
validation,model_vs_mp3d_topology_mismatch,25,188
validation,model_vs_no_occ_topology_mismatch,24,188
validation,adopted_vs_mp3d_topology_mismatch,8,188
validation,adopted_vs_no_occ_topology_mismatch,0,188
validation,mp3d_vs_no_occ_topology_mismatch,8,188
validation,adopted_mismatch_resolved_by_mp3d_count,0,188
validation,adopted_mismatch_resolved_by_no_occ_count,0,188
