threshold,split,topology_mismatch,selection_status,image_id,adopted_difference,image_path
0.05,test,False,nearest_at_or_above_threshold,uNb9QFRL6hY_ddd25dd6cdec45f1a5222ed50c061b9b,0.05002788,D:/Work/HOHONET/data/mp3d_layout/test/img/uNb9QFRL6hY_ddd25dd6cdec45f1a5222ed50c061b9b.png
0.05,test,True,nearest_at_or_above_threshold,yqstnuAEVhm_6440d94be92546fdab587df78fbea28b,0.05114369,D:/Work/HOHONET/data/mp3d_layout/test/img/yqstnuAEVhm_6440d94be92546fdab587df78fbea28b.png
0.05,validation,False,nearest_at_or_above_threshold,VFuaQ6m2Qom_24d1e0ee55a542b68d600b81eae4f4d4,0.05080044,D:/Work/HOHONET/data/mp3d_layout/valid_no_occ/img/VFuaQ6m2Qom_24d1e0ee55a542b68d600b81eae4f4d4.png
0.05,validation,True,nearest_at_or_above_threshold,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,0.05209998,D:/Work/HOHONET/data/mp3d_layout/valid_no_occ/img/VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8.png
0.1,test,False,nearest_at_or_above_threshold,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,0.10141063,D:/Work/HOHONET/data/mp3d_layout/test/img/B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9.png
0.1,test,True,nearest_at_or_above_threshold,yqstnuAEVhm_4642492bb42d40debb1a3bad0ea7a24f,0.10065765,D:/Work/HOHONET/data/mp3d_layout/test/img/yqstnuAEVhm_4642492bb42d40debb1a3bad0ea7a24f.png
0.1,validation,False,nearest_at_or_above_threshold,jtcxE69GiFV_6723e18211d244f8b17ced91aae64d99,0.10783622,D:/Work/HOHONET/data/mp3d_layout/valid_no_occ/img/jtcxE69GiFV_6723e18211d244f8b17ced91aae64d99.png
0.1,validation,True,nearest_at_or_above_threshold,zsNo4HB9uLZ_19b2aa3137ae44f19821ec0f3da4a836,0.12610263,D:/Work/HOHONET/data/mp3d_layout/valid_no_occ/img/zsNo4HB9uLZ_19b2aa3137ae44f19821ec0f3da4a836.png
0.2,test,False,nearest_at_or_above_threshold,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,0.20167134,D:/Work/HOHONET/data/mp3d_layout/test/img/yqstnuAEVhm_e3face7b2196414d95ed97151aa13058.png
0.2,test,True,nearest_at_or_above_threshold,wc2JMjhGNzB_e9899e516c784fe3b8e78354ba4d49c4,0.20894121,D:/Work/HOHONET/data/mp3d_layout/test/img/wc2JMjhGNzB_e9899e516c784fe3b8e78354ba4d49c4.png
0.2,validation,False,nearest_at_or_above_threshold,jtcxE69GiFV_539fb3f6f19b442285b593628a8ce14e,0.21047224,D:/Work/HOHONET/data/mp3d_layout/valid_no_occ/img/jtcxE69GiFV_539fb3f6f19b442285b593628a8ce14e.png
0.2,validation,True,nearest_at_or_above_threshold,pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,0.28656155,D:/Work/HOHONET/data/mp3d_layout/valid_no_occ/img/pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78.png
0.3,test,False,nearest_at_or_above_threshold,X7HyMhZNoso_a60fbec046b04e5bb256d4a665219f35,0.31058542,D:/Work/HOHONET/data/mp3d_layout/test/img/X7HyMhZNoso_a60fbec046b04e5bb256d4a665219f35.png
0.3,test,True,nearest_at_or_above_threshold,q9vSo1VnCiC_bac003e7f0294457905fb183c34ef2bf,0.30961024,D:/Work/HOHONET/data/mp3d_layout/test/img/q9vSo1VnCiC_bac003e7f0294457905fb183c34ef2bf.png
