TRANSFER manual tier_primary rows 2911
TRANSFER manual cdf_early7 rows 7708
TRANSFER manual cdf_observed_by19 rows 12505
TRANSFER manual late_new_geometry rows 29473
TRANSFER manual half_tv rows 46441
TRANSFER manual singleton_mass rows 67878
TRANSFER manual within_mode_median rows 84026
TRANSFER semi tier_primary rows 84313
TRANSFER semi cdf_early7 rows 85707
TRANSFER semi cdf_observed_by19 rows 87101
TRANSFER semi late_new_geometry rows 91734
TRANSFER semi half_tv rows 96367
TRANSFER semi singleton_mass rows 101123
TRANSFER semi within_mode_median rows 105633
condition             target                    design                           method subset  images  buildings  rooms  image_loss  building_macro_loss  room_macro_loss  accuracy
   manual         cdf_early7  same_building_diagnostic dinov3__block12__panorama_global    all      37         10      0    0.447297             0.417629              NaN       NaN
   manual         cdf_early7  same_building_diagnostic  dinov3__block3__panorama_global    all      37         10      0    0.360541             0.364857              NaN       NaN
   manual         cdf_early7  same_building_diagnostic            dinov3__cls__panorama    all      37         10      0    0.463784             0.424114              NaN       NaN
   manual         cdf_early7  same_building_diagnostic                 source_frequency    all      37         10      0    0.518108             0.470029              NaN       NaN
   manual         cdf_early7  same_main_cross_building dinov3__block12__panorama_global    all      37         14      0    0.440000             0.472119              NaN       NaN
   manual         cdf_early7  same_main_cross_building  dinov3__block3__panorama_global    all      37         14      0    0.522432             0.569595              NaN       NaN
   manual         cdf_early7  same_main_cross_building            dinov3__cls__panorama    all      37         14      0    0.383243             0.433190              NaN       NaN
   manual         cdf_early7  same_main_cross_building                 source_frequency    all      37         14      0    0.353784             0.341036              NaN       NaN
   manual         cdf_early7                 same_room dinov3__block12__panorama_global    all       4          2      2    1.000000             1.000000         1.000000       NaN
   manual         cdf_early7                 same_room  dinov3__block3__panorama_global    all       4          2      2    1.000000             1.000000         1.000000       NaN
   manual         cdf_early7                 same_room            dinov3__cls__panorama    all       4          2      2    1.000000             1.000000         1.000000       NaN
   manual         cdf_early7                 same_room                 source_frequency    all       4          2      2    1.000000             1.000000         1.000000       NaN
   manual         cdf_early7 same_scene_cross_building dinov3__block12__panorama_global    all      39         14      0    0.496667             0.517750              NaN       NaN
   manual         cdf_early7 same_scene_cross_building  dinov3__block3__panorama_global    all      39         14      0    0.503590             0.493847              NaN       NaN
   manual         cdf_early7 same_scene_cross_building            dinov3__cls__panorama    all      39         14      0    0.438718             0.432000              NaN       NaN
