task_id,annotation_id,annotator_id,scope,n_pairs,fit_status,fit_confidence,direction_label,fit_residual,manhattan_yaw_deg,layout_height_candidate,layout_height_spread,max_abs_delta,warnings,review_priority
2948,2614,9,normal,6,ineligible,,ineligible,,,,,,,excluded
2948,2624,2,normal,4,ok,high,no_action,0.00034317622603872343,89.78516429758214,2.89759855659572,0.01619605449098005,0.031964234553065296,,low
2948,2626,11,normal,4,ineligible,,ineligible,,,,,,,excluded
2948,2631,10,normal,4,ok,high,no_action,0.00034317622603872343,89.78516429758214,2.89759855659572,0.01619605449098005,0.031964234553065296,,low
2948,2641,13,normal,4,ok,high,no_action,0.0010351175062860596,89.81686420120184,2.618626062681368,0.06258715791286829,0.21438356141885606,,low
2948,2651,8,normal,4,ok,high,no_action,0.00034317622603872343,89.78516429758214,2.89759855659572,0.01619605449098005,0.031964234553065296,,low
2948,2656,6,normal,4,ineligible,,ineligible,,,,,,,excluded
2948,2661,15,normal,4,ok,high,no_action,0.0010944355599293073,89.78516429758214,2.895702828586643,0.0199875105091345,0.037701474487796816,,low
2948,2667,17,normal,4,ok,high,no_action,0.000834768327363215,89.94147532628507,2.860730535234942,0.05345698728472614,0.0895972284430826,,low
2949,2615,9,normal,6,ok,low,review_manhattan_wall_directions,0.07613659862840115,89.65196948670105,2.8195014733430095,0.6161834523317413,9.203673990471728,layout_height_spread_high,high
2949,2627,11,oos_split_level,0,ineligible,,ineligible,,,,,,,excluded
2949,2632,10,oos_split_level,0,ineligible,,ineligible,,,,,,,excluded
2949,2642,13,oos_split_level,0,ineligible,,ineligible,,,,,,,excluded
2949,2652,8,normal,6,ok,low,review_manhattan_wall_directions,0.09410975256952664,0.08609326190003085,3.1121332611327266,0.9538006365859815,11.367745006426773,layout_height_spread_high,high
2949,2657,6,oos_split_level,0,ineligible,,ineligible,,,,,,,excluded
2949,2662,15,normal,6,ok,high,no_action,0.0010294975171978283,89.53153895124949,2.5325211285472493,0.011743534442679504,0.1814756855336448,,low
2950,2616,9,normal,4,ok,high,no_action,0.00021909016056935715,89.6484375,3.005467273500611,0.0,0.1059687221955592,,low
2950,2628,11,normal,4,ok,high,no_action,0.0012169891441367242,89.68351615074951,3.003987244878253,0.002793693360443328,0.19184119593926852,,low
2950,2633,10,normal,4,ok,high,no_action,0.00021909016056935715,89.6484375,3.005467273500611,0.0,0.1059687221955592,,low
2950,2643,13,normal,4,ok,high,no_action,0.012136334440185,0.0,3.003765235533949,0.010940704016596747,0.4991822692236383,,low
2950,2653,8,normal,4,ok,high,no_action,0.00021909016056935715,89.6484375,3.005467273500611,0.0,0.1059687221955592,,low
2950,2658,6,normal,4,ok,high,no_action,0.009834989589750764,88.759680877196,3.074303420853586,0.026514294260727045,1.3276481479702866,,low
2950,2663,15,normal,4,ok,high,no_action,0.00021909016056935715,89.6484375,3.005467273500611,0.0,0.1059687221955592,,low
2951,2617,9,normal,4,ok,high,no_action,0.0011055414830894662,89.57502688176388,2.724274059310864,0.0013585934833373337,0.08916407371818025,,low
2951,2629,11,normal,4,ok,high,no_action,0.0011055414830894662,89.57502688176388,2.724274059310864,0.0013585934833373337,0.08916407371818025,,low
2951,2634,10,normal,4,ok,medium,review_manhattan_wall_directions,0.037027746799550176,0.0,2.579597283501293,0.016274156801055817,1.0305854812275754,,medium
2951,2644,13,normal,4,ok,high,no_action,0.026421383729162206,89.88091769786249,2.6445492059938807,0.056591304666418374,1.288695149222299,,low
2951,2654,8,normal,4,ok,high,no_action,0.017987551034517726,1.2436059052155095,2.6413381893292716,0.04036292958922871,0.6975290187939862,,low
2951,2659,6,normal,4,ok,medium,no_action,0.021256255693567292,2.9043161830714963,2.6066501267184554,0.11170575367876046,3.6781430374142445,,low
2951,2664,15,normal,4,ok,high,no_action,0.0011055414830894662,89.57502688176388,2.724274059310864,0.0013585934833373337,0.08916407371818025,,low
2952,2618,9,oos_geometry,0,ineligible,,ineligible,,,,,,,excluded
2952,2630,11,normal,4,ok,high,no_action,0.001259322619668255,89.69270177497947,2.7118672304240024,0.0022890535036101944,0.09530310101703421,,low
2952,2635,10,normal,4,ok,high,no_action,0.001259322619668255,89.69270177497947,2.7118672304240024,0.0022890535036101944,0.09530310101703421,,low
2952,2645,13,normal,4,ok,high,no_action,0.001259322619668255,89.69270177497947,2.7118672304240024,0.0022890535036101944,0.09530310101703421,,low
2952,2655,8,normal,4,ok,high,no_action,0.001259322619668255,89.69270177497947,2.7118672304240024,0.0022890535036101944,0.09530310101703421,,low
2952,2660,6,normal,4,ok,high,no_action,0.001259322619668255,89.69270177497947,2.7118672304240024,0.0022890535036101944,0.09530310101703421,,low
2952,2665,15,normal,4,ok,high,no_action,0.001259322619668255,89.69270177497947,2.7118672304240024,0.0022890535036101944,0.09530310101703421,,low
