reason_code,reason_zh,record_count,worker_count,task_count,stage_count,geometry_computable_count,quality_computable_count,active_time_computable_count,lead_time_computable_count,formal_use_allowed_count,record_share,note
manual_only_no_semi_candidate,只有 Manual、没有 Semi 候选,2501,26,214,5,2438,717,2069,2501,1721,1.0,orthogonal reason; rows may occur in multiple reasons
quality_not_computable,GT/质量指标不可计算,1784,26,142,5,1723,0,1426,1784,1721,0.7133146741303479,orthogonal reason; rows may occur in multiple reasons
formal_assignment_ineligible,旧正式分配资格不足,780,23,87,1,773,717,701,780,0,0.31187524990004,orthogonal reason; rows may occur in multiple reasons
active_time_not_computable,Active time 不可计算,432,12,112,2,397,74,0,432,353,0.17273090763694524,orthogonal reason; rows may occur in multiple reasons
historical_retained_worker,历史状态工人但仍保留,179,2,108,2,178,60,179,179,114,0.07157137145141944,orthogonal reason; rows may occur in multiple reasons
administrative_exclusion,行政退出/行政排除,89,1,89,2,89,30,0,89,57,0.03558576569372251,orthogonal reason; rows may occur in multiple reasons
geometry_not_computable,几何不可计算,66,16,46,3,3,3,30,66,56,0.026389444222311077,orthogonal reason; rows may occur in multiple reasons
scope_oos_or_ineligible,范围外或 Scope 不满足,53,23,8,1,51,0,51,53,0,0.021191523390643743,orthogonal reason; rows may occur in multiple reasons
independence_ineligible,独立性条件不足,41,4,38,1,40,38,0,41,0,0.01639344262295082,orthogonal reason; rows may occur in multiple reasons
outside_assignment,任务分配之外的提交,9,3,8,1,8,8,0,9,0,0.003598560575769692,orthogonal reason; rows may occur in multiple reasons
noncanonical_or_raw_only_role,非 canonical 或仅 raw 可审计记录,0,0,0,0,0,0,0,0,0,0.0,orthogonal reason; rows may occur in multiple reasons
