field,scene,value,n,n_buildings,simple,medium,hard
floor_boundary,储藏与家务辅助,partial,2,1,2,0,0
floor_boundary,卧室,partial,33,6,23,10,0
floor_boundary,卫浴,partial,21,3,0,5,16
floor_boundary,卫浴,present,1,1,0,1,0
floor_boundary,厨房与用餐,partial,13,3,10,3,0
floor_boundary,复合／待定,partial,1,1,1,0,0
floor_boundary,复合／待定,present,3,1,3,0,0
floor_boundary,工作与学习,partial,7,1,6,1,0
floor_boundary,开放复合空间,partial,4,1,0,4,0
floor_boundary,无法判断,present,1,1,1,0,0
floor_boundary,起居与休闲,partial,17,2,0,17,0
floor_boundary,通行与连接,present,3,1,3,0,0
ceiling_boundary,储藏与家务辅助,present,2,1,2,0,0
ceiling_boundary,卧室,present,33,6,23,10,0
ceiling_boundary,卫浴,present,22,3,0,6,16
ceiling_boundary,厨房与用餐,present,13,3,10,3,0
ceiling_boundary,复合／待定,present,4,2,4,0,0
ceiling_boundary,工作与学习,present,7,1,6,1,0
ceiling_boundary,开放复合空间,present,4,1,0,4,0
ceiling_boundary,无法判断,present,1,1,1,0,0
ceiling_boundary,起居与休闲,partial,11,1,0,11,0
ceiling_boundary,起居与休闲,present,6,1,0,6,0
ceiling_boundary,通行与连接,partial,3,1,3,0,0
corner_occlusion,储藏与家务辅助,present,2,1,2,0,0
corner_occlusion,卧室,present,33,6,23,10,0
corner_occlusion,卫浴,absent,1,1,0,1,0
corner_occlusion,卫浴,present,21,3,0,5,16
corner_occlusion,厨房与用餐,present,13,3,10,3,0
corner_occlusion,复合／待定,absent,3,1,3,0,0
corner_occlusion,复合／待定,present,1,1,1,0,0
corner_occlusion,工作与学习,present,7,1,6,1,0
corner_occlusion,开放复合空间,present,4,1,0,4,0
corner_occlusion,无法判断,absent,1,1,1,0,0
corner_occlusion,起居与休闲,present,17,2,0,17,0
corner_occlusion,通行与连接,absent,3,1,3,0,0
connected_space,储藏与家务辅助,present,2,1,2,0,0
connected_space,卧室,present,33,6,23,10,0
connected_space,卫浴,present,22,3,0,6,16
connected_space,厨房与用餐,present,13,3,10,3,0
connected_space,复合／待定,present,4,2,4,0,0
connected_space,工作与学习,present,7,1,6,1,0
connected_space,开放复合空间,present,4,1,0,4,0
connected_space,无法判断,present,1,1,1,0,0
connected_space,起居与休闲,present,17,2,0,17,0
connected_space,通行与连接,present,3,1,3,0,0
reflection_glass,储藏与家务辅助,unknown,2,1,2,0,0
reflection_glass,卧室,present,23,6,14,9,0
reflection_glass,卧室,unknown,10,4,9,1,0
reflection_glass,卫浴,present,22,3,0,6,16
reflection_glass,厨房与用餐,present,13,3,10,3,0
reflection_glass,复合／待定,present,2,1,2,0,0
reflection_glass,复合／待定,unknown,2,2,2,0,0
reflection_glass,工作与学习,present,7,1,6,1,0
reflection_glass,开放复合空间,present,4,1,0,4,0
reflection_glass,无法判断,present,1,1,1,0,0
reflection_glass,起居与休闲,present,17,2,0,17,0
reflection_glass,通行与连接,present,3,1,3,0,0
low_contrast,储藏与家务辅助,absent,2,1,2,0,0
low_contrast,卧室,absent,33,6,23,10,0
low_contrast,卫浴,absent,22,3,0,6,16
low_contrast,厨房与用餐,absent,13,3,10,3,0
low_contrast,复合／待定,absent,4,2,4,0,0
low_contrast,工作与学习,absent,7,1,6,1,0
low_contrast,开放复合空间,absent,4,1,0,4,0
low_contrast,无法判断,absent,1,1,1,0,0
low_contrast,起居与休闲,absent,17,2,0,17,0
low_contrast,通行与连接,absent,3,1,3,0,0
doorway,储藏与家务辅助,否,2,1,2,0,0
doorway,卧室,否,33,6,23,10,0
doorway,卫浴,否,22,3,0,6,16
doorway,厨房与用餐,否,12,3,9,3,0
doorway,厨房与用餐,疑似,1,1,1,0,0
doorway,复合／待定,否,4,2,4,0,0
doorway,工作与学习,否,7,1,6,1,0
doorway,开放复合空间,否,4,1,0,4,0
doorway,无法判断,否,1,1,1,0,0
doorway,起居与休闲,否,17,2,0,17,0
doorway,通行与连接,否,3,1,3,0,0
position_entrance,储藏与家务辅助,0,2,1,2,0,0
position_entrance,卧室,0,29,6,20,9,0
position_entrance,卧室,1,4,3,3,1,0
position_entrance,卫浴,0,19,3,0,6,13
position_entrance,卫浴,1,3,3,0,0,3
position_entrance,厨房与用餐,0,12,3,9,3,0
position_entrance,厨房与用餐,1,1,1,1,0,0
position_entrance,复合／待定,0,4,2,4,0,0
position_entrance,工作与学习,0,7,1,6,1,0
position_entrance,开放复合空间,0,4,1,0,4,0
position_entrance,无法判断,1,1,1,1,0,0
position_entrance,起居与休闲,0,16,2,0,16,0
position_entrance,起居与休闲,1,1,1,0,1,0
