stratification,n_strata,mixed_label_strata,images_in_mixed_strata,conditional_label_entropy,overall_label_entropy,caution
building,13,3,59,0.776344540142,1.45640710974,descriptive only: sparse partitions can trivially lower empirical entropy
fine_ai,19,5,61,0.479864165159,1.45640710974,descriptive only: sparse partitions can trivially lower empirical entropy
main_function_primary,9,4,68,0.540656025136,1.45640710974,descriptive only: sparse partitions can trivially lower empirical entropy
main_function_primary+building,19,5,37,0.302544907887,1.45640710974,descriptive only: sparse partitions can trivially lower empirical entropy
scene_category,10,4,75,0.585611112653,1.45640710974,descriptive only: sparse partitions can trivially lower empirical entropy
scene_category+building,21,5,37,0.302544907887,1.45640710974,descriptive only: sparse partitions can trivially lower empirical entropy
scene_category+main_function_primary,12,4,67,0.535830028573,1.45640710974,descriptive only: sparse partitions can trivially lower empirical entropy
selection_display_group,21,5,35,0.257549291945,1.45640710974,descriptive only: sparse partitions can trivially lower empirical entropy
