scene,label,field,n_images,n_buildings,median,q25,q75
储藏与家务辅助,简单,hohonet_rotation,2,1,0.00274970292853,0.00258175210185,0.0029176537552
储藏与家务辅助,简单,bi_enclosed_rotation,2,1,0.001005570656,0.000843234541746,0.00116790677025
储藏与家务辅助,简单,bi_extended_rotation,2,1,0.000976333338409,0.000826128865803,0.00112653781101
储藏与家务辅助,简单,ulayout_rotation,2,1,0.000459892012574,0.000408579609136,0.000511204416011
储藏与家务辅助,简单,hohonet_points,2,1,8,8,8
储藏与家务辅助,简单,hohonet_topology_change,2,1,0,0,0
储藏与家务辅助,简单,hohonet_post_displacement,2,1,0.218344287362,0.20330607615,0.233382498574
储藏与家务辅助,简单,bi_enclosed_points,2,1,8,8,8
储藏与家务辅助,简单,bi_enclosed_topology_change,2,1,0,0,0
储藏与家务辅助,简单,bi_enclosed_post_displacement,2,1,0.220416840366,0.202306994981,0.23852668575
储藏与家务辅助,简单,bi_extended_points,2,1,8,8,8
储藏与家务辅助,简单,bi_extended_topology_change,2,1,0,0,0
储藏与家务辅助,简单,bi_extended_post_displacement,2,1,0.220467637575,0.202550653405,0.238384621744
储藏与家务辅助,简单,hohonet_vs_bi_enclosed,2,1,0.0193222291156,0.018755513171,0.0198889450602
储藏与家务辅助,简单,hohonet_vs_bi_extended,2,1,0.0193428999615,0.0187200380952,0.0199657618278
储藏与家务辅助,简单,hohonet_vs_ulayout,2,1,0.0182754428215,0.0163207702942,0.0202301153488
储藏与家务辅助,简单,bi_enclosed_vs_bi_extended,2,1,0.000316926137556,0.000293690070239,0.000340162204872
储藏与家务辅助,简单,bi_enclosed_vs_ulayout,2,1,0.0106869108345,0.0103852037036,0.0109886179655
储藏与家务辅助,简单,bi_extended_vs_ulayout,2,1,0.0106482621226,0.0103438425484,0.0109526816969
储藏与家务辅助,简单,bi_height_disagreement,2,1,0.817464897409,0.817036555149,0.81789323967
储藏与家务辅助,简单,hohonet_warning_phases,2,1,0,0,0
储藏与家务辅助,简单,da3_confidence_median,2,1,3.45369780064,3.245736897,3.66165870428
储藏与家务辅助,简单,da3_confidence_face_variation,2,1,1.089975297,0.991084187289,1.18886640671
储藏与家务辅助,简单,da3_log_shape_spread_median,2,1,0.515462867916,0.442331496626,0.588594239206
储藏与家务辅助,简单,da3_log_shape_face_variation,2,1,0.258219384168,0.192437497416,0.324001270919
卧室,中等,hohonet_rotation,10,2,0.00368270108584,0.00323944232485,0.00408793958473
卧室,中等,bi_enclosed_rotation,10,2,0.00167212307513,0.00135206511932,0.00198932170106
卧室,中等,bi_extended_rotation,10,2,0.00165482250751,0.0015180704297,0.00199103906537
卧室,中等,ulayout_rotation,10,2,0.00104732423472,0.000708032287545,0.0011845604174
卧室,中等,hohonet_points,10,2,10,8,12
卧室,中等,hohonet_topology_change,10,2,0,0,0
卧室,中等,hohonet_post_displacement,10,2,0.318682518746,0.306235812871,0.417620867502
卧室,中等,bi_enclosed_points,10,2,12,12,18.125
卧室,中等,bi_enclosed_topology_change,10,2,0,0,1
卧室,中等,bi_enclosed_post_displacement,10,2,0.265851544738,0.194116163754,0.391105305288
卧室,中等,bi_extended_points,10,2,12,12,18
卧室,中等,bi_extended_topology_change,10,2,0,0,0.75
卧室,中等,bi_extended_post_displacement,10,2,0.267702889427,0.19350457733,0.390690985596
