package_id,package_scope,package_role,file_path,file_exists,file_role,format,size_bytes,row_count,field_count,fields,json_type,sheet_names,sheet_row_counts,declared_status_or_role,format_status,format_errors,key_candidate,key_status,duplicate_key_count,missing_key_value_count
external:C:/Users/ASUS/AppData/Local/Temp/historical_uncertainty_workbook_preview_20260829,explicit_upstream_reference,明确引用的上游文件,C:/Users/ASUS/AppData/Local/Temp/historical_uncertainty_workbook_preview_20260829,false,其他资产,,,,0,[],,,,missing_file,missing,missing_file,,not_applicable,0,0
active_logs,explicit_upstream_reference,明确引用的上游文件,active_logs,false,其他资产,,,,0,[],,,,missing_file,missing,missing_file,,not_applicable,0,0
active_logs,explicit_upstream_reference,明确引用的上游文件,active_logs/c1,false,其他资产,,,,0,[],,,,missing_file,missing,missing_file,,not_applicable,0,0
active_logs,explicit_upstream_reference,明确引用的上游文件,active_logs/c1/active_times_2026-07-03.jsonl,true,数据表,jsonl,376521,442,24,"[""active_seconds"", ""active_seconds_fragment"", ""active_time_alias_from"", ""active_time_alias_reason"", ""active_time_key"", ""annotation_id"", ""annotation_id_source"", ""annotation_match_status"", ""annotator_id"", ""is_manual_flush"", ""late_binding_status"", ""page_type"", ""project_id"", ""project_id_source"", ""project_name"", ""script_version"", ""selected_annotation_id"", ""selected_annotation_owner_id"", ""selected_annotation_owner_source"", ""server_received_at"", ""session_id"", ""task_id"", ""task_id_source"", ""timestamp""]",jsonl,,,,pass,,task_id,review_required_not_unique,2,0
active_logs,explicit_upstream_reference,明确引用的上游文件,active_logs/c1/active_times_2026-07-04.jsonl,true,数据表,jsonl,926162,951,25,"[""active_seconds"", ""active_seconds_fragment"", ""active_time_alias_from"", ""active_time_alias_reason"", ""active_time_key"", ""annotation_id"", ""annotation_id_source"", ""annotation_match_status"", ""annotator_id"", ""foreign_https_script_version"", ""is_manual_flush"", ""late_binding_status"", ""page_type"", ""project_id"", ""project_id_source"", ""project_name"", ""script_version"", ""selected_annotation_id"", ""selected_annotation_owner_id"", ""selected_annotation_owner_source"", ""server_received_at"", ""session_id"", ""task_id"", ""task_id_source"", ""timestamp""]",jsonl,,,,pass,,task_id,review_required_not_unique,2,0
active_logs,explicit_upstream_reference,明确引用的上游文件,active_logs/c1/active_times_2026-07-05.jsonl,true,数据表,jsonl,1064009,1094,25,"[""active_seconds"", ""active_seconds_fragment"", ""active_time_alias_from"", ""active_time_alias_reason"", ""active_time_key"", ""annotation_id"", ""annotation_id_source"", ""annotation_match_status"", ""annotator_id"", ""foreign_https_script_version"", ""is_manual_flush"", ""late_binding_status"", ""page_type"", ""project_id"", ""project_id_source"", ""project_name"", ""script_version"", ""selected_annotation_id"", ""selected_annotation_owner_id"", ""selected_annotation_owner_source"", ""server_received_at"", ""session_id"", ""task_id"", ""task_id_source"", ""timestamp""]",jsonl,,,,pass,,task_id,review_required_not_unique,2,0
active_logs,explicit_upstream_reference,明确引用的上游文件,active_logs/c1/active_times_2026-07-06.jsonl,true,数据表,jsonl,260166,485,25,"[""active_seconds"", ""active_seconds_fragment"", ""active_time_alias_from"", ""active_time_alias_reason"", ""active_time_key"", ""annotation_id"", ""annotation_id_source"", ""annotation_match_status"", ""annotator_id"", ""foreign_https_script_version"", ""is_manual_flush"", ""late_binding_status"", ""page_type"", ""project_id"", ""project_id_source"", ""project_name"", ""script_version"", ""selected_annotation_id"", ""selected_annotation_owner_id"", ""selected_annotation_owner_source"", ""server_received_at"", ""session_id"", ""task_id"", ""task_id_source"", ""timestamp""]",jsonl,,,,pass,,task_id,review_required_not_unique,2,0
active_logs,explicit_upstream_reference,明确引用的上游文件,active_logs/c1/active_times_2026-07-07.jsonl,true,数据表,jsonl,1605226,1711,25,"[""active_seconds"", ""active_seconds_fragment"", ""active_time_alias_from"", ""active_time_alias_reason"", ""active_time_key"", ""annotation_id"", ""annotation_id_source"", ""annotation_match_status"", ""annotator_id"", ""foreign_https_script_version"", ""is_manual_flush"", ""late_binding_status"", ""page_type"", ""project_id"", ""project_id_source"", ""project_name"", ""script_version"", ""selected_annotation_id"", ""selected_annotation_owner_id"", ""selected_annotation_owner_source"", ""server_received_at"", ""session_id"", ""task_id"", ""task_id_source"", ""timestamp""]",jsonl,,,,pass,,task_id,review_required_not_unique,2,0
active_logs,explicit_upstream_reference,明确引用的上游文件,active_logs/c1/active_times_2026-07-08.jsonl,true,数据表,jsonl,59286,101,13,"[""active_seconds"", ""active_seconds_fragment"", ""annotator_id"", ""foreign_https_script_version"", ""is_manual_flush"", ""page_type"", ""project_id"", ""project_name"", ""script_version"", ""server_received_at"", ""session_id"", ""task_id"", ""timestamp""]",jsonl,,,,pass,,task_id,review_required_not_unique,1,0
active_logs,explicit_upstream_reference,明确引用的上游文件,active_logs/c1/active_times_2026-07-09.jsonl,true,数据表,jsonl,285766,292,25,"[""active_seconds"", ""active_seconds_fragment"", ""active_time_alias_from"", ""active_time_alias_reason"", ""active_time_key"", ""annotation_id"", ""annotation_id_source"", ""annotation_match_status"", ""annotator_id"", ""foreign_https_script_version"", ""is_manual_flush"", ""late_binding_status"", ""page_type"", ""project_id"", ""project_id_source"", ""project_name"", ""script_version"", ""selected_annotation_id"", ""selected_annotation_owner_id"", ""selected_annotation_owner_source"", ""server_received_at"", ""session_id"", ""task_id"", ""task_id_source"", ""timestamp""]",jsonl,,,,pass,,task_id,review_required_not_unique,1,0
