condition,grade_v1,review_draft_grade,units
manual,difficult_candidate,difficult_candidate,8
manual,difficult_candidate,,2
manual,medium,,1
manual,simple,simple_candidate,15
manual,,difficult_candidate,4
manual,,medium_candidate,27
manual,,simple_candidate,7
manual,,,123
oos_geometry,,not_assigned_scope_separate,9
semi,difficult_candidate,,1
semi,medium,,1
semi,simple,simple_candidate,3
semi,,medium_candidate,9
semi,,simple_candidate,2
semi,,,27
