image_id,building_id,config,k,lookahead,min_support,epsilon,replicates,stable,changing,unknown,stable_lower,stable_upper,stable_single,stable_multi
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,q_0.975,1,1,1,0.05,200,9,175,16,0.045,0.125,9,0
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,q_0.975,1,1,1,0.1,200,9,175,16,0.045,0.125,9,0
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,q_0.975,1,1,1,0.2,200,9,175,16,0.045,0.125,9,0
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,q_0.975,1,1,2,0.05,200,0,0,200,0.0,1.0,0,0
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,q_0.975,1,1,2,0.1,200,0,0,200,0.0,1.0,0,0
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,q_0.975,1,1,2,0.2,200,0,0,200,0.0,1.0,0,0
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,q_0.975,1,1,3,0.05,200,0,0,200,0.0,1.0,0,0
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,q_0.975,1,1,3,0.1,200,0,0,200,0.0,1.0,0,0
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,q_0.975,1,1,3,0.2,200,0,0,200,0.0,1.0,0,0
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,q_0.975,1,2,1,0.05,200,0,174,26,0.0,0.13,0,0
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,q_0.975,1,2,1,0.1,200,0,174,26,0.0,0.13,0,0
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,q_0.975,1,2,1,0.2,200,0,174,26,0.0,0.13,0,0
