method,features,k,median_ari,q25,q75
diagonal_Gaussian_mixture,peer_corner_time,2,0.018306636155606407,-0.04392156862745098,0.10416368132757067
diagonal_Gaussian_mixture,peer_corner_time,3,0.02962825144708925,-0.01620234145862888,0.08618631676065533
imposed_rank_strata,corner_pair_count,2,0.1921487603305785,0.1921487603305785,0.39807162534435264
imposed_rank_strata,corner_pair_count,3,0.169237012987013,0.1038961038961039,0.20190746753246752
imposed_rank_strata,log_active_time,2,1.0,0.6528925619834711,1.0
imposed_rank_strata,log_active_time,3,0.5080745341614907,0.359472049689441,0.5900621118012422
