replicate,method,features,k,ari,n_workers
0,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
0,imposed_rank_strata,corner_pair_count,3,0.1599025974025974,23
0,imposed_rank_strata,log_active_time,2,0.3752066115702479,22
0,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
0,diagonal_Gaussian_mixture,peer_corner_time,2,0.28668941979522183,22
0,diagonal_Gaussian_mixture,peer_corner_time,3,-0.06398809523809523,22
1,imposed_rank_strata,corner_pair_count,2,0.049586776859504134,23
1,imposed_rank_strata,corner_pair_count,3,0.1599025974025974,23
1,imposed_rank_strata,log_active_time,2,0.6528925619834711,22
1,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
1,diagonal_Gaussian_mixture,peer_corner_time,2,0.054385964912280704,22
1,diagonal_Gaussian_mixture,peer_corner_time,3,0.11424475900376277,22
2,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
2,imposed_rank_strata,corner_pair_count,3,0.2159090909090909,23
2,imposed_rank_strata,log_active_time,2,1.0,22
2,imposed_rank_strata,log_active_time,3,0.3440993788819876,22
2,diagonal_Gaussian_mixture,peer_corner_time,2,-0.01349983125210935,22
2,diagonal_Gaussian_mixture,peer_corner_time,3,0.07185906351414001,22
3,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
3,imposed_rank_strata,corner_pair_count,3,0.1038961038961039,23
3,imposed_rank_strata,log_active_time,2,1.0,22
3,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
3,diagonal_Gaussian_mixture,peer_corner_time,2,0.1461187214611872,22
3,diagonal_Gaussian_mixture,peer_corner_time,3,-0.008969659152952187,22
4,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
4,imposed_rank_strata,corner_pair_count,3,0.2159090909090909,23
4,imposed_rank_strata,log_active_time,2,1.0,22
4,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
4,diagonal_Gaussian_mixture,peer_corner_time,2,0.10204081632653061,22
4,diagonal_Gaussian_mixture,peer_corner_time,3,-0.07295796986518636,22
5,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
5,imposed_rank_strata,corner_pair_count,3,0.3092532467532468,23
5,imposed_rank_strata,log_active_time,2,1.0,22
5,imposed_rank_strata,log_active_time,3,0.5900621118012422,22
5,diagonal_Gaussian_mixture,peer_corner_time,2,0.16831683168316833,22
5,diagonal_Gaussian_mixture,peer_corner_time,3,0.3186369634401925,22
6,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
6,imposed_rank_strata,corner_pair_count,3,0.1599025974025974,23
6,imposed_rank_strata,log_active_time,2,1.0,22
6,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
6,diagonal_Gaussian_mixture,peer_corner_time,2,-0.028037383177570093,22
6,diagonal_Gaussian_mixture,peer_corner_time,3,0.0764972707003921,22
7,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
7,imposed_rank_strata,corner_pair_count,3,0.1038961038961039,23
7,imposed_rank_strata,log_active_time,2,1.0,22
7,imposed_rank_strata,log_active_time,3,0.36459627329192545,22
7,diagonal_Gaussian_mixture,peer_corner_time,2,0.26270136307311026,22
7,diagonal_Gaussian_mixture,peer_corner_time,3,0.06937394247038917,22
8,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
8,imposed_rank_strata,corner_pair_count,3,0.2159090909090909,23
8,imposed_rank_strata,log_active_time,2,0.6528925619834711,22
8,imposed_rank_strata,log_active_time,3,0.7540372670807454,22
8,diagonal_Gaussian_mixture,peer_corner_time,2,0.004860267314702308,22
8,diagonal_Gaussian_mixture,peer_corner_time,3,0.2730950775455158,22
9,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
9,imposed_rank_strata,corner_pair_count,3,0.19724025974025974,23
9,imposed_rank_strata,log_active_time,2,1.0,22
9,imposed_rank_strata,log_active_time,3,0.3440993788819876,22
9,diagonal_Gaussian_mixture,peer_corner_time,2,-0.0387409200968523,22
9,diagonal_Gaussian_mixture,peer_corner_time,3,0.10196601132955681,22
10,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
10,imposed_rank_strata,corner_pair_count,3,0.2159090909090909,23
10,imposed_rank_strata,log_active_time,2,1.0,22
10,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
10,diagonal_Gaussian_mixture,peer_corner_time,2,0.26666666666666666,22
10,diagonal_Gaussian_mixture,peer_corner_time,3,-0.09983885145033694,22
11,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
11,imposed_rank_strata,corner_pair_count,3,0.19724025974025974,23
11,imposed_rank_strata,log_active_time,2,0.6528925619834711,22
11,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
11,diagonal_Gaussian_mixture,peer_corner_time,2,0.1724137931034483,22
11,diagonal_Gaussian_mixture,peer_corner_time,3,0.10103277952402336,22
12,imposed_rank_strata,corner_pair_count,2,0.049586776859504134,23
12,imposed_rank_strata,corner_pair_count,3,0.02922077922077922,23
12,imposed_rank_strata,log_active_time,2,0.6528925619834711,22
12,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
12,diagonal_Gaussian_mixture,peer_corner_time,2,0.018306636155606407,22
12,diagonal_Gaussian_mixture,peer_corner_time,3,-0.035795713634290925,22
13,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
13,imposed_rank_strata,corner_pair_count,3,0.3092532467532468,23
13,imposed_rank_strata,log_active_time,2,1.0,22
13,imposed_rank_strata,log_active_time,3,0.5900621118012422,22
13,diagonal_Gaussian_mixture,peer_corner_time,2,-0.04430379746835443,22
